"TABLE 44.  Postdoctoral appointees in science in all institutions, by region, state, institution, citizenship, ethnicity and race: 2011",,,,,,,,,,,,,,
,,,U.S. citizens and permanent residentsa,,,,,,,,,,,
            Midwestern U.,1,,0,,0,0,0,0,0,0,,0,,1
            Northern IL U.,6,,0,,0,0,0,0,0,0,,3,,3
            Northwestern U.,425,,4,,0,24,7,0,152,0,,5,,233
            Rosalind Franklin U. of Medicine and Science,16,,0,,0,3,0,0,5,0,,0,,8
            Rush U.,33,,0,,0,3,0,0,10,0,,1,,19
"            Southern IL U., Carbondale",3,,0,,0,0,0,0,1,0,,0,,2
            U. Chicago,401,,3,,0,13,5,0,125,1,,8,,246
"            U. IL, Chicago",133,,2,,0,9,3,0,21,0,,2,,96
"            U. IL, Urbana-Champaign",442,,8,,1,24,5,0,125,3,,10,,266
,,,,,,,,,,,,,,
        Indiana,546,,3,,1,32,5,0,137,1,,19,,348
            IN State U.,1,,0,,0,0,0,0,0,0,,0,,1
            IN U.,229,,1,,1,14,3,0,79,0,,5,,126
            Purdue U.,193,,2,,0,15,1,0,36,0,,0,,139
            U. Notre Dame,122,,0,,0,3,1,0,22,1,,13,,82
            Valparaiso U.,1,,0,,0,0,0,0,0,0,,1,,0
,,,,,,,,,,,,,,
        Michigan,"1,066",,11,,2,63,14,0,264,4,,117,,591
            Central MI U.,5,,0,,0,0,0,0,2,0,,0,,3
            MI State U.,389,,2,,2,25,4,0,116,1,,0,,239
            MI Technological U.,13,,0,,0,0,0,0,0,0,,7,,6
            Oakland U.,12,,0,,0,9,0,0,1,0,,2,,0
            U. MI,572,,9,,0,23,9,0,123,3,,107,,298
            Wayne State U.,71,,0,,0,6,1,0,20,0,,0,,44
            Western MI U.,4,,0,,0,0,0,0,2,0,,1,,1
,,,,,,,,,,,,,,
        Ohio,686,,10,,0,36,8,5,210,0,,18,,399
            Bowling Green State U.,22,,1,,0,1,0,0,2,0,,0,,18
            Case Western Reserve U.,148,,3,,0,18,2,3,50,0,,1,,71
            Cleveland State U.,12,,0,,0,0,0,0,3,0,,0,,9
            Kent State U.,18,,0,,0,0,0,1,4,0,,0,,13
            Miami U.,26,,0,,0,3,0,0,12,0,,0,,11
"            Northeastern OH Universities, C. of Medicine",10,,0,,0,1,0,1,4,0,,0,,4
            OH State U.,308,,5,,0,10,5,0,91,0,,3,,194
            OH U.,10,,0,,0,0,0,0,3,0,,3,,4
            U. Akron,18,,0,,0,0,0,0,4,0,,0,,14
            U. Cincinnati,63,,1,,0,1,0,0,23,0,,3,,35
            U. Dayton,6,,0,,0,0,0,0,1,0,,3,,2
            U. Toledo,34,,0,,0,2,1,0,9,0,,1,,21
            Wright State U.,10,,0,,0,0,0,0,4,0,,4,,2
            Youngstown State U.,1,,0,,0,0,0,0,0,0,,0,,1
,,,,,,,,,,,,,,
        Wisconsin,595,,10,,3,49,6,0,222,0,,74,,231
            Marquette U.,18,,1,,0,3,0,0,3,0,,0,,11
            Medical C. WI,71,,0,,0,4,1,0,29,0,,0,,37
"            U. WI, Madison",505,,9,,3,42,5,0,190,0,,73,,183
"            U. WI, Milwaukee",1,,0,,0,0,0,0,0,0,,1,,0
,,,,,,,,,,,,,,
    West North Central,"1,843",,26,,2,211,20,3,581,3,,103,,894
,,,,,,,,,,,,,,
        Iowa,226,,4,,0,32,5,1,87,0,,0,,97
            IA State U.,76,,1,,0,31,3,0,28,0,,0,,13
            U. IA,150,,3,,0,1,2,1,59,0,,0,,84
,,,,,,,,,,,,,,
        Kansas,236,,1,,0,14,2,0,67,0,,1,,151
            KS State U.,86,,0,,0,6,0,0,16,0,,0,,64
            U. KS,149,,1,,0,8,2,0,50,0,,1,,87
            Wichita State U.,1,,0,,0,0,0,0,1,0,,0,,0
,,,,,,,,,,,,,,
        Minnesota,526,,6,,1,32,1,2,141,3,,67,,273
            Mayo Graduate School,146,,2,,0,5,0,2,18,0,,20,,99
            U. MN,380,,4,,1,27,1,0,123,3,,47,,174
,,,,,,,,,,,,,,
        Missouri,563,,12,,1,109,9,0,225,0,,21,,186
            A. T. Still U.,2,,0,,0,1,0,0,0,0,,0,,1
"            Lincoln U., Jefferson City",2,,0,,0,0,0,0,0,0,,0,,2
            MO U. of Science and Technology,5,,0,,0,0,0,0,0,0,,0,,5
            St. Louis U.,37,,0,,0,4,2,0,7,0,,0,,24
"            U. MO, Columbia",177,,2,,0,6,2,0,65,0,,2,,100
"            U. MO, Kansas City",16,,1,,0,0,0,0,6,0,,2,,7
"            U. MO, St. Louis",10,,0,,0,0,0,0,2,0,,0,,8
"            Washington U., St. Louis",314,,9,,1,98,5,0,145,0,,17,,39
,,,,,,,,,,,,,,
        Nebraska,223,,3,,0,22,3,0,48,0,,6,,141
            Creighton U.,21,,0,,0,3,1,0,2,0,,3,,12
"            U. NE, Lincoln",124,,2,,0,17,1,0,25,0,,0,,79
"            U. NE, Medical Ctr.",77,,1,,0,2,1,0,20,0,,3,,50
"            U. NE, Omaha",1,,0,,0,0,0,0,1,0,,0,,0
,,,,,,,,,,,,,,
        North Dakota,37,,0,,0,1,0,0,5,0,,0,,31
            ND State U.,29,,0,,0,1,0,0,4,0,,0,,24
            U. ND,8,,0,,0,0,0,0,1,0,,0,,7
,,,,,,,,,,,,,,
        South Dakota,32,,0,,0,1,0,0,8,0,,8,,15
            SD State U.,24,,0,,0,1,0,0,8,0,,0,,15
            U. SD,8,,0,,0,0,0,0,0,0,,8,,0
,,,,,,,,,,,,,,
    South Atlantic,"5,402",,129,,17,417,136,7,"1,659",23,,216,,"2,798"
,,,,,,,,,,,,,,
        Delaware,78,,0,,0,13,3,0,16,0,,2,,44
            DE State U.,8,,0,,0,4,1,0,1,0,,2,,0
            U. DE,70,,0,,0,9,2,0,15,0,,0,,44
,,,,,,,,,,,,,,
        District of Columbia,157,,7,,0,22,4,0,29,0,,39,,56
            Catholic U. America,15,,0,,0,2,0,0,1,0,,3,,9
            George Washington U.,59,,6,,0,15,0,0,18,0,,19,,1
            Georgetown U.,64,,0,,0,2,0,0,9,0,,17,,36
            Howard U.,19,,1,,0,3,4,0,1,0,,0,,10
,,,,,,,,,,,,,,
        Florida,928,,44,,0,42,16,0,242,7,,32,,545
            FL A&M U.,6,,0,,0,0,0,0,2,0,,0,,4
            FL Atlantic U.,6,,0,,0,0,0,0,2,0,,0,,4
            FL Institute of Technology,5,,0,,0,0,0,0,0,0,,0,,5
            FL International U.,34,,7,,0,1,1,0,4,0,,0,,21
            FL State U.,190,,5,,0,11,5,0,45,1,,0,,123
            Nova Southeastern U.,4,,0,,0,0,0,0,4,0,,0,,0
            U. Central FL,41,,1,,0,1,0,0,13,2,,0,,24
            U. FL,391,,10,,0,22,5,0,91,3,,31,,229
            U. Miami,122,,14,,0,4,2,0,30,1,,0,,71
"            U. South FL, Tampa",129,,7,,0,3,3,0,51,0,,1,,64
,,,,,,,,,,,,,,
        Georgia,953,,13,,0,79,35,1,233,2,,43,,547
            Clark Atlanta U.,12,,0,,0,6,4,0,0,0,,0,,2
            Emory U.,375,,6,,0,22,20,0,95,2,,31,,199
            GA Health Sciences U.,115,,0,,0,4,0,0,15,0,,0,,96
            GA Institute of Technology,130,,2,,0,34,3,0,44,0,,1,,46
            GA State U.,70,,2,,0,4,1,1,5,0,,4,,53
            Mercer U.,7,,0,,0,0,0,0,1,0,,0,,6
            Morehouse School of Medicine,21,,0,,0,4,5,0,3,0,,0,,9
            U. GA,223,,3,,0,5,2,0,70,0,,7,,136
,,,,,,,,,,,,,,
        Maryland,"1,111",,21,,4,94,21,3,311,3,,30,,624
            Johns Hopkins U.,543,,10,,1,44,14,1,154,1,,3,,315
            Uniformed Services U. of the Health Sciences,71,,1,,3,8,3,1,27,1,,2,,25
"            U. MD, Baltimore",137,,2,,0,14,1,0,31,0,,0,,89
"            U. MD, Baltimore County",31,,2,,0,3,1,0,8,0,,0,,17
"            U. MD, College Park",329,,6,,0,25,2,1,91,1,,25,,178
,,,,,,,,,,,,,,
        North Carolina,"1,248",,28,,4,94,40,3,524,2,,35,,518
            Duke U.,387,,5,,1,28,8,0,158,1,,1,,185
            East Carolina U.,24,,1,,0,2,0,1,11,0,,1,,8
            NC Agricultural and Technical State U.,11,,0,,0,2,1,0,0,0,,0,,8
            NC State U.,216,,5,,0,30,0,0,94,0,,21,,66
"            U. NC, Chapel Hill",506,,15,,3,26,28,2,209,1,,9,,213
"            U. NC, Charlotte",15,,1,,0,0,0,0,4,0,,2,,8
"            U. NC, Greensboro",19,,0,,0,0,0,0,11,0,,0,,8
"            U. NC, Wilmington",6,,0,,0,0,0,0,6,0,,0,,0
            Wake Forest U.,64,,1,,0,6,3,0,31,0,,1,,22
,,,,,,,,,,,,,,
        South Carolina,199,,2,,0,27,4,0,61,0,,9,,96
            Clemson U.,28,,0,,0,15,0,0,12,0,,1,,0
            Furman U.,1,,0,,0,0,0,0,1,0,,0,,0
            Medical U. SC,103,,0,,0,11,2,0,35,0,,0,,55
            U. SC,67,,2,,0,1,2,0,13,0,,8,,41
,,,,,,,,,,,,,,
        Virginia,668,,14,,9,42,13,0,230,9,,12,,339
            C. of William and Mary,26,,0,,0,1,0,0,4,7,,2,,12
            Eastern VA Medical School,10,,0,,2,2,1,0,0,2,,0,,3
            George Mason U.,29,,0,,0,3,0,0,11,0,,6,,9
            Hampton U.,5,,0,,0,0,0,0,2,0,,0,,3
            Old Dominion U.,25,,0,,3,0,0,0,10,0,,0,,12
            U. VA,325,,10,,3,24,5,0,105,0,,4,,174
            VA Commonwealth U.,132,,1,,0,7,4,0,53,0,,0,,67
            VA Polytechnic Institute and State U.,116,,3,,1,5,3,0,45,0,,0,,59
,,,,,,,,,,,,,,
        West Virginia,60,,0,,0,4,0,0,13,0,,14,,29
            Marshall U.,10,,0,,0,1,0,0,2,0,,0,,7
            WV U.,50,,0,,0,3,0,0,11,0,,14,,22
,,,,,,,,,,,,,,
    East South Central,"1,198",,14,,0,99,41,3,423,6,,20,,592
,,,,,,,,,,,,,,
        Alabama,228,,2,,0,22,20,3,75,2,,5,,99
            AL A&M U.,1,,0,,0,1,0,0,0,0,,0,,0
            AL State U.,5,,0,,0,0,5,0,0,0,,0,,0
            Auburn U.,27,,0,,0,6,0,0,15,0,,0,,6
            Tuskegee U.,6,,0,,0,0,2,0,0,0,,4,,0
"            U. AL, Birmingham",122,,2,,0,13,13,3,39,2,,0,,50
"            U. AL, Huntsville",15,,0,,0,0,0,0,6,0,,0,,9
"            U. AL, Tuscaloosa",40,,0,,0,1,0,0,12,0,,0,,27
            U. South AL,12,,0,,0,1,0,0,3,0,,1,,7
,,,,,,,,,,,,,,
        Kentucky,169,,1,,0,14,1,0,41,2,,11,,99
            U. KY,126,,1,,0,11,0,0,31,1,,11,,71
            U. Louisville,43,,0,,0,3,1,0,10,1,,0,,28
,,,,,,,,,,,,,,
        Mississippi,114,,0,,0,7,2,0,24,0,,1,,80
            Jackson State U.,23,,0,,0,4,0,0,0,0,,0,,19
            MS State U.,16,,0,,0,0,0,0,4,0,,1,,11
            U. MS,49,,0,,0,3,2,0,15,0,,0,,29
            U. Southern MS,26,,0,,0,0,0,0,5,0,,0,,21
,,,,,,,,,,,,,,
        Tennessee,687,,11,,0,56,18,0,283,2,,3,,314
            East TN State U.,4,,0,,0,0,0,0,1,0,,0,,3
            Fisk U.,5,,0,,0,0,1,0,2,0,,0,,2
            Meharry Medical C.,15,,0,,0,1,1,0,0,0,,0,,13
            Middle TN State U.,4,,0,,0,0,0,0,1,0,,0,,3
            TN Technological U.,5,,0,,0,0,0,0,2,0,,0,,3
            U. Memphis,12,,0,,0,0,1,0,3,0,,0,,8
"            U. TN, Health Science Ctr.",85,,0,,0,3,3,0,10,2,,1,,66
"            U. TN, Knoxville",126,,3,,0,7,2,0,37,0,,1,,76
            Vanderbilt U.,431,,8,,0,45,10,0,227,0,,1,,140
,,,,,,,,,,,,,,
    West South Central,"2,862",,61,,2,210,28,6,575,8,,177,,"1,795"
,,,,,,,,,,,,,,
        Arkansas,121,,2,,0,9,1,0,31,0,,0,,78
            AR State U.,9,,1,,0,4,1,0,3,0,,0,,0
"            U. AR, Fayetteville",66,,1,,0,2,0,0,16,0,,0,,47
            U. AR for Medical Sciences,33,,0,,0,2,0,0,7,0,,0,,24
"            U. AR, Little Rock",13,,0,,0,1,0,0,5,0,,0,,7
,,,,,,,,,,,,,,
        Louisiana,301,,6,,0,21,9,0,66,4,,7,,188
            LA State U.,219,,5,,0,15,3,0,50,1,,7,,138
            Southern U. and A&M C.,11,,0,,0,2,3,0,1,0,,0,,5
            Tulane U.,66,,1,,0,4,3,0,13,3,,0,,42
"            U. LA, Lafayette",5,,0,,0,0,0,0,2,0,,0,,3
,,,,,,,,,,,,,,
        Oklahoma,130,,2,,0,12,2,0,40,1,,1,,72
            OK State U.,45,,1,,0,6,1,0,16,0,,0,,21
            U. OK,81,,1,,0,6,1,0,22,1,,1,,49
            U. Tulsa,4,,0,,0,0,0,0,2,0,,0,,2
,,,,,,,,,,,,,,
        Texas,"2,310",,51,,2,168,16,6,438,3,,169,,"1,457"
            Baylor C. of Medicine,401,,8,,0,30,1,0,36,0,,97,,229
            Baylor U.,16,,0,,0,1,0,0,6,0,,1,,8
            Prairie View A&M U.,2,,0,,0,0,0,0,0,0,,1,,1
            Rice U.,105,,1,,0,0,1,5,27,0,,15,,56
            Southern Methodist U.,19,,0,,0,3,0,0,4,0,,0,,12
            TX A&M Health Science Ctr.,70,,0,,0,10,0,0,11,0,,0,,49
            TX A&M U.,246,,5,,1,20,1,0,62,1,,2,,154
"            TX A&M U., Commerce",5,,0,,0,0,0,0,1,0,,1,,3
"            TX A&M U., Corpus Christi",5,,0,,0,0,0,0,3,0,,0,,2
            TX Christian U.,11,,0,,0,0,0,1,2,0,,0,,8
            TX Southern U.,5,,0,,0,4,0,0,1,0,,0,,0
"            TX State U., San Marcos",14,,0,,0,0,0,0,1,0,,1,,12
            TX Tech U.,96,,2,,0,7,0,0,36,0,,1,,50
            U. Houston,172,,2,,0,20,3,0,24,0,,6,,117
"            U. North TX, Denton",20,,1,,0,1,0,0,2,0,,0,,16
"            U. TX, Arlington",33,,1,,0,0,0,0,4,0,,0,,28
"            U. TX, Austin",234,,8,,0,11,1,0,83,2,,1,,128
"            U. TX, Dallas",42,,0,,1,5,1,0,14,0,,0,,21
"            U. TX, El Paso",22,,2,,0,1,0,0,3,0,,0,,16
"            U. TX, Health Science Ctr., San Antonio",91,,0,,0,0,0,0,0,0,,36,,55
"            U. TX, M. D. Anderson Cancer Ctr.",200,,5,,0,4,0,0,31,0,,0,,160
"            U. TX, Medical Branch",79,,4,,0,3,3,0,15,0,,0,,54
"            U. TX, Pan American",2,,0,,0,0,0,0,0,0,,0,,2
"            U. TX, San Antonio",33,,2,,0,18,1,0,6,0,,4,,2
"            U. TX, Southwestern Medical Ctr., Dallas",387,,10,,0,30,4,0,66,0,,3,,274
,,,,,,,,,,,,,,
    Mountain,"2,452",,72,,5,133,15,5,899,4,,406,,913
,,,,,,,,,,,,,,
        Arizona,395,,9,,0,26,4,1,147,2,,12,,194
            AZ State U.,158,,5,,0,15,2,0,53,1,,1,,81
            Northern AZ U.,23,,1,,0,1,0,0,14,1,,0,,6
            U. AZ,214,,3,,0,10,2,1,80,0,,11,,107
,,,,,,,,,,,,,,
        Colorado,"1,016",,37,,2,99,6,2,570,0,,58,,242
            CO School of Mines,20,,0,,0,4,1,0,14,0,,0,,1
"            CO State U., Ft. Collins",186,,10,,1,43,1,2,90,0,,7,,32
            U. CO,799,,27,,1,50,4,0,463,0,,49,,205
            U. Denver,11,,0,,0,2,0,0,3,0,,2,,4
,,,,,,,,,,,,,,
        Idaho,61,,3,,0,1,1,1,31,1,,0,,23
            Boise State U.,10,,1,,0,0,0,0,5,0,,0,,4
            ID State U.,8,,1,,0,0,0,1,4,0,,0,,2
            U. ID,43,,1,,0,1,1,0,22,1,,0,,17
,,,,,,,,,,,,,,
        Montana,52,,1,,0,0,0,0,30,1,,0,,20
            MT State U.,36,,1,,0,0,0,0,22,1,,0,,12
            U. MT,16,,0,,0,0,0,0,8,0,,0,,8
,,,,,,,,,,,,,,
        Nevada,80,,2,,0,0,1,0,37,0,,0,,40
"            U. NV, Las Vegas",23,,0,,0,0,0,0,6,0,,0,,17
"            U. NV, Reno",57,,2,,0,0,1,0,31,0,,0,,23
,,,,,,,,,,,,,,
        New Mexico,151,,20,,3,3,2,0,56,0,,3,,64
            Eastern NM U.,1,,0,,0,0,0,0,0,0,,0,,1
            NM State U.,18,,2,,0,0,0,0,6,0,,3,,7
            U. NM,132,,18,,3,3,2,0,50,0,,0,,56
,,,,,,,,,,,,,,
        Utah,651,,0,,0,1,0,1,12,0,,330,,307
            Brigham Young U.,32,,0,,0,1,0,1,5,0,,1,,24
            U. UT,601,,0,,0,0,0,0,0,0,,329,,272
            UT State U.,18,,0,,0,0,0,0,7,0,,0,,11
,,,,,,,,,,,,,,
        Wyoming,46,,0,,0,3,1,0,16,0,,3,,23
            U. WY,46,,0,,0,3,1,0,16,0,,3,,23
,,,,,,,,,,,,,,
    Pacificb,"7,213",,216,,10,792,89,11,"2,010",63,,"1,142",,"2,880"
,,,,,,,,,,,,,,
        Alaska,50,,0,,0,0,0,0,26,0,,3,,21
"            U. AK, Anchorage",1,,0,,0,0,0,0,1,0,,0,,0
"            U. AK, Fairbanks",49,,0,,0,0,0,0,25,0,,3,,21
,,,,,,,,,,,,,,
        Californiab,"5,828",,175,,5,595,51,8,"1,516",29,,"1,072",,"2,377"
            CA Institute of Technology,464,,8,,0,48,5,0,132,4,,0,,267
"            CA State U., Los Angeles",2,,0,,0,0,0,0,1,0,,1,,0
            Loma Linda U.,46,,2,,0,3,2,0,3,3,,3,,30
            Loyola Marymount U.,1,,0,,0,0,0,0,0,0,,0,,1
            Occidental C.,5,,0,,0,0,0,0,4,0,,1,,0
            San Diego State U.,39,,2,,0,5,0,1,8,0,,6,,17
            San Francisco State U.,10,,1,,0,1,0,0,4,0,,0,,4
            Stanford U.,841,,18,,2,57,4,1,218,15,,46,,480
"            U. CA, Berkeley",874,,0,,0,0,0,0,0,0,,874,,0
"            U. CA, Davis",540,,27,,1,125,2,0,217,0,,43,,125
"            U. CA, Irvine",254,,11,,0,13,1,0,67,0,,3,,159
"            U. CA, Los Angeles",647,,30,,0,64,6,0,185,0,,12,,350
"            U. CA, Riverside",159,,3,,0,8,0,1,29,0,,2,,116
"            U. CA, San Diego",743,,22,,2,42,3,4,183,7,,37,,443
"            U. CA, San Francisco",652,,33,,0,171,18,0,252,0,,30,,148
"            U. CA, Santa Barbara",181,,3,,0,10,3,0,72,0,,2,,91
"            U. CA, Santa Cruz",138,,5,,0,16,1,0,71,0,,11,,34
            U. San Diego,1,,0,,0,0,0,0,1,0,,0,,0
            U. Southern CA,230,,10,,0,32,6,1,69,0,,1,,111
,,,,,,,,,,,,,,
        Hawaii,212,,5,,2,9,0,0,72,9,,11,,104
"            U. HI, Manoa",212,,5,,2,9,0,0,72,9,,11,,104
,,,,,,,,,,,,,,
        Oregon,395,,4,,1,24,1,2,207,1,,7,,148
            OR Health and Science U.,172,,2,,0,17,0,1,96,0,,0,,56
            OR State U.,141,,2,,1,5,1,0,69,0,,5,,58
            Portland State U.,17,,0,,0,1,0,0,7,0,,1,,8
            U. OR,65,,0,,0,1,0,1,35,1,,1,,26
,,,,,,,,,,,,,,
        Washington,728,,32,,2,164,37,1,189,24,,49,,230
            U. WA,597,,31,,2,157,35,1,158,23,,46,,144
            WA State U.,131,,1,,0,7,2,0,31,1,,3,,86
,,,,,,,,,,,,,,
    Outlying areas,46,,17,,0,1,0,0,6,0,,0,,22
,,,,,,,,,,,,,,
        Puerto Rico,46,,17,,0,1,0,0,6,0,,0,,22
            Ponce School of Medicine,1,,0,,0,0,0,0,0,0,,0,,1
            Universidad Central del Caribe,4,,3,,0,0,0,0,0,0,,0,,1
"            U. PR, Mayaguez",1,,0,,0,0,0,0,0,0,,0,,1
"            U. PR, Medical Sciences Campus",11,,7,,0,1,0,0,3,0,,0,,0
"            U. PR, Rio Piedras",29,,7,,0,0,0,0,3,0,,0,,19
