[ID],Year,Institution,state,St-Ups Formed
95181,2008,Univ. of Alabama in Huntsville,AL,10
95241,2008,Univ. of South Alabama,AL,0
20070261,2008,University of Alabama,AL,3
95007,2009,Auburn Univ.,AL,0
95182,2009,The UAB Research Fdn.,AL,5
95181,2009,Univ. of Alabama in Huntsville,AL,5
95241,2009,Univ. of South Alabama,AL,0
20070261,2009,University of Alabama,AL,2
95007,2010,Auburn Univ.,AL,1
95182,2010,The UAB Research Fdn.,AL,4
95181,2010,Univ. of Alabama in Huntsville,AL,4
95241,2010,Univ. of South Alabama,AL,2
20070261,2010,University of Alabama,AL,0
95007,2011,Auburn Univ.,AL,3
95182,2011,The UAB Research Fdn.,AL,5
95181,2011,Univ. of Alabama in Huntsville,AL,4
95241,2011,Univ. of South Alabama,AL,2
20070261,2011,University of Alabama,AL,0
95007,2012,Auburn Univ.,AL,1
95182,2012,The UAB Research Fdn.,AL,2
95181,2012,Univ. of Alabama in Huntsville,AL,2
95241,2012,Univ. of South Alabama,AL,0
20070261,2012,University of Alabama,AL,1
95007,2013,Auburn Univ.,AL,0
95182,2013,The UAB Research Fdn.,AL,2
95181,2013,Univ. of Alabama in Huntsville,AL,0
95186,1991,Univ. of Arkansas Fayetteville,AR,
95186,1992,Univ. of Arkansas Fayetteville,AR,
95186,1993,Univ. of Arkansas Fayetteville,AR,
95186,1994,Univ. of Arkansas Fayetteville,AR,0
95186,1995,Univ. of Arkansas Fayetteville,AR,1
95186,1996,Univ. of Arkansas Fayetteville,AR,0
95186,1997,Univ. of Arkansas Fayetteville,AR,0
95186,1998,Univ. of Arkansas Fayetteville,AR,1
95186,1999,Univ. of Arkansas Fayetteville,AR,1
95186,2000,Univ. of Arkansas Fayetteville,AR,0
95186,2001,Univ. of Arkansas Fayetteville,AR,1
97013,2001,Univ. of Arkansas for Medical Sciences,AR,1
95186,2002,Univ. of Arkansas Fayetteville,AR,2
97013,2002,Univ. of Arkansas for Medical Sciences,AR,3
95186,2003,Univ. of Arkansas Fayetteville,AR,0
97013,2003,Univ. of Arkansas for Medical Sciences,AR,2
95186,2004,Univ. of Arkansas Fayetteville,AR,3
97013,2004,Univ. of Arkansas for Medical Sciences,AR,3
95186,2005,Univ. of Arkansas Fayetteville,AR,3
97013,2005,Univ. of Arkansas for Medical Sciences,AR,0
97013,2006,Univ. of Arkansas for Medical Sciences,AR,0
95186,2007,Univ. of Arkansas Fayetteville,AR,3
97013,2007,Univ. of Arkansas for Medical Sciences,AR,1
95186,2008,Univ. of Arkansas Fayetteville,AR,1
97013,2008,Univ. of Arkansas for Medical Sciences,AR,0
95186,2009,Univ. of Arkansas Fayetteville,AR,1
97013,2009,Univ. of Arkansas for Medical Sciences,AR,2
95186,2010,Univ. of Arkansas Fayetteville,AR,5
95186,2011,Univ. of Arkansas Fayetteville,AR,2
97013,2011,Univ. of Arkansas for Medical Sciences,AR,2
95186,2012,Univ. of Arkansas Fayetteville,AR,3
97013,2012,Univ. of Arkansas for Medical Sciences,AR,4
95186,2013,Univ. of Arkansas Fayetteville,AR,2
97013,2013,Univ. of Arkansas for Medical Sciences,AR,4
95144,1991,Research Corporation Technologies,AZ,
95185,1991,Univ. of AZ,AZ,
95144,1992,Research Corporation Technologies,AZ,
95185,1992,Univ. of AZ,AZ,
95006,1993,AZ State University,AZ,
95144,1993,Research Corporation Technologies,AZ,
95185,1993,Univ. of AZ,AZ,
95006,1994,AZ State University,AZ,0
95144,1994,Research Corporation Technologies,AZ,0
95185,1994,Univ. of AZ,AZ,2
95006,1995,AZ State University,AZ,1
95144,1995,Research Corporation Technologies,AZ,2
95185,1995,Univ. of AZ,AZ,0
95006,1996,Arizona State University,AZ,3
95144,1996,Research Corporation Technologies,AZ,1
95185,1996,Univ. of Arizona,AZ,3
95006,1997,Arizona State University,AZ,2
95144,1997,Research Corporation Technologies,AZ,1
95185,1997,Univ. of Arizona,AZ,1
95006,1998,Arizona State University,AZ,0
95144,1998,Research Corporation Technologies,AZ,1
95185,1998,Univ. of Arizona,AZ,3
95006,1999,Arizona State University,AZ,1
95144,1999,Research Corporation Technologies,AZ,2
95185,1999,Univ. of Arizona,AZ,3
95006,2000,Arizona State University,AZ,2
95144,2000,Research Corporation Technologies,AZ,2
95185,2000,Univ. of Arizona,AZ,2
95006,2001,Arizona State University,AZ,5
95144,2001,Research Corporation Technologies,AZ,2
95185,2001,Univ. of Arizona,AZ,3
95006,2002,Arizona State Univ.,AZ,3
95144,2002,Research Corporation Technologies,AZ,0
95185,2002,Univ. of Arizona,AZ,5
95006,2003,Arizona State Univ.,AZ,1
95144,2003,Research Corporation Technologies,AZ,0
95185,2003,Univ. of Arizona,AZ,2
95006,2004,Arizona State Univ.,AZ,4
95144,2004,Research Corporation Technologies,AZ,0
95185,2004,Univ. of Arizona,AZ,4
95006,2005,Arizona State Univ.,AZ,5
95144,2005,Research Corporation Technologies,AZ,0
95185,2005,Univ. of Arizona,AZ,5
95006,2006,Arizona State Univ.,AZ,5
95144,2006,Research Corporation Technologies,AZ,0
95185,2006,Univ. of Arizona,AZ,3
95006,2007,Arizona State Univ.,AZ,4
95144,2007,Research Corporation Technologies,AZ,0
95185,2007,Univ. of Arizona,AZ,3
95006,2008,Arizona State Univ.,AZ,1
95144,2008,Research Corporation Technologies,AZ,0
95185,2008,Univ. of Arizona,AZ,6
95006,2009,Arizona State Univ.,AZ,5
20100273,2009,Northern Arizona University,AZ,0
95144,2009,Research Corporation Technologies,AZ,0
95185,2009,Univ. of Arizona,AZ,7
95006,2010,Arizona State Univ.,AZ,4
20100273,2010,Northern Arizona University,AZ,0
95144,2010,Research Corporation Technologies,AZ,0
95185,2010,Univ. of Arizona,AZ,6
95006,2011,Arizona State Univ.,AZ,10
20100273,2011,Northern Arizona University,AZ,0
95144,2011,Research Corporation Technologies,AZ,
95185,2011,Univ. of Arizona,AZ,8
95006,2012,Arizona State Univ.,AZ,9
20100273,2012,Northern Arizona University,AZ,1
95144,2012,Research Corporation Technologies,AZ,
95185,2012,Univ. of Arizona,AZ,5
95006,2013,Arizona State Univ.,AZ,11
20100273,2013,Northern Arizona University,AZ,0
95144,2013,Research Corporation Technologies,AZ,
95185,2013,Univ. of Arizona,AZ,3
95023,1991,CA Pacific Medical Ctr. Res. Inst.,CA,
95036,1991,Children's Hospital Oakland,CA,
95038,1991,City of Hope National Medical Ctr.,CA,
95152,1991,Salk Institute,CA,
95154,1991,San Diego State University,CA,
95165,1991,Stanford University,CA,
95188,1991,Univ. of CA System,CA,
95244,1991,Univ. of Southern CA,CA,
95023,1992,CA Pacific Medical Ctr. Res. Inst.,CA,
95036,1992,Children's Hospital Oakland,CA,
95038,1992,City of Hope National Medical Ctr.,CA,
95152,1992,Salk Institute,CA,
95154,1992,San Diego State University,CA,
95165,1992,Stanford University,CA,
95188,1992,Univ. of CA System,CA,
95244,1992,Univ. of Southern CA,CA,
95021,1993,Burnham Institute,CA,
95022,1993,CA Institute of Technology,CA,
95023,1993,CA Pacific Medical Ctr. Res. Inst.,CA,
95036,1993,Children's Hospital Oakland,CA,
95038,1993,City of Hope National Medical Ctr.,CA,
95152,1993,Salk Institute,CA,
95154,1993,San Diego State University,CA,
95163,1993,SRI International,CA,
95165,1993,Stanford University,CA,
95188,1993,Univ. of CA System,CA,
95244,1993,Univ. of Southern CA,CA,
95021,1994,Burnham Institute,CA,1
95022,1994,CA Institute of Technology,CA,2
95023,1994,CA Pacific Medical Ctr. Res. Inst.,CA,0
95024,1994,CA State Univ./Fullerton,CA,0
95038,1994,City of Hope National Medical Ctr.,CA,0
95152,1994,Salk Institute,CA,2
95154,1994,San Diego State University,CA,0
95163,1994,SRI International,CA,10
95165,1994,Stanford University,CA,9
95188,1994,Univ. of CA System,CA,4
95244,1994,Univ. of Southern CA,CA,0
95021,1995,Burnham Institute,CA,0
95022,1995,CA Institute of Technology,CA,4
95023,1995,CA Pacific Medical Ctr. Res. Inst.,CA,0
95038,1995,City of Hope National Medical Ctr.,CA,0
95087,1995,John Wayne Cancer Institute,CA,2
95152,1995,Salk Institute,CA,0
95154,1995,San Diego State University,CA,0
95163,1995,SRI International,CA,6
95165,1995,Stanford University,CA,2
95188,1995,Univ. of CA System,CA,11
95244,1995,Univ. of Southern CA,CA,3
95021,1996,Burnham Institute,CA,0
95022,1996,California Institute of Technology,CA,10
95023,1996,California Pacific Medical Ctr. Res. Inst.,CA,0
95038,1996,City of Hope National Medical Ctr.,CA,0
95152,1996,Salk Institute,CA,1
95154,1996,San Diego State University,CA,0
95163,1996,SRI International,CA,2
95165,1996,Stanford University,CA,14
95188,1996,Univ. of California System,CA,11
95244,1996,Univ. of Southern California,CA,3
95021,1997,Burnham Institute,CA,1
95022,1997,California Institute of Technology,CA,9
95023,1997,California Pacific Medical Ctr. Res. Inst.,CA,0
95038,1997,City of Hope National Medical Ctr.,CA,0
95152,1997,Salk Institute,CA,1
95165,1997,Stanford University,CA,15
96027,1997,Torrey Pines Inst. for Molecular Studies,CA,0
95188,1997,Univ. of California System,CA,13
95244,1997,Univ. of Southern California,CA,4
95022,1998,California Institute of Technology,CA,11
95023,1998,California Pacific Medical Ctr. Res. Inst.,CA,2
95038,1998,City of Hope National Medical Ctr.,CA,1
95152,1998,Salk Institute,CA,3
95165,1998,Stanford University,CA,9
95188,1998,Univ. of California System,CA,19
95244,1998,Univ. of Southern California,CA,2
95022,1999,California Institute of Technology,CA,7
95023,1999,California Pacific Medical Ctr. Res. Inst.,CA,0
99021,1999,California State Polytechnic University,CA,0
95038,1999,City of Hope National Medical Ctr.,CA,0
95152,1999,Salk Institute,CA,0
95154,1999,San Diego State University,CA,2
95165,1999,Stanford University,CA,19
96027,1999,Torrey Pines Inst. for Molecular Studies,CA,0
95188,1999,Univ. of California System,CA,13
95244,1999,Univ. of Southern California,CA,4
95022,2000,California Institute of Technology,CA,14
95023,2000,California Pacific Medical Ctr. Res. Inst.,CA,0
95038,2000,City of Hope National Medical Ctr.,CA,0
95154,2000,San Diego State University,CA,2
95165,2000,Stanford University,CA,8
95188,2000,Univ. of California System,CA,26
95244,2000,Univ. of Southern California,CA,7
95022,2001,California Institute of Technology,CA,12
95023,2001,California Pacific Medical Ctr. Res. Inst.,CA,0
95038,2001,City of Hope National Medical Ctr. & Beckman Res.,CA,0
95152,2001,Salk Institute for Biological Studies,CA,3
95154,2001,San Diego State University,CA,0
95165,2001,Stanford University,CA,6
95188,2001,Univ. of California System,CA,25
95244,2001,Univ. of Southern California,CA,9
95021,2002,Burnham Inst.,CA,2
95022,2002,California Inst. of Technology,CA,9
95023,2002,California Pacific Medical Ctr. Res. Inst.,CA,0
95038,2002,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,0
98012,2002,Monterey Bay Aquarium Research Inst.,CA,0
95165,2002,Stanford Univ.,CA,13
95152,2002,The Salk Inst. for Biological Studies,CA,0
95188,2002,Univ. of California System,CA,23
95244,2002,Univ. of Southern California,CA,10
95021,2003,Burnham Inst.,CA,2
95022,2003,California Inst. of Technology,CA,7
95023,2003,California Pacific Medical Ctr. Res. Inst.,CA,0
95036,2003,Children's Hospital Oakland Research Inst.,CA,0
20000250,2003,Childrens Hospital Los Angeles,CA,0
95038,2003,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,0
98012,2003,Monterey Bay Aquarium Research Inst.,CA,0
95165,2003,Stanford Univ.,CA,12
95152,2003,The Salk Inst. for Biological Studies,CA,1
95188,2003,Univ. of California System,CA,22
95244,2003,Univ. of Southern California,CA,6
95021,2004,Burnham Inst.,CA,0
95022,2004,California Inst. of Technology,CA,14
95023,2004,California Pacific Medical Ctr. Res. Inst.,CA,
95036,2004,Children's Hospital Oakland Research Inst.,CA,0
95038,2004,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,0
98012,2004,Monterey Bay Aquarium Research Inst.,CA,0
95165,2004,Stanford Univ.,CA,9
95152,2004,The Salk Inst. for Biological Studies,CA,2
96027,2004,Torrey Pines Inst. for Molecular Studies,CA,0
95188,2004,Univ. of California System,CA,5
95244,2004,Univ. of Southern California,CA,7
95021,2005,Burnham Inst.,CA,0
95022,2005,California Inst. of Technology,CA,16
95023,2005,California Pacific Medical Ctr. Res. Inst.,CA,0
95036,2005,Children's Hospital Oakland Research Inst.,CA,0
95038,2005,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,1
95152,2005,The Salk Inst. for Biological Studies,CA,0
95188,2005,Univ. of California System,CA,19
95244,2005,Univ. of Southern California,CA,7
95021,2006,Burnham Inst.,CA,
95022,2006,California Inst. of Technology,CA,12
95023,2006,California Pacific Medical Ctr. Res. Inst.,CA,2
95036,2006,Children's Hospital Oakland Research Inst.,CA,1
95038,2006,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,0
95165,2006,Stanford Univ.,CA,7
95152,2006,The Salk Inst. for Biological Studies,CA,1
95188,2006,Univ. of California System,CA,39
95244,2006,Univ. of Southern California,CA,5
95021,2007,Burnham Inst.,CA,1
95022,2007,California Inst. of Technology,CA,11
95023,2007,California Pacific Medical Ctr. Res. Inst.,CA,0
95036,2007,Children's Hospital Oakland Research Inst.,CA,0
95038,2007,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,1
95165,2007,Stanford Univ.,CA,6
95152,2007,The Salk Inst. for Biological Studies,CA,
95188,2007,Univ. of California System,CA,38
95244,2007,Univ. of Southern California,CA,2
95021,2008,Burnham Inst.,CA,3
95022,2008,California Inst. of Technology,CA,14
20000226,2008,Cedars-Sinai Medical Ctr.,CA,0
95036,2008,Children's Hospital Oakland Research Inst.,CA,0
95038,2008,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,0
95154,2008,San Diego State University,CA,0
95165,2008,Stanford Univ.,CA,9
95152,2008,The Salk Inst. for Biological Studies,CA,0
95188,2008,Univ. of California System,CA,55
95244,2008,Univ. of Southern California,CA,5
95022,2009,California Inst. of Technology,CA,18
20000226,2009,Cedars-Sinai Medical Ctr.,CA,0
95036,2009,Children's Hospital Oakland Research Inst.,CA,0
95038,2009,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,1
95154,2009,San Diego State University,CA,0
95021,2009,Sanford-Burnham Medical Research Institute,CA,
95165,2009,Stanford Univ.,CA,9
95152,2009,The Salk Inst. for Biological Studies,CA,4
95188,2009,Univ. of California System,CA,47
95244,2009,Univ. of Southern California,CA,5
95022,2010,California Inst. of Technology,CA,10
20000226,2010,Cedars-Sinai Medical Ctr.,CA,0
95036,2010,Children's Hospital Oakland Research Inst.,CA,0
95038,2010,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,0
95154,2010,San Diego State University,CA,3
95021,2010,Sanford-Burnham Medical Research Institute,CA,0
95165,2010,Stanford Univ.,CA,
95152,2010,The Salk Inst. for Biological Studies,CA,1
95188,2010,Univ. of California System,CA,75
95244,2010,Univ. of Southern California,CA,6
95022,2011,California Inst. of Technology,CA,10
20000226,2011,Cedars-Sinai Medical Ctr.,CA,0
95036,2011,Children's Hospital Oakland Research Inst.,CA,0
95038,2011,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,
20000011,2011,Keck Graduate Inst. of Applied Life Sciences,CA,0
95154,2011,San Diego State University,CA,4
95165,2011,Stanford Univ.,CA,
95152,2011,The Salk Inst. for Biological Studies,CA,1
95156,2011,The Scripps Research Inst.,CA,4
95188,2011,Univ. of California System,CA,58
95244,2011,Univ. of Southern California,CA,6
95022,2012,California Inst. of Technology,CA,7
20000226,2012,Cedars-Sinai Medical Ctr.,CA,1
95036,2012,Children's Hospital Oakland Research Inst.,CA,0
95038,2012,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,1
95154,2012,San Diego State University,CA,3
95021,2012,Sanford-Burnham Medical Research Institute,CA,1
95165,2012,Stanford Univ.,CA,
95152,2012,The Salk Inst. for Biological Studies,CA,1
95188,2012,Univ. of California System,CA,55
95244,2012,Univ. of Southern California,CA,7
95022,2013,California Inst. of Technology,CA,11
20000226,2013,Cedars-Sinai Medical Ctr.,CA,1
20000250,2013,Childrens Hospital Los Angeles,CA,2
95038,2013,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,2
95154,2013,San Diego State University,CA,1
95021,2013,Sanford-Burnham Medical Research Institute,CA,1
95165,2013,Stanford Univ.,CA,9
95152,2013,The Salk Inst. for Biological Studies,CA,0
95188,2013,Univ. of California System,CA,66
95072,1998,Hospital for Sick Children Research,CANADA,3
95072,1999,Hospital for Sick Children Research,CANADA,2
95072,2000,Hospital for Sick Children Research,CANADA,3
95193,1991,Univ. of CN,CN,
95282,1991,Yale University,CN,
95193,1992,Univ. of CN,CN,
95282,1992,Yale University,CN,
95046,1993,Competitive Technologies Inc. (CTI),CN,
95193,1993,Univ. of CN,CN,
95282,1993,Yale University,CN,
95046,1994,Competitive Technologies Inc. (CTI),CN,5
95193,1994,Univ. of CN,CN,0
95282,1994,Yale University,CN,1
95046,1995,Competitive Technologies Inc. (CTI),CN,2
95193,1995,Univ. of CN,CN,1
95282,1995,Yale University,CN,2
95044,1991,CO State University,CO,
95192,1991,Univ. of CO,CO,
95044,1992,CO State University,CO,
95192,1992,Univ. of CO,CO,
95113,1993,National Jewish Center,CO,
95192,1993,Univ. of CO,CO,
95196,1993,Univ. of Denver,CO,
95044,1994,CO State University,CO,1
95113,1994,National Jewish Center,CO,0
95192,1994,Univ. of CO,CO,1
95196,1994,Univ. of Denver,CO,0
95044,1995,CO State University,CO,0
95113,1995,National Jewish Center,CO,0
95192,1995,Univ. of CO,CO,1
95196,1995,Univ. of Denver,CO,0
95044,1996,Colorado State University,CO,2
95113,1996,National Jewish Med. and Res. Ctr.,CO,0
95192,1996,Univ. of Colorado,CO,0
95196,1996,Univ. of Denver,CO,0
95044,1997,Colorado State University,CO,3
95113,1997,National Jewish Med. and Res. Ctr.,CO,0
95192,1997,Univ. of Colorado,CO,4
95196,1997,Univ. of Denver,CO,0
95044,1998,Colorado State University,CO,0
95113,1998,National Jewish Med. and Res. Ctr.,CO,0
95044,1999,Colorado State University,CO,4
95113,1999,National Jewish Med. and Res. Ctr.,CO,0
95192,1999,Univ. of Colorado,CO,1
95044,2000,Colorado State University,CO,2
95113,2000,National Jewish Med. and Res. Ctr.,CO,0
95044,2001,Colorado State University,CO,0
95113,2001,National Jewish Med. and Res. Ctr.,CO,1
95192,2001,Univ. of Colorado,CO,3
95196,2001,Univ. of Denver,CO,0
95044,2002,Colorado State Univ.,CO,0
95113,2002,National Jewish Med. and Res. Ctr.,CO,1
95192,2002,Univ. of Colorado,CO,3
95044,2003,Colorado State Univ.,CO,1
95113,2003,National Jewish Med. and Res. Ctr.,CO,1
95192,2003,Univ. of Colorado,CO,6
95044,2004,Colorado State Univ.,CO,2
95113,2004,National Jewish Med. and Res. Ctr.,CO,1
95192,2004,Univ. of Colorado,CO,9
95196,2004,Univ. of Denver,CO,0
95044,2005,Colorado State Univ.,CO,2
95113,2005,National Jewish Med. and Res. Ctr.,CO,1
95192,2005,Univ. of Colorado,CO,9
95044,2006,Colorado State Univ.,CO,5
95113,2006,National Jewish Med. and Res. Ctr.,CO,0
95192,2006,Univ. of Colorado,CO,10
95196,2006,Univ. of Denver,CO,
95044,2007,Colorado State Univ.,CO,6
95113,2007,National Jewish Med. and Res. Ctr.,CO,0
95192,2007,Univ. of Colorado,CO,10
95196,2007,Univ. of Denver,CO,
95044,2008,Colorado State Univ.,CO,3
95113,2008,National Jewish Health,CO,1
95192,2008,Univ. of Colorado,CO,11
95044,2009,Colorado State Univ.,CO,1
95113,2009,National Jewish Health,CO,0
95192,2009,Univ. of Colorado,CO,11
95196,2009,Univ. of Denver,CO,
95044,2010,Colorado State Univ.,CO,5
95113,2010,National Jewish Health,CO,1
95192,2010,Univ. of Colorado,CO,9
95043,2011,Colorado School of Mines,CO,2
95044,2011,Colorado State Univ.,CO,5
95113,2011,National Jewish Health,CO,0
95192,2011,Univ. of Colorado,CO,11
95043,2012,Colorado School of Mines,CO,2
95044,2012,Colorado State Univ.,CO,6
95113,2012,National Jewish Health,CO,1
95192,2012,Univ. of Colorado,CO,10
95043,2013,Colorado School of Mines,CO,1
95044,2013,Colorado State Univ.,CO,7
95113,2013,National Jewish Health,CO,0
95192,2013,Univ. of Colorado,CO,8
95196,2013,Univ. of Denver,CO,
95046,1996,Competitive Technologies Inc. (CTI),CT,2
95193,1996,Univ. of Connecticut,CT,1
95282,1996,Yale University,CT,3
95193,1997,Univ. of Connecticut,CT,1
95282,1997,Yale University,CT,1
95091,1998,Lehigh University,CT,0
95193,1998,Univ. of Connecticut,CT,1
95282,1998,Yale University,CT,6
95046,1999,Competitive Technologies Inc. (CTI),CT,0
95091,1999,Lehigh University,CT,
95193,1999,Univ. of Connecticut,CT,2
95282,1999,Yale University,CT,3
95193,2000,Univ. of Connecticut,CT,0
95193,2001,Univ. of Connecticut,CT,2
95193,2002,Univ. of Connecticut,CT,1
95193,2003,Univ. of Connecticut,CT,1
95193,2004,Univ. of Connecticut,CT,2
95193,2005,Univ. of Connecticut,CT,2
95193,2006,Univ. of Connecticut,CT,1
95193,2007,Univ. of Connecticut,CT,3
95193,2008,Univ. of Connecticut,CT,3
95193,2009,Univ. of Connecticut,CT,7
95193,2010,Univ. of Connecticut,CT,6
95193,2011,Univ. of Connecticut,CT,
95193,2012,Univ. of Connecticut,CT,5
95193,2013,Univ. of Connecticut,CT,4
95066,1993,Georgetown University,DC,
95066,1994,Georgetown University,DC,0
95066,1995,Georgetown University,DC,0
95066,1996,Georgetown University,DC,0
95066,2000,Georgetown University,DC,2
95066,2001,Georgetown University,DC,0
95066,2002,Georgetown Univ.,DC,0
96045,2003,The Catholic University of America,DC,1
95066,2004,Georgetown Univ.,DC,1
96045,2004,The Catholic University of America,DC,0
95066,2005,Georgetown Univ.,DC,0
96045,2005,The Catholic University of America,DC,1
95066,2006,Georgetown Univ.,DC,2
96045,2006,The Catholic University of America,DC,1
95066,2007,Georgetown Univ.,DC,3
95066,2008,Georgetown Univ.,DC,0
95066,2009,Georgetown Univ.,DC,0
95066,2010,Georgetown Univ.,DC,0
95066,2011,Georgetown Univ.,DC,2
95066,2012,Georgetown Univ.,DC,1
95066,2013,Georgetown Univ.,DC,1
96045,2013,The Catholic University of America,DC,0
95195,1993,Univ. of Delaware,DE,
95195,1994,Univ. of Delaware,DE,0
95195,1995,Univ. of Delaware,DE,0
95195,1996,Univ. of Delaware,DE,0
95195,1997,Univ. of Delaware,DE,0
95195,1998,Univ. of Delaware,DE,0
95195,1999,Univ. of Delaware,DE,2
95195,2000,Univ. of Delaware,DE,1
95195,2001,Univ. of Delaware,DE,3
95195,2002,Univ. of Delaware,DE,0
95195,2003,Univ. of Delaware,DE,0
95195,2004,Univ. of Delaware,DE,3
95195,2005,Univ. of Delaware,DE,
95195,2006,Univ. of Delaware,DE,0
95195,2007,Univ. of Delaware,DE,3
95195,2008,Univ. of Delaware,DE,0
95195,2010,Univ. of Delaware,DE,1
95195,2011,Univ. of Delaware,DE,1
95195,2012,Univ. of Delaware,DE,2
95195,2013,Univ. of Delaware,DE,2
95060,1991,FL Atlantic University,FL,
95189,1991,Univ. of Central FL,FL,
95197,1991,Univ. of FL,FL,
95217,1991,Univ. of Miami,FL,
95243,1991,Univ. of South FL,FL,
95060,1992,FL Atlantic University,FL,
95189,1992,Univ. of Central FL,FL,
95197,1992,Univ. of FL,FL,
95217,1992,Univ. of Miami,FL,
95243,1992,Univ. of South FL,FL,
95062,1993,FL State University,FL,
95189,1993,Univ. of Central FL,FL,
95197,1993,Univ. of FL,FL,
95217,1993,Univ. of Miami,FL,
95243,1993,Univ. of South FL,FL,
95060,1994,FL Atlantic University,FL,
95062,1994,FL State University,FL,0
95189,1994,Univ. of Central FL,FL,1
95197,1994,Univ. of FL,FL,7
95217,1994,Univ. of Miami,FL,0
95060,1995,FL Atlantic University,FL,1
95062,1995,FL State University,FL,0
95189,1995,Univ. of Central FL,FL,0
95197,1995,Univ. of FL,FL,3
95243,1995,Univ. of South FL,FL,1
95062,1996,Florida State University,FL,0
95189,1996,Univ. of Central Florida,FL,3
95197,1996,Univ. of Florida,FL,0
95217,1996,Univ. of Miami,FL,2
95243,1996,Univ. of South Florida,FL,2
95062,1997,Florida State University,FL,1
95197,1997,Univ. of Florida,FL,0
95217,1997,Univ. of Miami,FL,0
95243,1997,Univ. of South Florida,FL,4
95062,1998,Florida State University,FL,2
95197,1998,Univ. of Florida,FL,4
95217,1998,Univ. of Miami,FL,2
95243,1998,Univ. of South Florida,FL,3
95062,1999,Florida State University,FL,1
95197,1999,Univ. of Florida,FL,2
95217,1999,Univ. of Miami,FL,0
95243,1999,Univ. of South Florida,FL,8
95061,2000,Florida Institute of Technology,FL,0
2000008,2000,Florida International University,FL,0
95062,2000,Florida State University,FL,2
95197,2000,Univ. of Florida,FL,6
95217,2000,Univ. of Miami,FL,0
95243,2000,Univ. of South Florida,FL,3
95060,2001,Florida Atlantic University,FL,0
95062,2001,Florida State University,FL,2
95189,2001,Univ. of Central Florida,FL,4
95197,2001,Univ. of Florida,FL,3
95217,2001,Univ. of Miami,FL,0
95243,2001,Univ. of South Florida,FL,3
95060,2002,Florida Atlantic Univ.,FL,1
2000008,2002,Florida International Univ.,FL,0
95062,2002,Florida State Univ.,FL,2
