[ID],Year,Institution,insttype,state,medschl,PROGYEAR,COUNTRY,Lic FTEs,Oth FTEs,Tot Res Exp,Fed Res Exp,Ind Res Exp,Lic Iss,Opt Iss,Tot Discl Lic,Excl Lic/Opt.,Non-Excl Lic/Opt,Excl Lic Lg Co,Non-Excl Lic Lg Co,Excl Lic Sm Co,Non-Excl Lic Sm Co,Excl Lic St-Ups,Non-Excl St-Ups,Lic w Equ,Act Lic,Tot Lic St-Ups,Tot Lic Sm Co,Tot Lic Lg Co,Res Fnd from Lic,Lic Gen Inc,Lic Gen Run Roy,Lic $1mm+,Tot Lic/Opt Exe,Gross Lic Inc,Lic Inc Run Roy,Lic Inc Equ,Lic Inc Other,Lic Inc Pd Oth,Leg Fees,Reimb Leg Fee,Inv Dis Rec,Inv Dis Cld,Cum Inv Dis Cld,Inact Inv Dis,Techn Lic,Tot Pat App Fld,New Pat App Fld,For. Pat App Fld,Pro Pat App Fld,Util Pat App Fld,Iss US Pat,St-Ups Formed,St-Ups No Fnd,St-Ups Inst Fnd,St-Ups SBIR Fnd,St-Ups F&F Fnd,St-Ups Angl Fnd,St-Ups Angl Netw Fnd,St-Ups State Fnd,St-Ups VC Fnd,St-Ups Corp Fnd,St-Ups Oth Fnd,St-Ups in Home St,St-Ups Cld,Cum Op St-Ups,St-Ups w Equ,New Prod
95126,1991,Northern Illinois University,5U,IL,NO,1985,, , ,"$16,200,000 ","$6,300,000 ","$2,400,000 ",,,,,,,,,,,,,,,,, ,0,,,0,$0 , , , , , , ,3,,,,,1,1,,,,,,,,,,,,,,,,,,,,
95127,1991,Northwestern University,5U,IL,YES,1985,, , ,"$122,500,000 ","$75,700,000 ","$11,200,000 ",,,,,,,,,,,,,,,,, ,11,,,4,"$265,311 ", , , , , , ,36,,,,,12,9,,,,,,,,,,,,,,,,,,,,
95128,1991,Ohio State University,5U,OH,YES,1984,, , ,"$154,000,000 ","$96,000,000 ","$10,000,000 ",,,,,,,,,,,,,,,,, ,15,,,16,"$1,600,000 ", , , , , , ,47,,,,,20,16,,,,,,,,,,,,,,,,,,,,
98013,1991,Oklahoma Medical Research Fndtn.,5U,OK,NO,1990,, , ,"$19,191,196 ","$5,092,715 ","$1,000,000 ",,,,,,,,,,,,,,,,, ,1,,,2,"$10,000 ", , , , , , ,3,,,,,9,2,,,,,,,,,,,,,,,,,,,,
95133,1991,Oregon State University,5U,OR,NO,1980,, , ,"$105,872,702 ","$72,875,871 ","$3,183,092 ",,,,,,,,,,,,,,,,, ,24,,,4,"$365,379 ", , , , , , ,27,,,,,12,10,,,,,,,,,,,,,,,,,,,,
95135,1991,Penn State University,5U,PA,YES,1989,, , ,"$275,202,000 ","$141,722,000 ","$39,753,000 ",,,,,,,,,,,,,,,,, ,29,,,14,"$362,863 ", , , , , , ,93,,,,,22,18,,,,,,,,,,,,,,,,,,,,
95138,1991,Princeton University,5U,NJ,NO,1987,, , ,"$69,378,638 ","$54,024,648 ","$4,731,229 ",,,,,,,,,,,,,,,,, ,9,,,12,"$169,088 ", , , , , , ,41,,,,,20,15,,,,,,,,,,,,,,,,,,,,
95140,1991,Queen's University,3CN,,YES,1985,CANADA, , ,"$48,560,000 ","$28,642,500 ","$4,575,833 ",,,,,,,,,,,,,,,,, ,11,,,6,"$274,079 ", , , , , , ,30,,,,,7,14,,,,,,,,,,,,,,,,,,,,
95144,1991,Research Corporation Technologies,2PMF,AZ,NO,,, , , , , ,,,,,,,,,,,,,,,,, ,107,,,21,"$42,979,173 ", , , , , , ,635,,,,,19,,,,,,,,,,,,,,,,,,,,,
95147,1991,Rice University,5U,TX,NO,1988,, , ,"$30,700,000 ","$22,800,000 ","$5,100,000 ",,,,,,,,,,,,,,,,, ,1,,,0,"$40,000 ", , , , , , ,12,,,,,2,2,,,,,,,,,,,,,,,,,,,,
95150,1991,Rutgers The State University of  NJ,5U,NJ,NO,1982,, , ,"$95,957,823 ","$51,125,055 ","$11,436,833 ",,,,,,,,,,,,,,,,, ,17,,,13,"$1,658,078 ", , , , , , ,52,,,,,21,9,,,,,,,,,,,,,,,,,,,,
95152,1991,Salk Institute,4HRI,CA,NO,1969,, , ,"$35,708,000 ","$23,296,000 ","$65,000 ",,,,,,,,,,,,,,,,, ,75,,,14,"$1,970,000 ", , , , , , ,50,,,,,40,18,,,,,,,,,,,,,,,,,,,,
95154,1991,San Diego State University,5U,CA,NO,1988,, , ,"$44,533,864 ","$27,471,071 ","$1,085,420 ",,,,,,,,,,,,,,,,, ,0,,,0,$0 , , , , , , ,5,,,,,0,0,,,,,,,,,,,,,,,,,,,,
95164,1991,St. Jude Children's Research Hospital,4HRI,TN,NO,1988,, , ,"$13,736,763 ","$12,837,881 ","$207,147 ",,,,,,,,,,,,,,,,, ,5,,,3,"$8,294 ", , , , , , ,5,,,,,1,1,,,,,,,,,,,,,,,,,,,,
95165,1991,Stanford University,5U,CA,YES,1969,, , ,"$280,100,000 ","$245,200,000 ","$14,100,000 ",,,,,,,,,,,,,,,,, ,160,,,96,"$25,650,000 ", , , , , , ,141,,,,,55,40,,,,,,,,,,,,,,,,,,,,
95169,1991,Syracuse University,5U,NY,NO,1989,, , ,"$31,200,000 ","$19,040,000 ","$2,150,000 ",,,,,,,,,,,,,,,,, ,6,,,2,"$65,780 ", , , , , , ,16,,,,,7,7,,,,,,,,,,,,,,,,,,,,
95170,1991,Temple University,5U,PA,YES,1986,, , ,"$73,000,000 ","$41,000,000 ","$23,000,000 ",,,,,,,,,,,,,,,,, ,14,,,14,"$328,000 ", , , , , , ,21,,,,,13,13,,,,,,,,,,,,,,,,,,,,
95168,1991,The Research Foundation of SUNY,5U,NY,YES,1979,, , ,"$396,551,379 ","$277,150,500 ","$35,365,371 ",,,,,,,,,,,,,,,,, ,30,,,17,"$730,398 ", , , , , , ,120,,,,,49,35,,,,,,,,,,,,,,,,,,,,
95176,1991,Tulane University,5U,LA,YES,1987,, , ,"$37,018,593 ","$28,060,067 ","$5,663,756 ",,,,,,,,,,,,,,,,, ,6,,,3,"$4,200,000 ", , , , , , ,9,,,,,14,6,,,,,,,,,,,,,,,,,,,,
95182,1991,Univ. of AL/Birmingham,5U,AL,YES,1987,, , ,"$129,320,534 ","$99,227,018 ","$4,500,000 ",,,,,,,,,,,,,,,,, ,15,,,17,"$340,209 ", , , , , , ,61,,,,,17,17,,,,,,,,,,,,,,,,,,,,
95184,1991,Univ. of Alberta,3CN,,YES,1985,CANADA, , ,"$68,957,500 ","$36,478,333 ","$6,171,666 ",,,,,,,,,,,,,,,,, ,12,,,3,"$166,667 ", , , , , , ,19,,,,,3,1,,,,,,,,,,,,,,,,,,,,
95186,1991,Univ. of Arkansas Fayetteville,5U,AR,NO,1990,, , ,"$23,450,000 ","$18,130,000 ","$5,320,000 ",,,,,,,,,,,,,,,,, ,11,,,5,"$81,093 ", , , , , , ,16,,,,,10,10,,,,,,,,,,,,,,,,,,,,
95185,1991,Univ. of AZ,5U,AZ,YES,1987,, , ,"$195,633,000 ","$92,920,000 ","$10,246,000 ",,,,,,,,,,,,,,,,, ,12,,,10,"$116,305 ", , , , , , ,92,,,,,12,12,,,,,,,,,,,,,,,,,,,,
95187,1991,Univ. of British Columbia,3CN,,YES,1985,CANADA, , ,"$97,416,667 ","$60,750,000 ","$8,166,667 ",,,,,,,,,,,,,,,,, ,23,,,4,"$338,931 ", , , , , , ,81,,,,,33,16,,,,,,,,,,,,,,,,,,,,
95188,1991,Univ. of CA System,5U,CA,YES,1979,, , ,"$1,169,701,000 ","$653,273,000 ","$53,860,000 ",,,,,,,,,,,,,,,,, ,393,,,106,"$18,655,840 ", , , , , , ,468,,,,,219,126,,,,,,,,,,,,,,,,,,,,
95189,1991,Univ. of Central FL,5U,FL,NO,1989,, , ,"$24,000,000 ","$11,000,000 ","$5,300,000 ",,,,,,,,,,,,,,,,, ,3,,,2,"$74,900 ", , , , , , ,16,,,,,8,8,,,,,,,,,,,,,,,,,,,,
95191,1991,Univ. of Cincinnati,5U,OH,YES,1983,, , ,"$65,987,409 ","$50,703,478 ","$5,114,402 ",,,,,,,,,,,,,,,,, ,12,,,12,"$529,795 ", , , , , , ,48,,,,,12,,,,,,,,,,,,,,,,,,,,,
95193,1991,Univ. of CN,5U,CN,YES,1987,, , ,"$69,000,000 ","$52,000,000 ","$6,000,000 ",,,,,,,,,,,,,,,,, ,5,,,7,"$201,000 ", , , , , , ,30,,,,,13,11,,,,,,,,,,,,,,,,,,,,
95192,1991,Univ. of CO,5U,CO,YES,1985,, , ,"$179,283,294 ","$140,435,706 ","$9,679,689 ",,,,,,,,,,,,,,,,, ,33,,,8,"$575,788 ", , , , , , ,62,,,,,25,11,,,,,,,,,,,,,,,,,,,,
95194,1991,Univ. of Dayton,5U,OH,NO,1984,, , ,"$36,800,000 ","$31,500,000 ","$4,600,000 ",,,,,,,,,,,,,,,,, ,8,,,4,"$235,000 ", , , , , , ,18,,,,,5,4,,,,,,,,,,,,,,,,,,,,
95197,1991,Univ. of FL,5U,FL,YES,1981,, , ,"$190,643,575 ","$92,198,752 ","$11,946,637 ",,,,,,,,,,,,,,,,, ,23,,,20,"$4,276,788 ", , , , , , ,105,,,,,39,20,,,,,,,,,,,,,,,,,,,,
95202,1991,Univ. of Illinois at Chicago,5U,IL,YES,1982,, , ,"$85,720,000 ","$54,210,000 ","$5,910,000 ",,,,,,,,,,,,,,,,, ,4,,,2,"$519,000 ", , , , , , ,33,,,,,16,14,,,,,,,,,,,,,,,,,,,,
95203,1991,Univ. of Illinois Urbana Champaign,5U,IL,NO,1965,, , ,"$167,096,349 ","$118,726,488 ","$29,278,990 ",,,,,,,,,,,,,,,,, ,28,,,6,"$267,949 ", , , , , , ,41,,,,,19,11,,,,,,,,,,,,,,,,,,,,
95208,1991,Univ. of Maine,5U,ME,NO,,, , ,"$15,600,000 ","$9,828,000 ","$1,092,000 ",,,,,,,,,,,,,,,,, ,2,,,0,"$10,000 ", , , , , , ,4,,,,,1,1,,,,,,,,,,,,,,,,,,,,
95210,1991,Univ. of Maryland Baltimore,5U,MD,YES,1989,, , ,"$98,600,000 ","$53,800,000 ","$3,200,000 ",,,,,,,,,,,,,,,,, ,4,,,3,"$140,000 ", , , , , , ,51,,,,,6,6,,,,,,,,,,,,,,,,,,,,
95212,1991,Univ. of Maryland College Park,5U,MD,NO,1987,, , ,"$112,800,000 ","$89,900,000 ","$5,500,000 ",,,,,,,,,,,,,,,,, ,16,,,20,"$270,578 ", , , , , , ,55,,,,,11,11,,,,,,,,,,,,,,,,,,,,
95214,1991,Univ. of Massachusetts/Amherst,5U,MA,NO,1987,, , ,"$47,400,000 ","$33,700,000 ","$5,600,000 ",,,,,,,,,,,,,,,,, ,4,,,0,$900 , , , , , , ,20,,,,,4,4,,,,,,,,,,,,,,,,,,,,
95217,1991,Univ. of Miami,5U,FL,YES,1989,, , ,"$110,849,000 ","$79,143,000 ","$292,385 ",,,,,,,,,,,,,,,,, ,5,,,9,"$49,176 ", , , , , , ,29,,,,,12,12,,,,,,,,,,,,,,,,,,,,
95218,1991,Univ. of Michigan,5U,MI,YES,1982,, , ,"$324,100,000 ","$209,200,000 ","$23,400,000 ",,,,,,,,,,,,,,,,, ,42,,,22,"$950,000 ", , , , , , ,94,,,,,43,19,,,,,,,,,,,,,,,,,,,,
95219,1991,Univ. of Minnesota,5U,MN,YES,1983,, , ,"$241,500,000 ","$180,000,000 ","$15,800,000 ",,,,,,,,,,,,,,,,, ,27,,,35,"$538,507 ", , , , , , ,170,,,,,65,34,,,,,,,,,,,,,,,,,,,,
95221,1991,Univ. of Missouri System,5U,MO,YES,1987,, , ,"$55,919,813 ","$34,143,804 ","$10,070,419 ",,,,,,,,,,,,,,,,, ,10,,,9,"$887,275 ", , , , , , ,54,,,,,10,9,,,,,,,,,,,,,,,,,,,,
95230,1991,Univ. of North Carolina/ Chapel Hill,5U,NC,YES,1970,, , ,"$173,923,618 ","$137,047,729 ","$27,544,411 ",,,,,,,,,,,,,,,,, ,24,,,10,"$393,125 ", , , , , , ,68,,,,,32,17,,,,,,,,,,,,,,,,,,,,
95236,1991,Univ. of Oregon,5U,OR,NO,,, , ,"$38,400,000 ","$32,600,000 ","$200,000 ",,,,,,,,,,,,,,,,, ,,,,, , , , , , , ,10,,,,,7,7,,,,,,,,,,,,,,,,,,,,
95240,1991,Univ. of Rochester,5U,NY,YES,1970,, , ,"$140,828,000 ","$115,643,000 ","$3,998,000 ",,,,,,,,,,,,,,,,, ,13,,,4,"$1,320,824 ", , , , , , ,30,,,,,22,19,,,,,,,,,,,,,,,,,,,,
95243,1991,Univ. of South FL,5U,FL,YES,1988,, , ,"$57,407,702 ","$25,151,452 ","$11,735,415 ",,,,,,,,,,,,,,,,, ,5,,,3,"$41,739 ", , , , , , ,15,,,,,6,6,,,,,,,,,,,,,,,,,,,,
95244,1991,Univ. of Southern CA,5U,CA,YES,1976,, , ,"$183,344,000 ","$149,685,000 ","$5,875,000 ",,,,,,,,,,,,,,,,, ,8,,,6,"$400,889 ", , , , , , ,47,,,,,15,15,,,,,,,,,,,,,,,,,,,,
95246,1991,Univ. of Texas  Hlth Sci Ctr San Antonio,5U,TX,YES,1987,, , ,"$90,000,000 ","$65,000,000 ","$18,000,000 ",,,,,,,,,,,,,,,,, ,10,,,5,"$300,000 ", , , , , , ,10,,,,,5,5,,,,,,,,,,,,,,,,,,,,
95248,1991,Univ. of Texas at Austin,5U,TX,NO,1980,, , ,"$171,724,765 ","$121,944,620 ","$16,995,231 ",,,,,,,,,,,,,,,,, ,70,,,25,"$637,502 ", , , , , , ,60,,,,,28,12,,,,,,,,,,,,,,,,,,,,
95252,1991,Univ. of Texas Southwestern Med. Ctr.,5U,TX,YES,1976,, , ,"$87,165,000 ","$57,750,000 ","$2,790,000 ",,,,,,,,,,,,,,,,, ,13,,,8,"$870,000 ", , , , , , ,42,,,,,38,17,,,,,,,,,,,,,,,,,,,,
95254,1991,Univ. of Toronto,3CN,,YES,1981,CANADA, , ,"$122,333,333 ","$71,933,333 ","$15,000,000 ",,,,,,,,,,,,,,,,, ,13,,,13,"$327,468 ", , , , , , ,75,,,,,16,15,,,,,,,,,,,,,,,,,,,,
95256,1991,Univ. of Utah,5U,UT,YES,1970,, , ,"$109,500,000 ","$88,500,000 ","$17,500,000 ",,,,,,,,,,,,,,,,, ,42,,,29,"$1,062,110 ", , , , , , ,103,,,,,39,27,,,,,,,,,,,,,,,,,,,,
95260,1991,Univ. of Washington/Wash. Res. Fndtn.,5U,WA,YES,1983,, , ,"$356,000,000 ","$288,000,000 ","$19,000,000 ",,,,,,,,,,,,,,,,, ,78,,,20,"$2,500,000 ", , , , , , ,111,,,,,29,20,,,,,,,,,,,,,,,,,,,,
95261,1991,Univ. of Waterloo,3CN,,NO,1979,CANADA, , ,"$44,666,667 ","$31,250,000 ","$5,000,000 ",,,,,,,,,,,,,,,,, ,42,,,10,"$2,166,667 ", , , , , , ,,,,,,7,7,,,,,,,,,,,,,,,,,,,,
95262,1991,Univ. of Western Ontario,3CN,,YES,1950,CANADA, , ,"$47,500,000 ","$23,333,333 ","$3,666,666 ",,,,,,,,,,,,,,,,, ,2,,,1,"$4,167 ", , , , , , ,8,,,,,,,,,,,,,,,,,,,,,,,,,,
95268,1991,Vanderbilt University,5U,TN,YES,1991,, , ,"$109,100,000 ","$83,200,000 ","$24,500,000 ",,,,,,,,,,,,,,,,, ,5,,,3,"$118,300 ", , , , , , ,37,,,,,13,13,,,,,,,,,,,,,,,,,,,,
95272,1991,W.A.R.F./Univ. of Wisconsin-Madison,5U,WI,YES,1925,, , ,"$251,000,000 ","$194,000,000 ", ,,,,,,,,,,,,,,,,, ,72,,,25,"$11,811,109 ", , , , , , ,128,,,,,67,43,,,,,,,,,,,,,,,,,,,,
95273,1991,Wake Forest University,5U,NC,YES,1985,, , ,"$58,100,000 ","$44,700,000 ","$6,800,000 ",,,,,,,,,,,,,,,,, ,4,,,1,"$7,224 ", , , , , , ,4,,,,,3,1,,,,,,,,,,,,,,,,,,,,
95274,1991,Washington State University,5U,WA,NO,1980,, , ,"$62,000,000 ","$36,000,000 ","$3,000,000 ",,,,,,,,,,,,,,,,, ,20,,,8,"$146,000 ", , , , , , ,33,,,,,6,4,,,,,,,,,,,,,,,,,,,,
95275,1991,Washington University,5U,MO,YES,1970,, , ,"$180,996,000 ","$144,948,000 ","$17,601,000 ",,,,,,,,,,,,,,,,, ,32,,,43,"$945,568 ", , , , , , ,50,,,,,35,20,,,,,,,,,,,,,,,,,,,,
95282,1991,Yale University,5U,CN,YES,1982,, , ,"$216,400,000 ","$171,600,000 ","$5,000,000 ",,,,,,,,,,,,,,,,, ,45,,,15,"$761,000 ", , , , , , ,65,,,,,31,31,,,,,,,,,,,,,,,,,,,,
95008,1992,Ball State University,5U,IN,NO,1988,,0.5,0.25,"$5,100,000 ","$1,046,000 ","$1,330,800 ",,,,,,,,,,,,0,4,,,, ,3,,,1,"$52,800 ", , , , , , ,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,
95010,1992,Baylor College of Medicine,5U,TX,YES,1984,,2,0,"$164,000,000 ","$90,000,000 ","$11,840,000 ",,,,,,,,,,,,34,67,,,, ,34,,,18,"$1,584,000 ", , , , , , ,98,,,,,24,24,,,,,,,,,,,,,,,,,,,,
95018,1992,Brigham Young University,5U,UT,NO,1987,,2,1,"$18,500,000 ","$8,300,000 ","$9,400,000 ",,,,,,,,,,,,14,65,,,, ,31,,,20,"$608,226 ", , , , , , ,14,,,,,9,9,,,,,,,,,,,,,,,,,,,,
