Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"97,787","103,724","266,439","242,779","16,898",16.3,"15,829",15.3,"93,829","32,916","60,913",13.6,38.6,"46,509","29,328","17,181",12.1,19.2,"47,320",19.4,38.4,"11,726","11,737","21,355"
b. 5 to 9,"39,149","44,502","309,480","297,976","4,940",11.2,"3,834",8.7,"78,871","32,508","46,363",10.9,26.5,"55,863","24,996","30,867",8.4,18.7,"23,008",7.8,37.4,"2,537","2,549","16,512"
c. 10 to 19,"25,443","29,081","407,435","394,936","2,583",9.0,"1,976",6.9,"90,593","34,023","56,570",8.6,22.9,"65,595","26,173","39,422",6.6,16.6,"24,998",6.3,33.2,"1,194","1,197","15,805"
d. 20 to 49,"16,145","19,834","629,538","613,351","1,317",6.7,"1,098",5.6,"123,531","39,246","84,285",6.4,20.1,"91,157","33,022","58,135",5.4,14.9,"32,374",5.2,29.8,559,561,"16,579"
e. 50 to 99,"5,633","7,215","518,544","503,676",443,6.2,366,5.1,"97,418","30,272","67,146",6.0,19.3,"67,682","24,467","43,215",4.9,13.4,"29,736",5.9,26.8,131,133,"8,708"
f. 100 to 249,"2,918","3,985","637,317","619,139",206,5.2,200,5.0,"117,046","32,065","84,981",5.2,18.9,"80,690","30,392","50,298",4.9,13.0,"36,356",5.9,26.0,54,55,"7,943"
g. 250 to 499,824,"1,092","379,002","380,194",41,3.7,50,4.6,"45,721","13,775","31,946",3.6,12.0,"48,104","18,449","29,655",4.9,12.7,"-2,383",-0.7,24.0,9,9,"3,475"
h. 500 to 999,411,540,"361,684","361,996",13,2.4,8,1.5,"32,800","8,535","24,265",2.4,9.1,"33,426","5,559","27,867",1.5,9.2,-626,-0.1,18.2,1,1,D
i. 1000+,239,329,"746,826","749,857",6,1.8,7,2.1,"69,758","10,805","58,953",1.4,9.3,"75,820","20,440","55,380",2.7,10.1,"-6,062",-0.8,18.6,1,1,D
m. ALL,"188,549","210,302","4,256,265","4,163,904","26,447",12.6,"23,368",11.2,"749,567","234,145","515,422",5.6,18.0,"564,846","212,826","352,020",5.1,13.6,"184,721",4.4,27.2,"16,212","16,243","99,220"
,,1980,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"96,309","102,185","250,205","234,747","16,250",15.9,"15,945",15.6,"80,402","31,054","49,348",13.2,34.3,"49,486","29,731","19,755",12.7,21.1,"30,916",13.2,42.2,"11,771","11,810","21,674"
b. 5 to 9,"39,722","45,212","301,078","297,603","4,582",10.2,"3,897",8.7,"69,390","29,823","39,567",10.0,23.3,"62,439","25,379","37,060",8.5,21.0,"6,951",2.3,42.0,"2,646","2,649","17,176"
c. 10 to 19,"26,038","29,790","397,208","397,093","2,310",7.8,"2,038",6.9,"76,515","30,342","46,173",7.6,19.3,"76,285","27,156","49,129",6.8,19.2,230,0.1,38.4,"1,260","1,265","16,788"
d. 20 to 49,"16,519","20,029","605,161","606,649","1,171",5.8,"1,144",5.7,"102,533","34,993","67,540",5.8,16.9,"105,508","34,262","71,246",5.6,17.4,"-2,975",-0.5,33.8,607,618,"18,240"
e. 50 to 99,"5,829","7,573","514,795","514,566",412,5.5,315,4.2,"79,108","27,938","51,170",5.4,15.4,"78,650","21,507","57,143",4.2,15.3,458,0.1,30.6,120,120,"8,036"
f. 100 to 249,"3,093","4,234","628,181","635,797",181,4.3,181,4.3,"74,004","26,827","47,177",4.2,11.6,"89,236","26,538","62,698",4.2,14.0,"-15,232",-2.4,23.2,57,57,"7,877"
g. 250 to 499,891,"1,174","388,167","394,925",42,3.6,38,3.2,"39,623","14,894","24,729",3.8,10.0,"53,138","13,474","39,664",3.4,13.5,"-13,515",-3.5,20.0,8,9,"3,201"
h. 500 to 999,443,581,"374,152","386,312",13,2.2,15,2.6,"31,122","9,698","21,424",2.5,8.1,"55,443","10,491","44,952",2.7,14.4,"-24,321",-6.3,16.2,1,1,D
i. 1000+,240,319,"724,250","750,706",7,2.2,7,2.2,"32,047","8,883","23,164",1.2,4.3,"84,960","10,410","74,550",1.4,11.3,"-52,913",-7.0,8.6,1,1,D
m. ALL,"189,084","211,097","4,183,197","4,218,398","24,968",11.9,"23,580",11.2,"584,744","214,452","370,292",5.1,13.9,"655,145","198,948","456,197",4.7,15.5,"-70,401",-1.6,27.8,"16,471","16,530","94,894"
,,1981,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"93,841","99,284","247,721","233,949","14,723",14.5,"18,618",18.3,"80,732","28,264","52,468",12.1,34.5,"53,188","34,920","18,268",14.9,22.7,"27,544",11.8,45.4,"11,875","11,899",D
b. 5 to 9,"38,128","43,486","290,222","289,921","4,336",9.9,"4,840",11.1,"65,996","28,176","37,820",9.7,22.8,"65,393","31,528","33,865",10.9,22.6,603,0.2,45.2,"2,509","2,537","16,459"
c. 10 to 19,"24,859","28,557","379,266","384,150","2,233",7.8,"2,568",8.9,"69,791","29,633","40,158",7.7,18.2,"79,558","34,335","45,223",8.9,20.7,"-9,767",-2.5,36.4,"1,249","1,260","16,650"
d. 20 to 49,"15,476","18,928","562,692","572,377","1,342",7.0,"1,547",8.1,"93,054","40,740","52,314",7.1,16.3,"112,423","46,589","65,834",8.1,19.6,"-19,369",-3.3,32.6,608,623,"18,282"
e. 50 to 99,"5,459","7,113","476,410","482,897",414,5.8,430,6.0,"71,545","28,811","42,734",6.0,14.8,"84,518","29,511","55,007",6.1,17.5,"-12,973",-2.7,29.6,111,111,"7,461"
f. 100 to 249,"2,769","4,016","590,135","597,075",248,6.2,227,5.7,"87,368","37,483","49,885",6.3,14.6,"101,248","33,931","67,317",5.7,17.0,"-13,880",-2.4,29.2,69,69,"10,192"
g. 250 to 499,843,"1,177","395,092","405,014",60,5.0,85,7.1,"51,197","21,529","29,668",5.3,12.6,"71,041","28,562","42,479",7.1,17.5,"-19,844",-4.9,25.2,24,25,"8,257"
h. 500 to 999,415,520,"343,458","353,322",9,1.7,18,3.4,"30,488","5,531","24,957",1.6,8.6,"50,217","11,431","38,786",3.2,14.2,"-19,729",-5.6,17.2,6,6,"3,910"
i. 1000+,240,309,"685,031","709,593",4,1.3,5,1.6,"28,683","6,288","22,395",0.9,4.0,"77,807","10,720","67,087",1.5,11.0,"-49,124",-7.0,8.0,2,2,D
m. ALL,"182,030","203,390","3,970,027","4,028,298","23,369",11.3,"28,338",13.7,"578,854","226,455","352,399",5.6,14.4,"695,393","261,527","433,866",6.5,17.3,"-116,539",-2.9,28.8,"16,453","16,532","109,090"
,,1982,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"95,214","101,545","256,052","234,399","17,955",17.8,"15,113",14.9,"88,914","35,324","53,590",15.1,37.9,"45,608","27,763","17,845",11.8,19.5,"43,306",18.4,39.0,"9,173","9,173","16,692"
b. 5 to 9,"38,775","44,917","299,035","292,156","5,201",11.8,"3,606",8.2,"72,394","33,669","38,725",11.5,24.8,"58,636","23,305","35,331",8.0,20.1,"13,758",4.7,40.2,"2,024","2,029","13,094"
c. 10 to 19,"24,795","28,791","381,475","378,540","2,732",9.6,"1,884",6.6,"78,246","36,003","42,243",9.5,20.7,"72,376","25,335","47,041",6.7,19.1,"5,870",1.6,38.2,979,979,"12,986"
d. 20 to 49,"15,656","19,336","573,319","573,436","1,550",8.1,"1,108",5.8,"100,830","46,504","54,326",8.1,17.6,"101,063","33,266","67,797",5.8,17.6,-233,0.0,35.2,478,482,"14,225"
e. 50 to 99,"5,417","6,983","457,186","464,193",528,7.6,385,5.6,"67,849","35,819","32,030",7.7,14.6,"81,863","26,397","55,466",5.7,17.6,"-14,014",-3.0,29.2,121,121,"8,277"
f. 100 to 249,"2,721","3,950","567,074","577,366",259,6.6,196,5.0,"77,500","38,949","38,551",6.7,13.4,"98,084","30,110","67,974",5.2,17.0,"-20,584",-3.6,26.8,43,43,"6,386"
g. 250 to 499,787,"1,150","367,691","379,165",62,5.4,52,4.5,"42,708","21,610","21,098",5.7,11.3,"65,655","18,393","47,262",4.9,17.3,"-22,947",-6.0,22.6,7,7,"2,571"
h. 500 to 999,399,501,"320,416","330,038",18,3.6,12,2.4,"27,745","11,551","16,194",3.5,8.4,"46,990","8,038","38,952",2.4,14.2,"-19,245",-5.8,16.8,1,1,D
i. 1000+,243,315,"669,417","700,901",6,1.9,4,1.3,"48,325","29,278","19,047",4.2,6.9,"111,295","13,924","97,371",2.0,15.9,"-62,970",-9.0,13.8,1,1,D
m. ALL,"184,007","207,488","3,891,665","3,930,194","28,311",13.8,"22,360",10.9,"604,511","288,707","315,804",7.3,15.4,"681,570","206,531","475,039",5.3,17.3,"-77,059",-1.9,30.8,"12,827","12,836","79,554"
,,1983,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"95,152","102,166","260,634","243,059","15,140",14.7,"16,922",16.5,"84,593","28,933","55,660",11.9,34.8,"49,442","32,359","17,083",13.3,20.3,"35,151",14.5,40.6,"9,894","9,927","18,842"
b. 5 to 9,"38,210","44,361","298,289","296,269","3,908",8.8,"4,333",9.7,"63,598","25,465","38,133",8.6,21.5,"59,558","28,012","31,546",9.5,20.1,"4,040",1.4,40.2,"2,274","2,301","14,931"
c. 10 to 19,"23,727","27,545","371,034","373,108","1,893",6.8,"2,281",8.2,"68,254","25,128","43,126",6.7,18.3,"72,401","30,319","42,082",8.1,19.4,"-4,147",-1.1,36.6,"1,136","1,141","15,182"
d. 20 to 49,"14,768","18,648","565,080","569,390","1,131",6.0,"1,410",7.5,"96,560","33,608","62,952",5.9,17.0,"105,179","42,224","62,955",7.4,18.5,"-8,619",-1.5,34.0,559,564,"16,401"
e. 50 to 99,"5,196","6,767","453,078","459,081",392,5.8,404,6.0,"67,392","26,991","40,401",5.9,14.7,"79,397","28,065","51,332",6.1,17.3,"-12,005",-2.6,29.4,117,117,"8,072"
f. 100 to 249,"2,595","3,769","540,220","556,131",188,5.0,218,5.7,"65,169","26,794","38,375",4.8,11.7,"96,990","32,166","64,824",5.8,17.4,"-31,821",-5.7,23.4,61,61,"8,619"
g. 250 to 499,752,"1,069","350,195","362,245",32,3.0,39,3.6,"32,355","11,116","21,239",3.1,8.9,"56,455","13,008","43,447",3.6,15.6,"-24,100",-6.7,17.8,4,4,"1,373"
h. 500 to 999,398,491,"300,868","316,582",17,3.5,11,2.3,"24,364","11,195","13,169",3.5,7.7,"55,791","7,568","48,223",2.4,17.6,"-31,427",-9.9,15.4,1,1,D
i. 1000+,218,287,"577,790","624,921",8,2.8,9,3.1,"26,109","14,261","11,848",2.3,4.2,"120,371","15,622","104,749",2.5,19.3,"-94,262",-15.1,8.4,1,1,D
m. ALL,"181,016","205,103","3,717,188","3,800,786","22,709",11.0,"25,627",12.4,"528,394","203,491","324,903",5.4,13.9,"695,584","229,343","466,241",6.0,18.3,"-167,190",-4.4,27.8,"14,047","14,117","86,057"
,,1984,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"101,210","108,401","283,254","253,308","18,498",17.6,"13,327",12.6,"100,573","35,663","64,910",14.1,39.7,"40,681","24,464","16,217",9.7,16.1,"59,892",23.6,32.2,"7,558","7,570","13,975"
b. 5 to 9,"40,159","46,481","336,982","315,706","4,777",10.5,"3,072",6.7,"91,574","31,117","60,457",9.9,29.0,"49,021","19,899","29,122",6.3,15.5,"42,553",13.5,31.0,"1,599","1,610","10,431"
c. 10 to 19,"24,184","28,474","398,353","385,002","2,399",8.6,"1,574",5.6,"82,751","31,695","51,056",8.2,21.5,"56,048","21,174","34,874",5.5,14.6,"26,703",6.9,29.2,722,725,"9,627"
d. 20 to 49,"15,157","18,923","603,683","583,430","1,358",7.3,983,5.3,"116,670","40,438","76,232",6.9,20.0,"76,163","29,288","46,875",5.0,13.1,"40,507",6.9,26.2,326,331,"9,424"
e. 50 to 99,"5,158","6,744","482,566","467,780",436,6.6,306,4.6,"86,077","29,602","56,475",6.3,18.4,"56,504","20,528","35,976",4.4,12.1,"29,573",6.3,24.2,81,81,"5,317"
f. 100 to 249,"2,612","3,840","597,221","582,466",214,5.6,157,4.1,"95,220","31,131","64,089",5.3,16.3,"65,709","23,272","42,437",4.0,11.3,"29,511",5.0,22.6,22,23,"3,193"
g. 250 to 499,770,"1,050","355,023","355,575",45,4.3,40,3.8,"44,254","15,217","29,037",4.3,12.4,"45,357","13,751","31,606",3.9,12.8,"-1,103",-0.4,24.8,3,3,990
h. 500 to 999,380,474,"315,939","317,793",14,3.0,9,1.9,"31,993","9,089","22,904",2.9,10.1,"35,701","6,017","29,684",1.9,11.2,"-3,708",-1.1,20.2,,,
i. 1000+,210,266,"600,491","590,480",8,3.0,3,1.1,"60,749","13,746","47,003",2.3,10.3,"40,726","6,428","34,298",1.1,6.9,"20,023",3.4,13.8,,,
m. ALL,"189,840","214,653","3,973,512","3,851,540","27,749",13.2,"19,471",9.3,"709,861","237,698","472,163",6.2,18.4,"465,910","164,821","301,089",4.3,12.1,"243,951",6.3,24.2,"10,311","10,343","52,957"
,,1985,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"101,455","108,738","280,814","256,290","17,280",16.0,"15,292",14.2,"94,277","32,855","61,422",12.8,36.8,"45,229","28,393","16,836",11.1,17.6,"49,048",19.2,35.2,"10,379","10,401","19,116"
b. 5 to 9,"41,202","47,447","331,302","320,254","4,465",9.5,"3,934",8.3,"77,699","29,020","48,679",9.1,24.3,"55,603","25,591","30,012",8.0,17.4,"22,096",6.9,34.8,"2,430","2,435","15,881"
c. 10 to 19,"25,023","29,416","407,210","398,846","2,303",7.9,"1,960",6.7,"79,697","30,421","49,276",7.6,20.0,"62,968","25,991","36,977",6.5,15.8,"16,729",4.2,31.6,"1,140","1,150","15,253"
d. 20 to 49,"15,920","19,732","614,817","605,751","1,370",7.0,"1,258",6.4,"109,259","41,433","67,826",6.8,18.0,"91,127","38,342","52,785",6.3,15.0,"18,132",3.0,30.0,585,587,"17,469"
e. 50 to 99,"5,731","7,411","512,317","510,973",405,5.5,414,5.6,"75,890","27,701","48,189",5.4,14.9,"73,201","28,473","44,728",5.6,14.3,"2,689",0.6,28.6,160,160,"10,915"
f. 100 to 249,"3,008","4,251","639,782","637,056",230,5.4,218,5.1,"92,876","34,986","57,890",5.5,14.6,"87,423","32,708","54,715",5.1,13.7,"5,453",0.9,27.4,56,57,"8,273"
g. 250 to 499,880,"1,167","385,479","388,106",56,4.8,46,4.0,"48,349","19,073","29,276",4.9,12.5,"53,603","15,345","38,258",4.0,13.8,"-5,254",-1.3,25.0,10,10,"3,137"
h. 500 to 999,402,493,"334,444","336,659",17,3.4,20,4.0,"39,794","11,487","28,307",3.4,11.8,"44,225","12,729","31,496",3.8,13.1,"-4,431",-1.3,23.6,4,4,"2,260"
i. 1000+,218,272,"591,094","612,216",6,2.2,7,2.6,"36,913","9,244","27,669",1.5,6.0,"79,159","13,261","65,898",2.2,12.9,"-42,246",-6.9,12.0,3,3,"6,119"
m. ALL,"193,839","218,927","4,097,259","4,066,151","26,132",12.0,"23,149",10.6,"654,754","236,220","418,534",5.8,16.1,"592,538","220,833","371,705",5.4,14.6,"62,216",1.5,29.2,"14,767","14,807","98,423"
,,1986,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"102,838","109,794","281,482","256,395","17,903",16.5,"14,853",13.7,"95,343","34,254","61,089",13.4,37.2,"45,169","27,609","17,560",10.8,17.6,"50,174",19.6,35.2,"9,976","9,984",D
b. 5 to 9,"42,096","48,769","337,391","325,293","4,926",10.2,"3,635",7.6,"79,405","32,168","47,237",9.9,24.4,"55,208","23,659","31,549",7.3,17.0,"24,197",7.4,34.0,"2,320","2,321","15,041"
c. 10 to 19,"26,105","30,799","427,548","416,185","2,538",8.3,"1,825",6.0,"87,285","34,055","53,230",8.2,21.0,"64,559","24,097","40,462",5.8,15.5,"22,726",5.5,31.0,"1,041","1,043","13,683"
d. 20 to 49,"16,509","20,480","641,751","627,742","1,481",7.3,"1,191",5.9,"122,209","45,327","76,882",7.2,19.5,"94,191","36,038","58,153",5.7,15.0,"28,018",4.5,30.0,543,548,"16,089"
e. 50 to 99,"5,933","7,660","536,121","527,727",529,7.0,423,5.6,"91,582","36,535","55,047",6.9,17.4,"74,794","28,795","45,999",5.5,14.2,"16,788",3.2,28.4,166,167,"11,378"
f. 100 to 249,"3,115","4,394","667,829","662,688",261,6.0,216,4.9,"97,340","39,119","58,221",5.9,14.7,"87,058","33,349","53,709",5.0,13.1,"10,282",1.6,26.2,90,90,"13,821"
g. 250 to 499,868,"1,162","390,578","391,308",54,4.7,43,3.7,"53,000","17,806","35,194",4.6,13.5,"54,459","14,485","39,974",3.7,13.9,"-1,459",-0.4,27.0,13,13,"4,384"
h. 500 to 999,385,465,"304,552","312,958",10,2.1,10,2.1,"19,883","5,655","14,228",1.8,6.4,"36,695","6,911","29,784",2.2,11.7,"-16,812",-5.3,12.8,4,4,"2,751"
i. 1000+,225,288,"623,620","630,501",11,3.8,7,2.4,"54,633","26,812","27,821",4.3,8.7,"68,395","16,986","51,409",2.7,10.8,"-13,762",-2.1,17.4,2,2,D
m. ALL,"198,074","223,811","4,210,872","4,150,797","27,713",12.5,"22,203",10.0,"700,680","271,731","428,949",6.5,16.9,"580,528","211,929","368,599",5.1,14.0,"120,152",2.9,28.0,"14,155","14,172","98,912"
,,1987,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"104,725","112,068","295,172","264,781","19,994",18.1,"15,909",14.4,"107,945",D,D,D,40.8,"47,163","30,084","17,079",11.4,17.8,"60,782",23.0,35.6,"10,743","10,782",D
