Pct. Scoring at or Above 15 on 8th Grade ACT (%),The percentage of 8th grade students that scored at or above a 15 on the composite score of the EXPLORE version of the ACT.
8th Grade ACT Participation Penalty?,"Indicator that the school did not test 95% of its students on the ACT EXPLORE, and that students were added to the school's total to reach 95% test participation"
Pct. Scoring at or above 19 on 11th grade ACT (%),The percentage of 11th grade students that scored at or above a 19 on the composite score of the ACT
11th Grade ACT Participation Penalty?,"Indicator that the school did not test 95% of its students on the ACT, and that students were added to the school's total to reach 95% test participation"
Graduation Rate Used for 2014 HS Readiness Calculation (%),2012 On-time graduation rate.  If a minimum of 40 students was not part of the calculation then data may have been pooled to achieve that minimum.  Two years of data were pooled at most.
Graduation Rate - Pooled Data?,Yes - indicates that more than one year of data was used in order to create more reliable measures.  At most two years of data were used.
Class of 2012 16-month College Enrollment Rate (%),Proportion of high school completers that enrolled in college within 16 months after high school.  The Class of 2011 is the most recent data available given the 16 month lag.
2013-14 Non High-Needs Proficiency (%),"Combined 2012-13 math and reading percentage of non high-needs students enrolled the full school year who scored proficient or above.  No minimum sample size for this report and Recognition selection, but if fewer than 20 students in math or reading then this measure was not used for achievement gap index calculation or Focus selection."
2013-14 High-Needs Proficiency (%),"Combined 2012-13 math and reading percentage of high-needs students enrolled the full school year who scored proficient or above.  No minimum sample size for this report and Recognition selection, but if fewer than 20 students in math or reading then this measure was not used for achievement gap index calculation or Focus selection."
Current Gap Rate (%),Achievement gap for 2012-13 (accounting for total minimum n-size of 20 - math and 20- reading)
2011-12 Non High-Needs Proficiency (%),"Combined 2010-11 math and reading percentage of non high-needs students enrolled the full school year who scored proficient or above.  No minimum sample size for this report and Recognition selection, but if fewer than 20 students in math or reading then this measure was not used for achievement gap index calculation or Focus selection."
2011-12 High-Needs Proficiency (%),"Combined 2010-11 math and reading percentage of high-needs students enrolled the full school year who scored proficient or above.  No minimum sample size for this report and Recognition selection, but if fewer than 20 students in math or reading then this measure was not used for achievement gap index calculation or Focus selection."
2011-12 Gap Rate (%),Achievement gap for 2 years prior (accounting for total minimum n-size of 20 - math and 20 - reading)
"Two-Year Gap Reduction Rate (%) 
(negative numbers indicate gap has grown)",Reduction in achievement gap rate from 2011 to 2013: (2011 Gap Rate - 2013 Gap Rate)/2011 Gap Rate
Used Achievement Gap Exemption in 2013-14,Yes  if school's High-Needs combined math and reading proficiency was greater than the target of 68% and the school was exempted from achievement gap as a result.  Yes indicates that because of the high performance of the school's high-needs students that it was exempted from gap rate in the Index calculation because it would receive a higher index score without achievement gap.
2011-12 All Students Graduation Rate (%),"2012 on-time graduation rate, unadjusted for small sample size.  "
2012-13 High-Needs Graduation Rate (%),"2013 on-time graduation rate for high-needs students, unadjusted for small sample size.  "
2011-12 High-Needs Graduation Rate (%),"2012 on-time graduation rate for high-needs students, unadjusted for small sample size.  Used to calculate graduation gaps between high-needs and non high-needs students."
2012-13 Non High-Needs Graduation Rate (%),"2013 on-time graduation rate for non high-needs students, unadjusted for small sample size.  "
2011-12 Non High-Needs Graduation Rate (%),"2012 on-time graduation rate for non high-needs students, unadjusted for small sample size.  Used to calculate graduation gaps between high-needs and non high-needs students."
2013 Graduation Rate Gap (%),Gap between non high-needs graduation rate and high-needs graduation rate: (NHNGradRate - HNGradRate) / NHNGradRate
Automatic Classification Reason,"Indicates whether a school was ""triggered"" into a category for a specific reason.  The field lists the reason."
**Data Are Suppressed for Student Privacy,"Rows with ""--"" indicate that data have been suppressed to ensure student privacy. "
