year2,state,fage4,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,d_flag,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1977,17,l) Left Censored,151003,178225,3737064,3719370,4577,2.4,25528,13.5,566382,113546,452836,3.1,15.2,530993,202061,328932,5.4,14.3,35389,0.9,28.6,0,16752,16872,107233
1977,18,a) 0,11471,12583,82122,41800,12359,196.4,0,0,80645,80645,0,192.9,192.9,0,0,0,0,0,80645,192.9,0,0,,,
1977,18,l) Left Censored,67554,82601,1626332,1627625,2066,2.4,11453,13.1,218128,41372,176756,2.5,13.4,220714,81201,139513,5,13.6,-2586,-0.2,26.8,0,7442,7503,50334
1977,19,a) 0,8294,8923,48866,24653,8801,197.3,0,0,48426,48426,0,196.4,196.4,0,0,0,0,0,48426,196.4,0,0,,,
1977,19,l) Left Censored,46454,55112,788784,784366,1351,2.3,7960,13.6,120661,19700,100961,2.5,15.4,111824,50723,61101,6.5,14.3,8837,1.1,28.6,0,5274,5295,31820
1977,20,a) 0,6993,7476,63602,32200,7355,196.8,0,0,62804,62804,0,195,195,0,0,0,0,0,62804,195,0,0,,,
1977,20,l) Left Censored,37472,44306,620232,623366,1179,2.5,6944,14.7,97111,24030,73081,3.9,15.6,103378,44771,58607,7.2,16.6,-6267,-1,31.2,0,4710,4733,26898
1977,21,a) 0,7954,8497,45876,23180,8338,196.3,0,0,45392,45392,0,195.8,195.8,0,0,0,0,0,45392,195.8,0,0,,,
1977,21,l) Left Censored,42233,50080,872079,863261,1376,2.6,7697,14.4,148345,28315,120030,3.3,17.2,130708,52001,78707,6,15.1,17637,2.1,30.2,0,5217,5229,31095
1977,22,a) 0,9638,10312,62447,31757,10107,196,0,0,61381,61381,0,193.3,193.3,0,0,0,0,0,61381,193.3,0,0,,,
1977,22,l) Left Censored,49311,59715,959562,960552,1697,2.7,8218,13,161942,35029,126913,3.6,16.9,163922,61764,102158,6.4,17.1,-1980,-0.2,33.8,0,5822,5855,37749
1977,23,a) 0,2922,3149,17769,9027,3104,197.1,0,0,17485,17485,0,193.7,193.7,0,0,0,0,0,17485,193.7,0,0,,,
1977,23,l) Left Censored,16008,18525,274794,274860,338,1.7,2749,13.9,42404,9544,32860,3.5,15.4,42536,16956,25580,6.2,15.5,-132,-0.1,30.8,0,1756,1762,9457
1977,24,a) 0,8703,9431,55695,28265,9265,196.5,0,0,54860,54860,0,194.1,194.1,0,0,0,0,0,54860,194.1,0,0,,,
1977,24,l) Left Censored,48849,59232,1070525,1084228,1742,2.8,8104,13,167846,32520,135326,3,15.5,195252,65771,129481,6.1,18,-27406,-2.5,31,0,5204,5225,33912
1977,25,a) 0,11738,12758,103260,52075,12521,196.3,0,0,102371,102371,0,196.6,196.6,0,0,0,0,0,102371,196.6,0,0,,,
1977,25,l) Left Censored,81970,95960,1847514,1829964,2169,2.1,12040,11.9,286925,54123,232802,3,15.7,251825,104360,147465,5.7,13.8,35100,1.9,27.6,0,7822,7851,55401
1977,26,a) 0,18247,20121,126638,64021,19763,196.4,0,0,125234,125234,0,195.6,195.6,0,0,0,0,0,125234,195.6,0,0,,,
1977,26,l) Left Censored,104582,126913,2591230,2556503,3408,2.5,18175,13.5,407384,73454,333930,2.9,15.9,337929,129485,208444,5.1,13.2,69455,2.7,26.4,0,11447,11520,71244
1977,27,a) 0,9840,10674,71703,36376,10506,196.9,0,0,70654,70654,0,194.2,194.2,0,0,0,0,0,70654,194.2,0,0,,,
1977,27,l) Left Censored,55652,66290,1211010,1194450,1730,2.5,8976,12.8,211802,37944,173858,3.2,17.7,178682,73196,105486,6.1,15,33120,2.7,30,0,5779,5833,43594
1977,28,a) 0,5770,6133,33709,17111,6003,195.8,0,0,33197,33197,0,194,194,0,0,0,0,0,33197,194,0,0,,,
1977,28,l) Left Censored,28998,34567,547204,542934,878,2.4,5252,14.2,89571,14928,74643,2.7,16.5,81031,34706,46325,6.4,14.9,8540,1.6,29.8,0,3729,3755,22470
1977,29,a) 0,12356,13221,77401,39175,12991,196.5,0,0,76453,76453,0,195.2,195.2,0,0,0,0,0,76453,195.2,0,0,,,
1977,29,l) Left Censored,67513,81554,1432110,1429891,2104,2.4,12458,14.3,221384,38015,183369,2.7,15.5,216945,89645,127300,6.3,15.2,4439,0.3,30.4,0,8283,8323,47580
1977,30,a) 0,3210,3376,16237,8250,3323,196.9,0,0,15975,15975,0,193.6,193.6,0,0,0,0,0,15975,193.6,0,0,,,
1977,30,l) Left Censored,13424,15548,174773,170343,347,2.1,2397,14.4,37835,7036,30799,4.1,22.2,28975,13322,15653,7.8,17,8860,5.2,34,0,1670,1675,9899
1977,31,a) 0,4751,5051,26320,13264,4975,197,0,0,26113,26113,0,196.9,196.9,0,0,0,0,0,26113,196.9,0,0,,,
1977,31,l) Left Censored,26644,31044,447166,438354,769,2.3,4373,13.3,89922,12395,77527,2.8,20.5,72298,29255,43043,6.7,16.5,17624,4,33,0,2973,2988,19674
1977,32,a) 0,2730,2907,17877,8991,2867,197.2,0,0,17773,17773,0,197.7,197.7,0,0,0,0,0,17773,197.7,0,0,,,
1977,32,l) Left Censored,10142,11775,217512,215277,391,3.1,2044,16.2,39409,7010,32399,3.3,18.3,34938,15357,19581,7.1,16.2,4471,2.1,32.4,0,1465,1469,9485
1977,33,a) 0,2765,2929,14657,7388,2882,196.8,0,0,14538,14538,0,196.8,196.8,0,0,0,0,0,14538,196.8,0,0,,,
1977,33,l) Left Censored,13790,15523,247532,246449,322,2,2063,12.6,36665,5608,31057,2.3,14.9,34499,14599,19900,5.9,14,2166,0.9,28,0,1401,1408,8624
1977,34,a) 0,17462,18294,101319,52733,17884,195.5,0,0,97173,97173,0,184.3,184.3,0,0,0,0,0,97173,184.3,0,0,,,
1977,34,l) Left Censored,107170,123338,2199872,2207252,2792,2.1,17343,13.2,331993,81058,250935,3.7,15,346754,131638,215116,6,15.7,-14761,-0.7,30,0,11019,11062,64379
1977,35,a) 0,4141,4375,23129,11696,4287,196,0,0,22867,22867,0,195.5,195.5,0,0,0,0,0,22867,195.5,0,0,,,
1977,35,l) Left Censored,16762,19800,251085,254717,602,2.8,3459,16.2,44234,10407,33827,4.1,17.4,51497,22137,29360,8.7,20.2,-7263,-2.8,34.8,0,2422,2430,13635
1977,36,a) 0,41120,43694,252036,128161,42731,195.6,0,0,247751,247751,0,193.3,193.3,0,0,0,0,0,247751,193.3,0,0,,,
1977,36,l) Left Censored,271128,309611,5286374,5308736,5336,1.6,44902,13.6,797070,154421,642649,2.9,15,841794,323829,517965,6.1,15.9,-44724,-0.9,30,0,31297,31405,181850
1977,37,a) 0,13574,14606,83762,43018,14330,196.2,0,0,81489,81489,0,189.4,189.4,0,0,0,0,0,81489,189.4,0,0,,,
1977,37,l) Left Censored,70934,87912,1666734,1676146,2404,2.6,12387,13.3,225121,51023,174098,3,13.4,243947,88082,155865,5.3,14.6,-18826,-1.2,26.8,0,8389,8417,51874
1977,38,a) 0,2106,2192,11054,5571,2162,197.3,0,0,10967,10967,0,196.9,196.9,0,0,0,0,0,10967,196.9,0,0,,,
1977,38,l) Left Censored,11069,12722,138122,140985,272,2,1871,13.8,18585,3269,15316,2.3,13.2,24311,10832,13479,7.7,17.2,-5726,-4,26.4,0,1170,1175,7566
1977,39,a) 0,20801,23051,141632,71738,22619,196.3,0,0,139788,139788,0,194.9,194.9,0,0,0,0,0,139788,194.9,0,0,,,
1977,39,l) Left Censored,131225,166021,3399206,3363814,4952,2.8,21856,12.5,522370,115629,406741,3.4,15.5,451585,171079,280506,5.1,13.4,70785,2.1,26.8,0,13731,13817,90224
1977,40,a) 0,8988,9473,55116,27892,9312,196.6,0,0,54449,54449,0,195.2,195.2,0,0,0,0,0,54449,195.2,0,0,,,
1977,40,l) Left Censored,41350,49000,691404,693782,1216,2.3,7817,14.9,110579,23889,86690,3.4,15.9,115335,50346,64989,7.3,16.6,-4756,-0.7,31.8,0,5627,5653,32516
1977,41,a) 0,9095,9741,53606,27152,9617,197.5,0,0,52909,52909,0,194.9,194.9,0,0,0,0,0,52909,194.9,0,0,,,
1977,41,l) Left Censored,37466,44255,641982,644771,1351,2.8,7492,15.8,102679,18852,83827,2.9,15.9,108257,50465,57792,7.8,16.8,-5578,-0.9,31.8,0,4972,4997,30325
1977,42,a) 0,22349,24337,154916,78802,23837,195.9,0,0,152228,152228,0,193.2,193.2,0,0,0,0,0,152228,193.2,0,0,,,
1977,42,l) Left Censored,152142,184366,3695336,3668583,4648,2.4,22690,11.7,557876,121993,435883,3.3,15.2,504371,183651,320720,5,13.7,53505,1.5,27.4,0,14434,14527,94368
1977,44,a) 0,2326,2437,12162,6085,2435,199.8,0,0,12155,12155,0,199.8,199.8,0,0,0,0,0,12155,199.8,0,0,,,
1977,44,l) Left Censored,15247,17022,345864,318333,335,1.9,2227,12.4,94157,6131,88026,1.9,29.6,39094,14848,24246,4.7,12.3,55063,17.3,24.6,0,1452,1462,7106
1977,45,a) 0,7019,7465,36236,18401,7308,195.8,0,0,35671,35671,0,193.9,193.9,0,0,0,0,0,35671,193.9,0,0,,,
1977,45,l) Left Censored,35328,42706,803199,809528,1130,2.5,6095,13.5,101273,24027,77246,3,12.5,113930,41950,71980,5.2,14.1,-12657,-1.6,25,0,4206,4231,23924
1977,46,a) 0,2162,2286,11499,5819,2242,196.2,0,0,11360,11360,0,195.2,195.2,0,0,0,0,0,11360,195.2,0,0,,,
1977,46,l) Left Censored,11717,13316,183799,166151,259,1.8,2014,14.1,60425,14502,45923,8.7,36.4,25128,10551,14577,6.4,15.1,35297,21.3,30.2,0,1255,1255,6637
1977,47,a) 0,11280,12153,86977,43958,11915,196.1,0,0,86038,86038,0,195.7,195.7,0,0,0,0,0,86038,195.7,0,0,,,
1977,47,l) Left Censored,54338,66189,1226438,1229914,1843,2.6,10116,14.3,181566,35485,146081,2.9,14.8,188518,74324,114194,6,15.3,-6952,-0.5,29.6,0,6942,6972,44067
1977,48,a) 0,40078,43511,265046,134487,42724,196.4,0,0,261118,261118,0,194.2,194.2,0,0,0,0,0,261118,194.2,0,0,,,
1977,48,l) Left Censored,174427,220244,3724768,3710978,7077,3,34099,14.5,679512,172983,506529,4.7,18.3,651932,264037,387895,7.1,17.6,27580,0.7,35.2,0,23579,23754,157881
1977,49,a) 0,4261,4512,23990,12113,4430,196.4,0,0,23754,23754,0,196.1,196.1,0,0,0,0,0,23754,196.1,0,0,,,
1977,49,l) Left Censored,17007,20041,332348,327545,643,3,3306,15.4,68941,14979,53962,4.6,21,59334,26058,33276,8,18.1,9607,2.9,36.2,0,2148,2168,15845
1977,50,a) 0,1688,1792,8603,4318,1771,197.7,0,0,8570,8570,0,198.5,198.5,0,0,0,0,0,8570,198.5,0,0,,,
1977,50,l) Left Censored,8795,9815,136454,134677,143,1.4,1347,12.9,22739,5156,17583,3.8,16.9,19185,8799,10386,6.5,14.2,3554,2.7,28.4,0,910,913,4689
1977,51,a) 0,11418,12255,72875,36894,12056,196.8,0,0,71963,71963,0,195.1,195.1,0,0,0,0,0,71963,195.1,0,0,,,
1977,51,l) Left Censored,61121,75886,1318231,1323421,2354,2.9,10722,13.4,210800,55306,155494,4.2,15.9,221180,79450,141730,6,16.7,-10380,-0.8,31.8,0,6990,7032,43037
1977,53,a) 0,12903,13916,76862,38941,13669,196.5,0,0,75842,75842,0,194.8,194.8,0,0,0,0,0,75842,194.8,0,0,,,
1977,53,l) Left Censored,53320,63936,950762,943246,1901,2.8,10117,14.8,166855,36486,130369,3.9,17.7,151823,65408,86415,6.9,16.1,15032,1.6,32.2,0,6567,6597,39560
1977,54,a) 0,3976,4243,23893,12091,4134,194.9,0,0,23604,23604,0,195.2,195.2,0,0,0,0,0,23604,195.2,0,0,,,
1977,54,l) Left Censored,22576,26646,448041,447185,647,2.3,3800,13.4,75013,17847,57166,4,16.8,73301,31646,41655,7.1,16.4,1712,0.4,32.8,0,2463,2478,13568
1977,55,a) 0,10684,11626,66706,33982,11439,196.8,0,0,65449,65449,0,192.6,192.6,0,0,0,0,0,65449,192.6,0,0,,,
1977,55,l) Left Censored,65170,76034,1368455,1367169,1691,2.1,9808,12.2,173253,31245,142008,2.3,12.7,170681,69961,100720,5.1,12.5,2572,0.2,25,0,6219,6269,38462
1977,56,a) 0,1911,2015,10765,5429,1983,196.8,0,0,10673,10673,0,196.6,196.6,0,0,0,0,0,10673,196.6,0,0,,,
1977,56,l) Left Censored,7746,8744,98524,97556,277,3,1373,14.7,20822,4709,16113,4.8,21.3,18886,8866,10020,9.1,19.4,1936,1.9,38.8,0,926,928,6309
1978,01,a) 0,8301,8505,46786,23510,8413,197.8,0,0,46552,46552,0,198,198,0,0,0,0,0,46552,198,0,0,,,
1978,01,b) 1,6471,7192,57471,57028,119,1.4,2331,28,17987,1256,16731,2.2,31.5,17101,11444,5657,20.1,30,886,1.5,60,0,1779,1785,7770
1978,01,l) Left Censored,39398,49408,928126,914329,1738,3.4,5671,11,148637,24371,124266,2.7,16.3,121043,43786,77257,4.8,13.2,27594,3.1,26.4,0,3890,3905,23176
1978,02,a) 0,1436,1447,7305,3668,1433,198.1,0,0,7275,7275,0,198.3,198.3,0,0,0,0,0,7275,198.3,0,0,,,
1978,02,b) 1,1093,1235,15914,14145,25,1.7,492,33.4,7591,374,7217,2.6,53.7,4053,2786,1267,19.7,28.7,3538,25,57.4,0,323,323,1674
1978,02,l) Left Censored,4229,5324,86987,90794,337,5.9,992,17.5,21091,5379,15712,5.9,23.2,28705,12296,16409,13.5,31.6,-7614,-8.4,46.4,0,514,519,5313
1978,04,a) 0,6361,6420,38143,19073,6419,200,0,0,38140,38140,0,200,200,0,0,0,0,0,38140,200,0,0,,,
1978,04,b) 1,4942,5606,48703,49644,95,1.4,2752,39.3,17093,944,16149,1.9,34.4,18975,13654,5321,27.5,38.2,-1882,-3.8,68.8,0,1741,1762,7714
1978,04,l) Left Censored,23838,30989,570885,561341,1227,3.7,5596,16.8,107473,20864,86609,3.7,19.1,88385,43210,45175,7.7,15.7,19088,3.4,31.4,0,3145,3170,20594
1978,05,a) 0,5056,5073,24121,12061,5073,200,0,0,24121,24121,0,200,200,0,0,0,0,0,24121,200,0,0,,,
1978,05,b) 1,4008,4313,28370,29804,37,0.7,2198,40.2,7698,476,7222,1.6,25.8,10565,7999,2566,26.8,35.4,-2867,-9.6,51.6,0,1465,1465,5179
1978,05,l) Left Censored,24635,29542,511223,514722,820,2.6,5010,15.7,75805,11525,64280,2.2,14.7,82802,39660,43142,7.7,16.1,-6997,-1.4,29.4,0,2954,2969,16496
1978,06,a) 0,66388,66987,381016,191839,66295,197.9,0,0,378354,378354,0,197.2,197.2,0,0,0,0,0,378354,197.2,0,0,,,
1978,06,b) 1,52509,59576,498913,507455,937,1.4,19770,28.5,157304,11138,146166,2.2,31,174387,93129,81258,18.4,34.4,-17083,-3.4,62,0,13685,13737,61119
1978,06,l) Left Censored,256124,326098,6362259,6323489,13812,4,47137,13.7,1146355,206844,939511,3.3,18.1,1068814,435380,633434,6.9,16.9,77541,1.2,33.8,0,27769,27992,186916
1978,08,a) 0,8826,8873,47380,23690,8873,200,0,0,47380,47380,0,200,200,0,0,0,0,0,47380,200,0,0,,,
1978,08,b) 1,7063,7857,62256,62418,153,1.6,3479,36.2,20783,1524,19259,2.4,33.3,21106,15298,5808,24.5,33.8,-323,-0.5,66.6,0,2295,2295,9181
1978,08,l) Left Censored,34324,42470,767109,757585,1753,3.8,7634,16.7,144761,24315,120446,3.2,19.1,125713,59637,66076,7.9,16.6,19048,2.5,33.2,0,4411,4445,29244
1978,09,a) 0,6499,6518,29995,15051,6477,198.7,0,0,29889,29889,0,198.6,198.6,0,0,0,0,0,29889,198.6,0,0,,,
1978,09,b) 1,5867,6438,48147,46976,73,1,1613,22.3,13141,1474,11667,3.1,28,10798,6372,4426,13.6,23,2343,5,46,0,1133,1134,4305
1978,09,l) Left Censored,43121,50243,1061665,1059612,1529,3,4659,9,150100,21582,128518,2,14.2,145994,57335,88659,5.4,13.8,4106,0.4,27.6,0,3158,3174,27983
1978,10,a) 0,1156,1164,5896,2964,1149,197.4,0,0,5864,5864,0,197.8,197.8,0,0,0,0,0,5864,197.8,0,0,,,
1978,10,b) 1,1080,1253,9334,9543,23,1.5,506,33.8,2880,649,2231,6.8,30.2,3297,2574,723,27,34.5,-417,-4.3,60.4,0,404,404,1719
1978,10,l) Left Censored,7465,8875,207651,210472,288,3.1,1127,12.1,50180,2808,47372,1.3,23.8,55821,38264,17557,18.2,26.5,-5641,-2.7,47.6,0,827,828,32505
1978,11,a) 0,1443,1447,8640,4342,1433,198.1,0,0,8596,8596,0,198,198,0,0,0,0,0,8596,198,0,0,,,
1978,11,b) 1,1389,1557,28612,28439,53,3.1,385,22.3,5230,1270,3960,4.5,18.4,4883,2658,2225,9.3,17.2,347,1.2,34.4,0,237,239,1527
1978,11,l) Left Censored,10409,12257,280367,274590,472,3.7,1370,10.8,48779,6893,41886,2.5,17.8,37225,14067,23158,5.1,13.6,11554,4.2,27.2,0,885,899,6622
1978,12,a) 0,29048,29243,163469,82268,28899,197.6,0,0,162403,162403,0,197.4,197.4,0,0,0,0,0,162403,197.4,0,0,,,
1978,12,b) 1,22527,24885,200209,213752,365,1.3,8309,28.7,63793,4785,59008,2.2,29.8,90879,40165,50714,18.8,42.5,-27086,-12.7,59.6,0,6444,6459,29598
1978,12,l) Left Censored,108133,136642,2199177,2194343,5790,4.1,18018,12.6,393088,73257,319831,3.3,17.9,383419,150687,232732,6.9,17.5,9669,0.4,35,0,12442,12559,81184
1978,13,a) 0,12470,12539,64601,32522,12381,197.5,0,0,64158,64158,0,197.3,197.3,0,0,0,0,0,64158,197.3,0,0,,,
1978,13,b) 1,10056,11128,85169,84488,177,1.4,3823,29.4,26198,2400,23798,2.8,31,24835,16525,8310,19.6,29.4,1363,1.6,58.8,0,2936,2944,11627
1978,13,l) Left Censored,58499,75225,1464987,1436808,2993,3.8,8706,11.1,249433,48832,200601,3.4,17.4,193076,76527,116549,5.3,13.4,56357,4,26.8,0,5774,5804,40598
1978,15,a) 0,2305,2322,14808,7447,2298,197.9,0,0,14722,14722,0,197.7,197.7,0,0,0,0,0,14722,197.7,0,0,,,
1978,15,b) 1,1857,2262,20179,20071,76,3,636,24.9,5736,592,5144,2.9,28.6,5519,3238,2281,16.1,27.5,217,1.1,55,0,459,459,1774
1978,15,l) Left Censored,11220,13971,240625,240837,458,3.2,1554,10.7,36002,7125,28877,3,14.9,36425,16900,19525,7,15.1,-423,-0.2,29.8,0,946,960,5808
1978,16,a) 0,2602,2606,12976,6488,2606,200,0,0,12976,12976,0,200,200,0,0,0,0,0,12976,200,0,0,,,
1978,16,b) 1,2057,2233,14856,15729,36,1.3,1043,37.7,4462,267,4195,1.7,28.4,6207,4509,1698,28.7,39.5,-1745,-11.1,56.8,0,673,674,2666
1978,16,l) Left Censored,10971,13489,202048,221716,420,2.9,2245,15.5,37736,8497,29239,3.8,17,77071,16260,60811,7.3,34.8,-39335,-17.8,34,0,1239,1247,7330
1978,17,a) 0,21535,21750,121304,61119,21479,197.5,0,0,120371,120371,0,196.9,196.9,0,0,0,0,0,120371,196.9,0,0,,,
1978,17,b) 1,18997,21287,182196,181630,342,1.4,5611,23.4,47075,4564,42511,2.5,25.9,45942,27294,18648,15,25.3,1133,0.6,50.6,0,4110,4122,17740
1978,17,l) Left Censored,138023,165447,3774224,3755009,5640,3.3,18384,10.7,545600,95287,450313,2.5,14.5,507170,174152,333018,4.6,13.5,38430,1,27,0,12278,12407,80779
1978,18,a) 0,10392,10491,54467,27347,10394,198.2,0,0,54241,54241,0,198.3,198.3,0,0,0,0,0,54241,198.3,0,0,,,
1978,18,b) 1,8699,9832,80588,81219,163,1.5,2827,25.2,20198,1714,18484,2.1,24.9,21459,13036,8423,16.1,26.4,-1261,-1.5,49.8,0,2036,2040,8941
1978,18,l) Left Censored,61928,77155,1694292,1660127,2530,3.2,7902,9.9,253695,34100,219595,2.1,15.3,185364,64465,120899,3.9,11.2,68331,4.1,22.4,0,5284,5321,31969
1978,19,a) 0,7310,7349,37063,18618,7277,198,0,0,36890,36890,0,198.1,198.1,0,0,0,0,0,36890,198.1,0,0,,,
1978,19,b) 1,6416,7072,49416,49059,87,1.1,1896,23.7,12294,642,11652,1.3,25.1,11580,6759,4821,13.8,23.6,714,1.5,47.2,0,1409,1412,4895
1978,19,l) Left Censored,42289,51153,789566,789025,1638,3.1,5531,10.4,109577,17356,92221,2.2,13.9,108494,34931,73563,4.4,13.8,1083,0.1,27.6,0,3930,3952,20573
1978,20,a) 0,6298,6325,32574,16371,6261,198,0,0,32406,32406,0,197.9,197.9,0,0,0,0,0,32406,197.9,0,0,,,
1978,20,b) 1,5323,5869,41309,52459,113,1.7,1663,24.9,11134,1455,9679,2.8,21.2,33434,7671,25763,14.6,63.7,-22300,-42.5,42.4,0,1269,1271,5980
1978,20,l) Left Censored,34107,41144,627420,623206,1489,3.5,4601,10.8,96769,17696,79073,2.8,15.5,88340,33895,54445,5.4,14.2,8429,1.3,28.4,0,3149,3160,17895
1978,21,a) 0,7121,7151,37641,18900,7081,198,0,0,37482,37482,0,198.3,198.3,0,0,0,0,0,37482,198.3,0,0,,,
1978,21,b) 1,5820,6366,43764,44537,77,1,2122,28.6,11920,792,11128,1.8,26.8,13465,8673,4792,19.5,30.2,-1545,-3.4,53.6,0,1617,1617,6398
1978,21,l) Left Censored,38471,46678,876891,874525,1930,4,5286,10.9,135067,22283,112784,2.5,15.4,130335,51438,78897,5.9,14.9,4732,0.5,29.8,0,3616,3628,18658
1978,22,a) 0,7825,7852,45231,22616,7852,200,0,0,45231,45231,0,200,200,0,0,0,0,0,45231,200,0,0,,,
1978,22,b) 1,6483,7215,61090,61466,93,1.1,3001,34.2,20327,1151,19176,1.9,33.1,21079,13016,8063,21.2,34.3,-752,-1.2,66.2,0,1985,1987,8990
1978,22,l) Left Censored,42396,52981,1002328,978911,1518,2.7,7690,13.6,188216,28541,159675,2.9,19.2,141382,60171,81211,6.1,14.4,46834,4.8,28.8,0,4360,4384,27259
1978,23,a) 0,2794,2806,11993,6020,2788,198.7,0,0,11946,11946,0,198.4,198.4,0,0,0,0,0,11946,198.4,0,0,,,
1978,23,b) 1,2255,2490,17738,17731,24,0.9,661,23.5,4078,576,3502,3.2,23,4064,2189,1875,12.3,22.9,14,0.1,45.8,0,480,480,1658
