[ID],Year,Institution,state,Tot Lic/Opt Exe,Gross Lic Inc
95006,2006,Arizona State Univ.,AZ,19,"$3,349,612"
95144,2006,Research Corporation Technologies,AZ,16,"$7,965,667"
95185,2006,Univ. of Arizona,AZ,26,"$1,688,857"
95006,2007,Arizona State Univ.,AZ,14,"$3,303,549"
95144,2007,Research Corporation Technologies,AZ,14,"$31,693,569"
95185,2007,Univ. of Arizona,AZ,28,"$1,191,130"
95006,2008,Arizona State Univ.,AZ,50,"$1,212,021"
95144,2008,Research Corporation Technologies,AZ,9,"$10,079,579"
95185,2008,Univ. of Arizona,AZ,37,"$690,190"
95006,2009,Arizona State Univ.,AZ,49,"$1,878,749"
20100273,2009,Northern Arizona University,AZ,0,$0
95144,2009,Research Corporation Technologies,AZ,7,"$19,087,958"
95185,2009,Univ. of Arizona,AZ,49,"$687,110"
95006,2010,Arizona State Univ.,AZ,55,"$1,625,716"
20100273,2010,Northern Arizona University,AZ,0,$0
95144,2010,Research Corporation Technologies,AZ,6,"$18,925,278"
95185,2010,Univ. of Arizona,AZ,64,"$718,027"
95006,2011,Arizona State Univ.,AZ,73,"$1,059,372"
20100273,2011,Northern Arizona University,AZ,1,"$42,684"
95144,2011,Research Corporation Technologies,AZ,8,"$23,800,000"
95185,2011,Univ. of Arizona,AZ,80,"$981,495"
95006,2012,Arizona State Univ.,AZ,80,"$1,900,333"
20100273,2012,Northern Arizona University,AZ,1,"$18,439"
95144,2012,Research Corporation Technologies,AZ,12,"$31,100,000"
95185,2012,Univ. of Arizona,AZ,47,"$921,965"
95006,2013,Arizona State Univ.,AZ,88,"$2,026,689"
20100273,2013,Northern Arizona University,AZ,1,"$20,115"
95144,2013,Research Corporation Technologies,AZ,5,"$36,500,000"
95185,2013,Univ. of Arizona,AZ,48,"$926,023"
95023,1991,CA Pacific Medical Ctr. Res. Inst.,CA,0,$0
95036,1991,Children's Hospital Oakland,CA,1,"$5,818"
95038,1991,City of Hope National Medical Ctr.,CA,,"$18,783,446"
95152,1991,Salk Institute,CA,14,"$1,970,000"
95154,1991,San Diego State University,CA,0,$0
95165,1991,Stanford University,CA,96,"$25,650,000"
95188,1991,Univ. of CA System,CA,106,"$18,655,840"
95244,1991,Univ. of Southern CA,CA,6,"$400,889"
95023,1992,CA Pacific Medical Ctr. Res. Inst.,CA,0,$0
95036,1992,Children's Hospital Oakland,CA,0,"$1,761"
95038,1992,City of Hope National Medical Ctr.,CA,,"$20,861,915"
95152,1992,Salk Institute,CA,8,"$1,380,000"
95154,1992,San Diego State University,CA,1,"$4,000"
95165,1992,Stanford University,CA,128,"$25,450,000"
95188,1992,Univ. of CA System,CA,132,"$29,190,257"
95244,1992,Univ. of Southern CA,CA,4,"$494,831"
95021,1993,Burnham Institute,CA,3,"$50,000"
95022,1993,CA Institute of Technology,CA,12,"$2,354,000"
95023,1993,CA Pacific Medical Ctr. Res. Inst.,CA,,"$5,348"
95036,1993,Children's Hospital Oakland,CA,1,"$101,000"
95038,1993,City of Hope National Medical Ctr.,CA,13,"$21,894,353"
95152,1993,Salk Institute,CA,14,"$1,184,342"
95154,1993,San Diego State University,CA,1,"$4,000"
95163,1993,SRI International,CA,18,"$3,800,000"
95165,1993,Stanford University,CA,122,"$31,200,000"
95188,1993,Univ. of CA System,CA,141,"$45,440,022"
95244,1993,Univ. of Southern CA,CA,9,"$443,672"
95021,1994,Burnham Institute,CA,3,$0
95022,1994,CA Institute of Technology,CA,18,"$2,650,000"
95023,1994,CA Pacific Medical Ctr. Res. Inst.,CA,1,"$50,000"
95024,1994,CA State Univ./Fullerton,CA,0,$500
95038,1994,City of Hope National Medical Ctr.,CA,5,"$23,936,611"
95152,1994,Salk Institute,CA,18,"$1,473,373"
95154,1994,San Diego State University,CA,0,$0
95163,1994,SRI International,CA,13,"$4,000,000"
95165,1994,Stanford University,CA,150,"$37,700,000"
95188,1994,Univ. of CA System,CA,138,"$50,210,000"
95244,1994,Univ. of Southern CA,CA,19,"$495,260"
95021,1995,Burnham Institute,CA,2,"$33,032"
95022,1995,CA Institute of Technology,CA,19,"$2,730,000"
95023,1995,CA Pacific Medical Ctr. Res. Inst.,CA,1,"$75,000"
95038,1995,City of Hope National Medical Ctr.,CA,3,"$31,610,345"
95087,1995,John Wayne Cancer Institute,CA,2,$0
95152,1995,Salk Institute,CA,16,"$1,459,495"
95154,1995,San Diego State University,CA,0,$0
95163,1995,SRI International,CA,6,"$2,500,000"
95165,1995,Stanford University,CA,104,"$38,900,000"
95188,1995,Univ. of CA System,CA,117,"$57,272,000"
95244,1995,Univ. of Southern CA,CA,13,"$661,363"
95021,1996,Burnham Institute,CA,3,"$125,000"
95022,1996,California Institute of Technology,CA,30,"$3,900,000"
95023,1996,California Pacific Medical Ctr. Res. Inst.,CA,0,$0
95038,1996,City of Hope National Medical Ctr.,CA,5,"$30,934,000"
95152,1996,Salk Institute,CA,18,"$1,486,237"
95154,1996,San Diego State University,CA,0,$0
95163,1996,SRI International,CA,13,"$5,745,960"
95165,1996,Stanford University,CA,136,"$43,752,059"
95188,1996,Univ. of California System,CA,137,"$63,200,000"
95244,1996,Univ. of Southern California,CA,32,"$442,508"
95021,1997,Burnham Institute,CA,4,"$217,721"
95022,1997,California Institute of Technology,CA,28,"$4,056,829"
95023,1997,California Pacific Medical Ctr. Res. Inst.,CA,4,"$5,000"
95038,1997,City of Hope National Medical Ctr.,CA,1,"$31,926,000"
95152,1997,Salk Institute,CA,21,"$2,155,775"
95165,1997,Stanford University,CA,122,"$51,762,090"
96027,1997,Torrey Pines Inst. for Molecular Studies,CA,4,"$40,000"
95188,1997,Univ. of California System,CA,166,"$67,279,000"
95244,1997,Univ. of Southern California,CA,36,"$687,004"
95022,1998,California Institute of Technology,CA,44,"$5,500,000"
95023,1998,California Pacific Medical Ctr. Res. Inst.,CA,4,"$15,000"
95038,1998,City of Hope National Medical Ctr.,CA,2,"$33,740,821"
95152,1998,Salk Institute,CA,21,"$6,042,644"
95165,1998,Stanford University,CA,118,"$61,245,084"
95188,1998,Univ. of California System,CA,177,"$79,838,000"
95244,1998,Univ. of Southern California,CA,73,"$983,642"
95022,1999,California Institute of Technology,CA,21,"$6,500,000"
95023,1999,California Pacific Medical Ctr. Res. Inst.,CA,0,$0
99021,1999,California State Polytechnic University,CA,2,"$10,000"
95038,1999,City of Hope National Medical Ctr.,CA,0,"$23,752,074"
95152,1999,Salk Institute,CA,23,"$2,725,899"
95154,1999,San Diego State University,CA,4,"$82,000"
95165,1999,Stanford University,CA,147,"$40,082,288"
96027,1999,Torrey Pines Inst. for Molecular Studies,CA,8,"$125,000"
95188,1999,Univ. of California System,CA,219,"$80,888,000"
95244,1999,Univ. of Southern California,CA,57,"$650,568"
95022,2000,California Institute of Technology,CA,53,"$23,860,000"
95023,2000,California Pacific Medical Ctr. Res. Inst.,CA,2,"$50,000"
95038,2000,City of Hope National Medical Ctr.,CA,2,"$26,696,517"
95154,2000,San Diego State University,CA,3,"$99,881"
95165,2000,Stanford University,CA,162,"$36,944,000"
95188,2000,Univ. of California System,CA,313,"$267,765,000"
95244,2000,Univ. of Southern California,CA,86,"$1,904,256"
95022,2001,California Institute of Technology,CA,48,"$13,552,000"
95023,2001,California Pacific Medical Ctr. Res. Inst.,CA,0,$0
95038,2001,City of Hope National Medical Ctr. & Beckman Res.,CA,3,"$28,134,194"
95152,2001,Salk Institute for Biological Studies,CA,16,"$3,128,812"
95154,2001,San Diego State University,CA,4,"$49,780"
95165,2001,Stanford University,CA,150,"$41,167,000"
95188,2001,Univ. of California System,CA,262,"$72,899,000"
95244,2001,Univ. of Southern California,CA,88,"$1,931,552"
95021,2002,Burnham Inst.,CA,9,"$828,000"
95022,2002,California Inst. of Technology,CA,50,"$11,218,000"
95023,2002,California Pacific Medical Ctr. Res. Inst.,CA,0,$0
95038,2002,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,7,"$39,384,067"
98012,2002,Monterey Bay Aquarium Research Inst.,CA,4,"$17,500"
95165,2002,Stanford Univ.,CA,106,"$52,712,041"
95152,2002,The Salk Inst. for Biological Studies,CA,17,"$6,140,743"
95188,2002,Univ. of California System,CA,222,"$88,148,000"
95244,2002,Univ. of Southern California,CA,87,"$1,725,670"
95021,2003,Burnham Inst.,CA,9,"$711,000"
95022,2003,California Inst. of Technology,CA,39,"$25,359,000"
95023,2003,California Pacific Medical Ctr. Res. Inst.,CA,1,"$50,000"
95036,2003,Children's Hospital Oakland Research Inst.,CA,1,"$82,968"
20000250,2003,Childrens Hospital Los Angeles,CA,0,"$14,385"
95038,2003,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,5,"$55,852,813"
98012,2003,Monterey Bay Aquarium Research Inst.,CA,0,"$36,267"
95165,2003,Stanford Univ.,CA,128,"$45,383,189"
95152,2003,The Salk Inst. for Biological Studies,CA,28,"$4,914,350"
95188,2003,Univ. of California System,CA,208,"$67,019,000"
95244,2003,Univ. of Southern California,CA,77,"$2,943,324"
95021,2004,Burnham Inst.,CA,11,"$1,204,000"
95022,2004,California Inst. of Technology,CA,45,"$9,886,087"
95023,2004,California Pacific Medical Ctr. Res. Inst.,CA,1,"$145,000"
95036,2004,Children's Hospital Oakland Research Inst.,CA,1,"$149,819"
95038,2004,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,3,"$47,462,522"
98012,2004,Monterey Bay Aquarium Research Inst.,CA,2,"$42,715"
95165,2004,Stanford Univ.,CA,89,"$49,501,622"
95152,2004,The Salk Inst. for Biological Studies,CA,27,"$5,163,468"
96027,2004,Torrey Pines Inst. for Molecular Studies,CA,3,"$250,000"
95188,2004,Univ. of California System,CA,273,"$79,265,000"
95244,2004,Univ. of Southern California,CA,61,"$3,213,486"
95021,2005,Burnham Inst.,CA,12,"$991,000"
95022,2005,California Inst. of Technology,CA,50,"$10,220,654"
95023,2005,California Pacific Medical Ctr. Res. Inst.,CA,6,"$153,881"
95036,2005,Children's Hospital Oakland Research Inst.,CA,3,"$728,575"
95038,2005,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,7,"$73,888,337"
95152,2005,The Salk Inst. for Biological Studies,CA,23,"$5,248,417"
95188,2005,Univ. of California System,CA,265,"$92,902,000"
95244,2005,Univ. of Southern California,CA,65,"$2,891,273"
95021,2006,Burnham Inst.,CA,18,"$943,000"
95022,2006,California Inst. of Technology,CA,55,"$13,234,236"
95023,2006,California Pacific Medical Ctr. Res. Inst.,CA,3,"$89,683"
95036,2006,Children's Hospital Oakland Research Inst.,CA,4,"$335,647"
95038,2006,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,5,"$98,728,000"
95165,2006,Stanford Univ.,CA,109,"$61,310,739"
95152,2006,The Salk Inst. for Biological Studies,CA,22,"$4,287,311"
95188,2006,Univ. of California System,CA,226,"$193,499,879"
95244,2006,Univ. of Southern California,CA,46,"$1,663,597"
95021,2007,Burnham Inst.,CA,19,"$695,000"
95022,2007,California Inst. of Technology,CA,56,"$9,167,618"
95023,2007,California Pacific Medical Ctr. Res. Inst.,CA,3,"$138,123"
95036,2007,Children's Hospital Oakland Research Inst.,CA,2,"$485,307"
95038,2007,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,7,"$117,997,000"
95165,2007,Stanford Univ.,CA,88,"$50,370,600"
95152,2007,The Salk Inst. for Biological Studies,CA,,0
95188,2007,Univ. of California System,CA,231,"$97,593,575"
95244,2007,Univ. of Southern California,CA,26,"$2,553,045"
95021,2008,Burnham Inst.,CA,19,"$932,000"
95022,2008,California Inst. of Technology,CA,57,"$19,220,613"
20000226,2008,Cedars-Sinai Medical Ctr.,CA,8,"$16,509,435"
95036,2008,Children's Hospital Oakland Research Inst.,CA,4,"$459,233"
95038,2008,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,9,"$408,701,463"
95154,2008,San Diego State University,CA,10,"$381,661"
95165,2008,Stanford Univ.,CA,107,"$62,514,524"
95152,2008,The Salk Inst. for Biological Studies,CA,15,"$8,588,814"
95188,2008,Univ. of California System,CA,206,"$146,314,433"
95244,2008,Univ. of Southern California,CA,31,"$7,270,538"
95022,2009,California Inst. of Technology,CA,37,"$47,665,535"
20000226,2009,Cedars-Sinai Medical Ctr.,CA,0,"$13,204,097"
95036,2009,Children's Hospital Oakland Research Inst.,CA,6,"$180,831"
95038,2009,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,12,"$195,637,783"
95154,2009,San Diego State University,CA,14,"$419,873"
95021,2009,Sanford-Burnham Medical Research Institute,CA,2,"$830,000"
95165,2009,Stanford Univ.,CA,77,"$65,054,187"
95152,2009,The Salk Inst. for Biological Studies,CA,19,"$16,812,796"
95188,2009,Univ. of California System,CA,237,"$103,104,667"
95244,2009,Univ. of Southern California,CA,13,"$4,399,006"
95022,2010,California Inst. of Technology,CA,47,"$51,582,149"
20000226,2010,Cedars-Sinai Medical Ctr.,CA,5,"$13,600,566"
95036,2010,Children's Hospital Oakland Research Inst.,CA,6,"$99,856"
95038,2010,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,7,"$202,264,875"
95154,2010,San Diego State University,CA,12,"$365,814"
95021,2010,Sanford-Burnham Medical Research Institute,CA,3,"$866,000"
95165,2010,Stanford Univ.,CA,90,"$65,466,286"
95152,2010,The Salk Inst. for Biological Studies,CA,15,"$2,813,107"
95188,2010,Univ. of California System,CA,252,"$104,434,511"
95244,2010,Univ. of Southern California,CA,24,"$12,296,693"
95022,2011,California Inst. of Technology,CA,55,"$29,043,617"
20000226,2011,Cedars-Sinai Medical Ctr.,CA,4,"$13,817,316"
95036,2011,Children's Hospital Oakland Research Inst.,CA,4,"$167,925"
95038,2011,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,,"$200,390,266"
20000011,2011,Keck Graduate Inst. of Applied Life Sciences,CA,0,"$100,000"
95154,2011,San Diego State University,CA,11,"$530,738"
95165,2011,Stanford Univ.,CA,123,"$66,797,246"
95152,2011,The Salk Inst. for Biological Studies,CA,12,"$2,941,728"
95156,2011,The Scripps Research Inst.,CA,19,"$3,191,588"
95188,2011,Univ. of California System,CA,292,"$182,049,620"
95244,2011,Univ. of Southern California,CA,21,"$5,301,725"
95022,2012,California Inst. of Technology,CA,37,"$29,416,511"
20000226,2012,Cedars-Sinai Medical Ctr.,CA,7,"$17,194,099"
95036,2012,Children's Hospital Oakland Research Inst.,CA,5,"$220,647"
95038,2012,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,7,"$224,408,641"
95154,2012,San Diego State University,CA,8,"$355,812"
95021,2012,Sanford-Burnham Medical Research Institute,CA,10,"$4,326,843"
95165,2012,Stanford Univ.,CA,137,"$76,727,029"
95152,2012,The Salk Inst. for Biological Studies,CA,5,"$3,611,491"
95188,2012,Univ. of California System,CA,236,"$102,191,043"
95244,2012,Univ. of Southern California,CA,20,"$5,633,826"
95022,2013,California Inst. of Technology,CA,58,"$23,640,920"
20000226,2013,Cedars-Sinai Medical Ctr.,CA,6,"$12,122,483"
20000250,2013,Childrens Hospital Los Angeles,CA,7,"$689,999"
95038,2013,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,11,"$249,371,883"
95154,2013,San Diego State University,CA,14,"$401,881"
95021,2013,Sanford-Burnham Medical Research Institute,CA,5,"$3,138,751"
95165,2013,Stanford Univ.,CA,123,"$86,967,392"
95152,2013,The Salk Inst. for Biological Studies,CA,18,"$2,993,719"
95188,2013,Univ. of California System,CA,261,"$104,807,562"
95072,1998,Hospital for Sick Children Research,CANADA,12,"$323,970"
95072,1999,Hospital for Sick Children Research,CANADA,24,"$474,492"
95072,2000,Hospital for Sick Children Research,CANADA,28,"$600,150"
95193,1991,Univ. of CN,CN,7,"$201,000"
95282,1991,Yale University,CN,15,"$761,000"
95193,1992,Univ. of CN,CN,5,"$224,000"
95282,1992,Yale University,CN,16,"$738,000"
95046,1993,Competitive Technologies Inc. (CTI),CN,17,"$3,100,000"
95193,1993,Univ. of CN,CN,6,"$440,000"
95282,1993,Yale University,CN,14,"$1,700,000"
95046,1994,Competitive Technologies Inc. (CTI),CN,23,"$6,700,000"
95193,1994,Univ. of CN,CN,6,"$514,000"
95282,1994,Yale University,CN,13,"$1,650,000"
95046,1995,Competitive Technologies Inc. (CTI),CN,27,"$4,880,000"
95193,1995,Univ. of CN,CN,6,"$456,845"
95282,1995,Yale University,CN,18,"$2,660,000"
95044,1991,CO State University,CO,5,"$166,713"
95192,1991,Univ. of CO,CO,8,"$575,788"
95044,1992,CO State University,CO,3,"$198,163"
95192,1992,Univ. of CO,CO,4,"$840,680"
95113,1993,National Jewish Center,CO,1,"$14,820"
95192,1993,Univ. of CO,CO,10,"$1,272,764"
95196,1993,Univ. of Denver,CO,0,"$153,539"
95044,1994,CO State University,CO,5,"$227,891"
95113,1994,National Jewish Center,CO,3,"$30,968"
95192,1994,Univ. of CO,CO,17,"$1,289,257"
95196,1994,Univ. of Denver,CO,0,"$61,000"
95044,1995,CO State University,CO,2,"$373,179"
95113,1995,National Jewish Center,CO,1,"$125,663"
95192,1995,Univ. of CO,CO,25,"$1,718,839"
95196,1995,Univ. of Denver,CO,0,"$80,000"
95044,1996,Colorado State University,CO,7,"$308,800"
95113,1996,National Jewish Med. and Res. Ctr.,CO,1,"$227,739"
95192,1996,Univ. of Colorado,CO,28,"$2,274,887"
95196,1996,Univ. of Denver,CO,0,"$100,000"
95044,1997,Colorado State University,CO,9,"$638,668"
95113,1997,National Jewish Med. and Res. Ctr.,CO,4,"$237,482"
95192,1997,Univ. of Colorado,CO,29,"$3,552,899"
95196,1997,Univ. of Denver,CO,0,"$103,447"
95044,1998,Colorado State University,CO,8,"$357,115"
95113,1998,National Jewish Med. and Res. Ctr.,CO,3,"$483,711"
95044,1999,Colorado State University,CO,9,"$387,750"
95113,1999,National Jewish Med. and Res. Ctr.,CO,3,"$574,105"
95192,1999,Univ. of Colorado,CO,10,"$3,127,303"
