[ID],Year,Institution,state,Tot Lic/Opt Exe,St-Ups Formed,Gross Lic Inc
95182,2010,The UAB Research Fdn.,AL,22,4,"$3,804,741 "
95181,2010,Univ. of Alabama in Huntsville,AL,2,4,"$1,037,722 "
95241,2010,Univ. of South Alabama,AL,3,2,"$2,302,192 "
20070261,2010,University of Alabama,AL,3,0,"$77,051 "
95007,2011,Auburn Univ.,AL,20,3,"$630,334 "
95182,2011,The UAB Research Fdn.,AL,27,5,"$6,676,056 "
95181,2011,Univ. of Alabama in Huntsville,AL,4,4,"$1,043,045 "
95241,2011,Univ. of South Alabama,AL,4,2,"$2,400,157 "
20070261,2011,University of Alabama,AL,3,0,"$8,593 "
95007,2012,Auburn Univ.,AL,17,1,"$646,659 "
95182,2012,The UAB Research Fdn.,AL,35,2,"$3,965,423 "
95181,2012,Univ. of Alabama in Huntsville,AL,2,2,"$1,023,170 "
95241,2012,Univ. of South Alabama,AL,9,0,"$1,852,438 "
20070261,2012,University of Alabama,AL,4,1,"$18,294 "
95007,2013,Auburn Univ.,AL,7,0,"$835,897 "
95182,2013,The UAB Research Fdn.,AL,22,2,"$4,368,684 "
95181,2013,Univ. of Alabama in Huntsville,AL,2,0,"$1,018,347 "
95186,1991,Univ. of Arkansas Fayetteville,AR,5,,"$81,093 "
95186,1992,Univ. of Arkansas Fayetteville,AR,5,,"$299,358 "
95186,1993,Univ. of Arkansas Fayetteville,AR,0,,"$500,461 "
95186,1994,Univ. of Arkansas Fayetteville,AR,1,0,"$250,670 "
95186,1995,Univ. of Arkansas Fayetteville,AR,2,1,"$406,660 "
95186,1996,Univ. of Arkansas Fayetteville,AR,2,0,"$95,970 "
95186,1997,Univ. of Arkansas Fayetteville,AR,4,0,"$66,656 "
95186,1998,Univ. of Arkansas Fayetteville,AR,1,1,"$206,546 "
95186,1999,Univ. of Arkansas Fayetteville,AR,2,1,"$259,883 "
95186,2000,Univ. of Arkansas Fayetteville,AR,12,0,"$3,370,557 "
95186,2001,Univ. of Arkansas Fayetteville,AR,12,1,"$325,900 "
97013,2001,Univ. of Arkansas for Medical Sciences,AR,2,1,"$350,000 "
95186,2002,Univ. of Arkansas Fayetteville,AR,8,2,"$341,751 "
97013,2002,Univ. of Arkansas for Medical Sciences,AR,3,3,"$226,341 "
95186,2003,Univ. of Arkansas Fayetteville,AR,5,0,"$356,691 "
97013,2003,Univ. of Arkansas for Medical Sciences,AR,1,2,"$227,600 "
95186,2004,Univ. of Arkansas Fayetteville,AR,25,3,"$304,000 "
97013,2004,Univ. of Arkansas for Medical Sciences,AR,6,3,"$240,682 "
95186,2005,Univ. of Arkansas Fayetteville,AR,18,3,"$364,500 "
97013,2005,Univ. of Arkansas for Medical Sciences,AR,11,0,"$323,207 "
97013,2006,Univ. of Arkansas for Medical Sciences,AR,7,0,"$469,662 "
95186,2007,Univ. of Arkansas Fayetteville,AR,9,3,"$404,378 "
97013,2007,Univ. of Arkansas for Medical Sciences,AR,7,1,"$1,205,396 "
95186,2008,Univ. of Arkansas Fayetteville,AR,9,1,"$302,536 "
97013,2008,Univ. of Arkansas for Medical Sciences,AR,1,0,"$677,262 "
95186,2009,Univ. of Arkansas Fayetteville,AR,61,1,"$663,167 "
97013,2009,Univ. of Arkansas for Medical Sciences,AR,6,2,"$811,774 "
95186,2010,Univ. of Arkansas Fayetteville,AR,64,5,"$688,589 "
95186,2011,Univ. of Arkansas Fayetteville,AR,32,2,"$901,106 "
97013,2011,Univ. of Arkansas for Medical Sciences,AR,7,2,"$735,841 "
95186,2012,Univ. of Arkansas Fayetteville,AR,42,3,"$1,146,246 "
97013,2012,Univ. of Arkansas for Medical Sciences,AR,6,4, 
95186,2013,Univ. of Arkansas Fayetteville,AR,40,2,"$925,153 "
97013,2013,Univ. of Arkansas for Medical Sciences,AR,6,4,"$1,137,124 "
95144,1991,Research Corporation Technologies,AZ,21,,"$42,979,173 "
95185,1991,Univ. of AZ,AZ,10,,"$116,305 "
95144,1992,Research Corporation Technologies,AZ,21,,"$50,345,501 "
95185,1992,Univ. of AZ,AZ,13,,"$153,469 "
95006,1993,AZ State University,AZ,6,,"$502,304 "
95144,1993,Research Corporation Technologies,AZ,35,,"$55,463,780 "
95185,1993,Univ. of AZ,AZ,17,,"$153,111 "
95006,1994,AZ State University,AZ,5,0,"$874,884 "
95144,1994,Research Corporation Technologies,AZ,44,0,"$59,141,000 "
95185,1994,Univ. of AZ,AZ,11,2,"$180,331 "
95006,1995,AZ State University,AZ,1,1,"$237,621 "
95144,1995,Research Corporation Technologies,AZ,24,2,"$63,043,800 "
95185,1995,Univ. of AZ,AZ,8,0,"$206,512 "
95006,1996,Arizona State University,AZ,10,3,"$487,637 "
95144,1996,Research Corporation Technologies,AZ,31,1,"$70,343,112 "
95185,1996,Univ. of Arizona,AZ,13,3,"$253,302 "
95006,1997,Arizona State University,AZ,8,2,"$731,307 "
95144,1997,Research Corporation Technologies,AZ,33,1,"$75,044,599 "
95185,1997,Univ. of Arizona,AZ,59,1,"$593,661 "
95006,1998,Arizona State University,AZ,8,0,"$603,313 "
95144,1998,Research Corporation Technologies,AZ,28,1,"$70,587,642 "
95185,1998,Univ. of Arizona,AZ,32,3,"$477,000 "
95006,1999,Arizona State University,AZ,11,1,"$1,274,145 "
95144,1999,Research Corporation Technologies,AZ,28,2,"$100,509,700 "
95185,1999,Univ. of Arizona,AZ,11,3,"$314,299 "
95006,2000,Arizona State University,AZ,10,2,"$1,532,124 "
95144,2000,Research Corporation Technologies,AZ,24,2,"$69,296,661 "
95185,2000,Univ. of Arizona,AZ,37,2,"$368,970 "
95006,2001,Arizona State University,AZ,11,5,"$1,746,531 "
95144,2001,Research Corporation Technologies,AZ,68,2,"$72,331,934 "
95185,2001,Univ. of Arizona,AZ,18,3,"$833,954 "
95006,2002,Arizona State Univ.,AZ,7,3,"$1,770,342 "
95144,2002,Research Corporation Technologies,AZ,65,0,"$47,565,784 "
95185,2002,Univ. of Arizona,AZ,25,5,"$714,415 "
95006,2003,Arizona State Univ.,AZ,3,1,"$1,092,775 "
95144,2003,Research Corporation Technologies,AZ,43,0,"$71,351,848 "
95185,2003,Univ. of Arizona,AZ,23,2,"$1,076,870 "
95006,2004,Arizona State Univ.,AZ,20,4,"$1,421,835 "
95144,2004,Research Corporation Technologies,AZ,25,0,"$39,689,642 "
95185,2004,Univ. of Arizona,AZ,24,4,"$1,008,621 "
95006,2005,Arizona State Univ.,AZ,28,5,"$2,287,170 "
95144,2005,Research Corporation Technologies,AZ,35,0,"$8,351,774 "
95185,2005,Univ. of Arizona,AZ,28,5,"$1,175,915 "
95006,2006,Arizona State Univ.,AZ,19,5,"$3,349,612 "
95144,2006,Research Corporation Technologies,AZ,16,0,"$7,965,667 "
95185,2006,Univ. of Arizona,AZ,26,3,"$1,688,857 "
95006,2007,Arizona State Univ.,AZ,14,4,"$3,303,549 "
95144,2007,Research Corporation Technologies,AZ,14,0,"$31,693,569 "
95185,2007,Univ. of Arizona,AZ,28,3,"$1,191,130 "
95006,2008,Arizona State Univ.,AZ,50,1,"$1,212,021 "
95144,2008,Research Corporation Technologies,AZ,9,0,"$10,079,579 "
95185,2008,Univ. of Arizona,AZ,37,6,"$690,190 "
95006,2009,Arizona State Univ.,AZ,49,5,"$1,878,749 "
20100273,2009,Northern Arizona University,AZ,0,0,$0 
95144,2009,Research Corporation Technologies,AZ,7,0,"$19,087,958 "
95185,2009,Univ. of Arizona,AZ,49,7,"$687,110 "
95006,2010,Arizona State Univ.,AZ,55,4,"$1,625,716 "
20100273,2010,Northern Arizona University,AZ,0,0,$0 
95144,2010,Research Corporation Technologies,AZ,6,0,"$18,925,278 "
95185,2010,Univ. of Arizona,AZ,64,6,"$718,027 "
95006,2011,Arizona State Univ.,AZ,73,10,"$1,059,372 "
20100273,2011,Northern Arizona University,AZ,1,0,"$42,684 "
95144,2011,Research Corporation Technologies,AZ,8,,"$23,800,000 "
95185,2011,Univ. of Arizona,AZ,80,8,"$981,495 "
95006,2012,Arizona State Univ.,AZ,80,9,"$1,900,333 "
20100273,2012,Northern Arizona University,AZ,1,1,"$18,439 "
95144,2012,Research Corporation Technologies,AZ,12,,"$31,100,000 "
95185,2012,Univ. of Arizona,AZ,47,5,"$921,965 "
95006,2013,Arizona State Univ.,AZ,88,11,"$2,026,689 "
20100273,2013,Northern Arizona University,AZ,1,0,"$20,115 "
95144,2013,Research Corporation Technologies,AZ,5,,"$36,500,000 "
95185,2013,Univ. of Arizona,AZ,48,3,"$926,023 "
95023,1991,CA Pacific Medical Ctr. Res. Inst.,CA,0,,$0 
95036,1991,Children's Hospital Oakland,CA,1,,"$5,818 "
95038,1991,City of Hope National Medical Ctr.,CA,,,"$18,783,446 "
95152,1991,Salk Institute,CA,14,,"$1,970,000 "
95154,1991,San Diego State University,CA,0,,$0 
95165,1991,Stanford University,CA,96,,"$25,650,000 "
95188,1991,Univ. of CA System,CA,106,,"$18,655,840 "
95244,1991,Univ. of Southern CA,CA,6,,"$400,889 "
95023,1992,CA Pacific Medical Ctr. Res. Inst.,CA,0,,$0 
95036,1992,Children's Hospital Oakland,CA,0,,"$1,761 "
95038,1992,City of Hope National Medical Ctr.,CA,,,"$20,861,915 "
95152,1992,Salk Institute,CA,8,,"$1,380,000 "
95154,1992,San Diego State University,CA,1,,"$4,000 "
95165,1992,Stanford University,CA,128,,"$25,450,000 "
95188,1992,Univ. of CA System,CA,132,,"$29,190,257 "
95244,1992,Univ. of Southern CA,CA,4,,"$494,831 "
95021,1993,Burnham Institute,CA,3,,"$50,000 "
95022,1993,CA Institute of Technology,CA,12,,"$2,354,000 "
95023,1993,CA Pacific Medical Ctr. Res. Inst.,CA,,,"$5,348 "
95036,1993,Children's Hospital Oakland,CA,1,,"$101,000 "
95038,1993,City of Hope National Medical Ctr.,CA,13,,"$21,894,353 "
95152,1993,Salk Institute,CA,14,,"$1,184,342 "
95154,1993,San Diego State University,CA,1,,"$4,000 "
95163,1993,SRI International,CA,18,,"$3,800,000 "
95165,1993,Stanford University,CA,122,,"$31,200,000 "
95188,1993,Univ. of CA System,CA,141,,"$45,440,022 "
95244,1993,Univ. of Southern CA,CA,9,,"$443,672 "
95021,1994,Burnham Institute,CA,3,1,$0 
95022,1994,CA Institute of Technology,CA,18,2,"$2,650,000 "
95023,1994,CA Pacific Medical Ctr. Res. Inst.,CA,1,0,"$50,000 "
95024,1994,CA State Univ./Fullerton,CA,0,0,$500 
95038,1994,City of Hope National Medical Ctr.,CA,5,0,"$23,936,611 "
95152,1994,Salk Institute,CA,18,2,"$1,473,373 "
95154,1994,San Diego State University,CA,0,0,$0 
95163,1994,SRI International,CA,13,10,"$4,000,000 "
95165,1994,Stanford University,CA,150,9,"$37,700,000 "
95188,1994,Univ. of CA System,CA,138,4,"$50,210,000 "
95244,1994,Univ. of Southern CA,CA,19,0,"$495,260 "
95021,1995,Burnham Institute,CA,2,0,"$33,032 "
95022,1995,CA Institute of Technology,CA,19,4,"$2,730,000 "
95023,1995,CA Pacific Medical Ctr. Res. Inst.,CA,1,0,"$75,000 "
95038,1995,City of Hope National Medical Ctr.,CA,3,0,"$31,610,345 "
95087,1995,John Wayne Cancer Institute,CA,2,2,$0 
95152,1995,Salk Institute,CA,16,0,"$1,459,495 "
95154,1995,San Diego State University,CA,0,0,$0 
95163,1995,SRI International,CA,6,6,"$2,500,000 "
95165,1995,Stanford University,CA,104,2,"$38,900,000 "
95188,1995,Univ. of CA System,CA,117,11,"$57,272,000 "
95244,1995,Univ. of Southern CA,CA,13,3,"$661,363 "
95021,1996,Burnham Institute,CA,3,0,"$125,000 "
95022,1996,California Institute of Technology,CA,30,10,"$3,900,000 "
95023,1996,California Pacific Medical Ctr. Res. Inst.,CA,0,0,$0 
95038,1996,City of Hope National Medical Ctr.,CA,5,0,"$30,934,000 "
95152,1996,Salk Institute,CA,18,1,"$1,486,237 "
95154,1996,San Diego State University,CA,0,0,$0 
95163,1996,SRI International,CA,13,2,"$5,745,960 "
95165,1996,Stanford University,CA,136,14,"$43,752,059 "
95188,1996,Univ. of California System,CA,137,11,"$63,200,000 "
95244,1996,Univ. of Southern California,CA,32,3,"$442,508 "
95021,1997,Burnham Institute,CA,4,1,"$217,721 "
95022,1997,California Institute of Technology,CA,28,9,"$4,056,829 "
95023,1997,California Pacific Medical Ctr. Res. Inst.,CA,4,0,"$5,000 "
95038,1997,City of Hope National Medical Ctr.,CA,1,0,"$31,926,000 "
95152,1997,Salk Institute,CA,21,1,"$2,155,775 "
95165,1997,Stanford University,CA,122,15,"$51,762,090 "
96027,1997,Torrey Pines Inst. for Molecular Studies,CA,4,0,"$40,000 "
95188,1997,Univ. of California System,CA,166,13,"$67,279,000 "
95244,1997,Univ. of Southern California,CA,36,4,"$687,004 "
95022,1998,California Institute of Technology,CA,44,11,"$5,500,000 "
95023,1998,California Pacific Medical Ctr. Res. Inst.,CA,4,2,"$15,000 "
95038,1998,City of Hope National Medical Ctr.,CA,2,1,"$33,740,821 "
95152,1998,Salk Institute,CA,21,3,"$6,042,644 "
95165,1998,Stanford University,CA,118,9,"$61,245,084 "
95188,1998,Univ. of California System,CA,177,19,"$79,838,000 "
95244,1998,Univ. of Southern California,CA,73,2,"$983,642 "
95022,1999,California Institute of Technology,CA,21,7,"$6,500,000 "
95023,1999,California Pacific Medical Ctr. Res. Inst.,CA,0,0,$0 
99021,1999,California State Polytechnic University,CA,2,0,"$10,000 "
95038,1999,City of Hope National Medical Ctr.,CA,0,0,"$23,752,074 "
95152,1999,Salk Institute,CA,23,0,"$2,725,899 "
95154,1999,San Diego State University,CA,4,2,"$82,000 "
95165,1999,Stanford University,CA,147,19,"$40,082,288 "
96027,1999,Torrey Pines Inst. for Molecular Studies,CA,8,0,"$125,000 "
95188,1999,Univ. of California System,CA,219,13,"$80,888,000 "
95244,1999,Univ. of Southern California,CA,57,4,"$650,568 "
95022,2000,California Institute of Technology,CA,53,14,"$23,860,000 "
95023,2000,California Pacific Medical Ctr. Res. Inst.,CA,2,0,"$50,000 "
95038,2000,City of Hope National Medical Ctr.,CA,2,0,"$26,696,517 "
95154,2000,San Diego State University,CA,3,2,"$99,881 "
95165,2000,Stanford University,CA,162,8,"$36,944,000 "
95188,2000,Univ. of California System,CA,313,26,"$267,765,000 "
95244,2000,Univ. of Southern California,CA,86,7,"$1,904,256 "
95022,2001,California Institute of Technology,CA,48,12,"$13,552,000 "
95023,2001,California Pacific Medical Ctr. Res. Inst.,CA,0,0,$0 
95038,2001,City of Hope National Medical Ctr. & Beckman Res.,CA,3,0,"$28,134,194 "
95152,2001,Salk Institute for Biological Studies,CA,16,3,"$3,128,812 "
95154,2001,San Diego State University,CA,4,0,"$49,780 "
95165,2001,Stanford University,CA,150,6,"$41,167,000 "
95188,2001,Univ. of California System,CA,262,25,"$72,899,000 "
95244,2001,Univ. of Southern California,CA,88,9,"$1,931,552 "
95021,2002,Burnham Inst.,CA,9,2,"$828,000 "
95022,2002,California Inst. of Technology,CA,50,9,"$11,218,000 "
95023,2002,California Pacific Medical Ctr. Res. Inst.,CA,0,0,$0 
95038,2002,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,7,0,"$39,384,067 "
98012,2002,Monterey Bay Aquarium Research Inst.,CA,4,0,"$17,500 "
95165,2002,Stanford Univ.,CA,106,13,"$52,712,041 "
95152,2002,The Salk Inst. for Biological Studies,CA,17,0,"$6,140,743 "
95188,2002,Univ. of California System,CA,222,23,"$88,148,000 "
95244,2002,Univ. of Southern California,CA,87,10,"$1,725,670 "
95021,2003,Burnham Inst.,CA,9,2,"$711,000 "
95022,2003,California Inst. of Technology,CA,39,7,"$25,359,000 "
95023,2003,California Pacific Medical Ctr. Res. Inst.,CA,1,0,"$50,000 "
95036,2003,Children's Hospital Oakland Research Inst.,CA,1,0,"$82,968 "
20000250,2003,Childrens Hospital Los Angeles,CA,0,0,"$14,385 "
95038,2003,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,5,0,"$55,852,813 "
98012,2003,Monterey Bay Aquarium Research Inst.,CA,0,0,"$36,267 "
95165,2003,Stanford Univ.,CA,128,12,"$45,383,189 "
95152,2003,The Salk Inst. for Biological Studies,CA,28,1,"$4,914,350 "
95188,2003,Univ. of California System,CA,208,22,"$67,019,000 "
95244,2003,Univ. of Southern California,CA,77,6,"$2,943,324 "
95021,2004,Burnham Inst.,CA,11,0,"$1,204,000 "
95022,2004,California Inst. of Technology,CA,45,14,"$9,886,087 "
95023,2004,California Pacific Medical Ctr. Res. Inst.,CA,1,,"$145,000 "
95036,2004,Children's Hospital Oakland Research Inst.,CA,1,0,"$149,819 "
95038,2004,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,3,0,"$47,462,522 "
98012,2004,Monterey Bay Aquarium Research Inst.,CA,2,0,"$42,715 "
95165,2004,Stanford Univ.,CA,89,9,"$49,501,622 "
95152,2004,The Salk Inst. for Biological Studies,CA,27,2,"$5,163,468 "
96027,2004,Torrey Pines Inst. for Molecular Studies,CA,3,0,"$250,000 "
95188,2004,Univ. of California System,CA,273,5,"$79,265,000 "
95244,2004,Univ. of Southern California,CA,61,7,"$3,213,486 "
95021,2005,Burnham Inst.,CA,12,0,"$991,000 "
95022,2005,California Inst. of Technology,CA,50,16,"$10,220,654 "
95023,2005,California Pacific Medical Ctr. Res. Inst.,CA,6,0,"$153,881 "
95036,2005,Children's Hospital Oakland Research Inst.,CA,3,0,"$728,575 "
95038,2005,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,7,1,"$73,888,337 "
95152,2005,The Salk Inst. for Biological Studies,CA,23,0,"$5,248,417 "
95188,2005,Univ. of California System,CA,265,19,"$92,902,000 "
95244,2005,Univ. of Southern California,CA,65,7,"$2,891,273 "
95021,2006,Burnham Inst.,CA,18,,"$943,000 "
95022,2006,California Inst. of Technology,CA,55,12,"$13,234,236 "
95023,2006,California Pacific Medical Ctr. Res. Inst.,CA,3,2,"$89,683 "
95036,2006,Children's Hospital Oakland Research Inst.,CA,4,1,"$335,647 "
95038,2006,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,5,0,"$98,728,000 "
95165,2006,Stanford Univ.,CA,109,7,"$61,310,739 "
95152,2006,The Salk Inst. for Biological Studies,CA,22,1,"$4,287,311 "
95188,2006,Univ. of California System,CA,226,39,"$193,499,879 "
95244,2006,Univ. of Southern California,CA,46,5,"$1,663,597 "
95021,2007,Burnham Inst.,CA,19,1,"$695,000 "
95022,2007,California Inst. of Technology,CA,56,11,"$9,167,618 "
95023,2007,California Pacific Medical Ctr. Res. Inst.,CA,3,0,"$138,123 "
95036,2007,Children's Hospital Oakland Research Inst.,CA,2,0,"$485,307 "
95038,2007,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,7,1,"$117,997,000 "
95165,2007,Stanford Univ.,CA,88,6,"$50,370,600 "
95152,2007,The Salk Inst. for Biological Studies,CA,,, 
95188,2007,Univ. of California System,CA,231,38,"$97,593,575 "
95244,2007,Univ. of Southern California,CA,26,2,"$2,553,045 "
95021,2008,Burnham Inst.,CA,19,3,"$932,000 "
95022,2008,California Inst. of Technology,CA,57,14,"$19,220,613 "
20000226,2008,Cedars-Sinai Medical Ctr.,CA,8,0,"$16,509,435 "
95036,2008,Children's Hospital Oakland Research Inst.,CA,4,0,"$459,233 "
95038,2008,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,9,0,"$408,701,463 "
95154,2008,San Diego State University,CA,10,0,"$381,661 "
95165,2008,Stanford Univ.,CA,107,9,"$62,514,524 "
95152,2008,The Salk Inst. for Biological Studies,CA,15,0,"$8,588,814 "
95188,2008,Univ. of California System,CA,206,55,"$146,314,433 "
95244,2008,Univ. of Southern California,CA,31,5,"$7,270,538 "
95022,2009,California Inst. of Technology,CA,37,18,"$47,665,535 "
20000226,2009,Cedars-Sinai Medical Ctr.,CA,0,0,"$13,204,097 "
95036,2009,Children's Hospital Oakland Research Inst.,CA,6,0,"$180,831 "
95038,2009,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,12,1,"$195,637,783 "
95154,2009,San Diego State University,CA,14,0,"$419,873 "
95021,2009,Sanford-Burnham Medical Research Institute,CA,2,,"$830,000 "
95165,2009,Stanford Univ.,CA,77,9,"$65,054,187 "
95152,2009,The Salk Inst. for Biological Studies,CA,19,4,"$16,812,796 "
95188,2009,Univ. of California System,CA,237,47,"$103,104,667 "
95244,2009,Univ. of Southern California,CA,13,5,"$4,399,006 "
95022,2010,California Inst. of Technology,CA,47,10,"$51,582,149 "
20000226,2010,Cedars-Sinai Medical Ctr.,CA,5,0,"$13,600,566 "
95036,2010,Children's Hospital Oakland Research Inst.,CA,6,0,"$99,856 "
95038,2010,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,7,0,"$202,264,875 "
95154,2010,San Diego State University,CA,12,3,"$365,814 "
95021,2010,Sanford-Burnham Medical Research Institute,CA,3,0,"$866,000 "
95165,2010,Stanford Univ.,CA,90,,"$65,466,286 "
95152,2010,The Salk Inst. for Biological Studies,CA,15,1,"$2,813,107 "
95188,2010,Univ. of California System,CA,252,75,"$104,434,511 "
95244,2010,Univ. of Southern California,CA,24,6,"$12,296,693 "
95022,2011,California Inst. of Technology,CA,55,10,"$29,043,617 "
20000226,2011,Cedars-Sinai Medical Ctr.,CA,4,0,"$13,817,316 "
95036,2011,Children's Hospital Oakland Research Inst.,CA,4,0,"$167,925 "
95038,2011,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,,,"$200,390,266 "
20000011,2011,Keck Graduate Inst. of Applied Life Sciences,CA,0,0,"$100,000 "
95154,2011,San Diego State University,CA,11,4,"$530,738 "
95165,2011,Stanford Univ.,CA,123,,"$66,797,246 "
95152,2011,The Salk Inst. for Biological Studies,CA,12,1,"$2,941,728 "
95156,2011,The Scripps Research Inst.,CA,19,4,"$3,191,588 "
95188,2011,Univ. of California System,CA,292,58,"$182,049,620 "
95244,2011,Univ. of Southern California,CA,21,6,"$5,301,725 "
95022,2012,California Inst. of Technology,CA,37,7,"$29,416,511 "
20000226,2012,Cedars-Sinai Medical Ctr.,CA,7,1,"$17,194,099 "
95036,2012,Children's Hospital Oakland Research Inst.,CA,5,0,"$220,647 "
95038,2012,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,7,1,"$224,408,641 "
95154,2012,San Diego State University,CA,8,3,"$355,812 "
95021,2012,Sanford-Burnham Medical Research Institute,CA,10,1,"$4,326,843 "
95165,2012,Stanford Univ.,CA,137,,"$76,727,029 "
95152,2012,The Salk Inst. for Biological Studies,CA,5,1,"$3,611,491 "
95188,2012,Univ. of California System,CA,236,55,"$102,191,043 "
95244,2012,Univ. of Southern California,CA,20,7,"$5,633,826 "
95022,2013,California Inst. of Technology,CA,58,11,"$23,640,920 "
20000226,2013,Cedars-Sinai Medical Ctr.,CA,6,1,"$12,122,483 "
20000250,2013,Childrens Hospital Los Angeles,CA,7,2,"$689,999 "
95038,2013,City of Hope National Medical Ctr. & Beckman Research  Inst.,CA,11,2,"$249,371,883 "
95154,2013,San Diego State University,CA,14,1,"$401,881 "
95021,2013,Sanford-Burnham Medical Research Institute,CA,5,1,"$3,138,751 "
95165,2013,Stanford Univ.,CA,123,9,"$86,967,392 "
95152,2013,The Salk Inst. for Biological Studies,CA,18,0,"$2,993,719 "
95188,2013,Univ. of California System,CA,261,66,"$104,807,562 "
95072,1998,Hospital for Sick Children Research,CANADA,12,3,"$323,970 "
95072,1999,Hospital for Sick Children Research,CANADA,24,2,"$474,492 "
