KAUAI COUNTY,,,,,
Not Seasonally Adjusted Civilian Labor Force,,,,,
Annual Averages followed by Monthly Series,,,,,
,,,,,
,,Civilian Labor Force ,,,
,Sep-2000,"29,800","28,400","1,400",4.7
,Oct-2000,"29,900","28,600","1,300",4.3
,Nov-2000,"29,950","28,700","1,250",4.1
,Dec-2000,"29,800","28,500","1,300",4.4
,Jan-2001,"30,650","29,150","1,500",4.9
,Feb-2001,"30,200","28,850","1,350",4.4
,Mar-2001,"30,200","28,700","1,500",4.9
,Apr-2001,"30,850","29,100","1,700",5.6
,May-2001,"30,350","29,000","1,350",4.5
,June-2001,"30,600","28,950","1,650",5.4
,July-2001,"31,000","29,450","1,550",5.0
,Aug-2001,"30,550","29,100","1,450",4.8
,Sep-2001,"30,350","28,900","1,450",4.8
,Oct-2001,"30,300","28,700","1,600",5.3
,Nov-2001,"30,350","28,700","1,650",5.5
,Dec-2001,"30,300","28,650","1,650",5.5
,Jan-2002,"30,200","28,550","1,650",5.4
,Feb-2002,"29,850","28,350","1,450",4.9
,Mar-2002,"29,950","28,500","1,450",4.9
,Apr-2002,"30,500","29,150","1,350",4.5
,May-2002,"30,150","28,750","1,400",4.6
,June-2002,"30,200","28,750","1,450",4.8
,July-2002,"31,150","29,800","1,350",4.3
,Aug-2002,"30,850","29,600","1,250",4.0
,Sep-2002,"30,600","29,350","1,200",4.0
,Oct-2002,"30,350","29,250","1,100",3.6
,Nov-2002,"30,400","29,250","1,200",3.9
,Dec-2002,"30,300","29,200","1,100",3.7
,Jan-2003,"31,050","29,850","1,200",3.9
,Feb-2003,"30,900","29,800","1,150",3.6
,Mar-2003,"30,950","29,700","1,250",4.0
,Apr-2003,"31,300","29,950","1,350",4.3
,May-2003,"30,900","29,700","1,200",3.8
,June-2003,"31,350","29,800","1,550",5.0
,July-2003,"32,050","30,650","1,350",4.2
,Aug-2003,"31,650","30,400","1,250",3.9
,Sep-2003,"31,450","30,150","1,300",4.1
,Oct-2003,"31,250","30,100","1,100",3.6
,Nov-2003,"31,400","30,250","1,150",3.7
,Dec-2003,"31,450","30,400","1,050",3.4
,Jan-2004,"31,300","30,200","1,150",3.6
,Feb-2004,"30,950","29,850","1,100",3.5
,Mar-2004,"31,200","30,150","1,050",3.4
,Apr-2004,"31,800","30,800","1,000",3.2
,May-2004,"31,500","30,450","1,000",3.3
,June-2004,"31,750","30,500","1,250",4.0
,July-2004,"32,400","31,250","1,100",3.4
,Aug-2004,"32,100","31,050","1,050",3.2
,Sep-2004,"31,650","30,600","1,050",3.4
,Oct-2004,"31,300","30,300",950,3.1
,Nov-2004,"31,500","30,400","1,100",3.5
,Dec-2004,"31,450","30,550",850,2.7
,Jan-2005,"31,750","30,800",900,2.9
,Feb-2005,"31,350","30,450",900,2.9
,Mar-2005,"31,400","30,550",850,2.7
,Apr-2005,"31,600","30,750",850,2.7
,May-2005,"31,350","30,550",800,2.6
,June-2005,"32,000","30,950","1,050",3.3
,July-2005,"32,900","31,950",950,2.8
,Aug-2005,"32,550","31,750",850,2.6
,Sep-2005,"32,400","31,500",900,2.8
,Oct-2005,"31,950","31,200",750,2.4
,Nov-2005,"31,850","31,000",850,2.7
,Dec-2005,"31,700","30,950",750,2.3
,Jan-2006,"32,000","31,250",750,2.3
,Feb-2006,"31,600","30,850",750,2.4
,Mar-2006,"31,650","30,750",950,2.9
,Apr-2006,"32,000","31,150",800,2.6
,May-2006,"31,750","30,950",750,2.4
,June-2006,"32,400","31,450",950,3.0
,July-2006,"32,900","31,950",950,2.8
,Aug-2006,"32,700","31,800",850,2.6
,Sep-2006,"32,250","31,450",750,2.4
,Oct-2006,"32,400","31,700",700,2.1
,Nov-2006,"32,750","32,050",700,2.1
,Dec-2006,"32,450","31,950",500,1.6
,Jan-2007,"32,600","31,750",800,2.5
,Feb-2007,"32,350","31,650",700,2.2
,Mar-2007,"32,350","31,600",750,2.3
,Apr-2007,"32,650","31,950",700,2.2
,May-2007,"32,250","31,550",700,2.2
,June-2007,"32,750","31,750","1,000",3.0
,July-2007,"33,350","32,450",950,2.8
,Aug-2007,"32,900","32,050",800,2.5
,Sep-2007,"32,600","31,700",900,2.8
,Oct-2007,"32,300","31,450",800,2.6
,Nov-2007,"32,650","31,650","1,000",3.0
,Dec-2007,"32,600","31,600","1,000",3.1
,Jan-2008,"32,900","31,900","1,000",3.1
,Feb-2008,"32,650","31,700",950,2.9
,Mar-2008,"32,800","31,750","1,050",3.2
,Apr-2008,"33,150","32,100","1,050",3.2
,May-2008,"32,650","31,500","1,150",3.6
,Jun-2008,"33,000","31,450","1,500",4.6
,Jul-2008,"33,750","32,250","1,500",4.4
,Aug-2008,"33,250","31,700","1,500",4.6
,Sep-2008,"32,800","31,150","1,650",5.0
,Oct-2008,"32,300","30,400","1,900",5.9
,Nov-2008,"32,550","30,350","2,200",6.8
,Dec-2008,"32,450","29,900","2,550",7.9
,Jan-2009(c),"32,450","29,550","2,900",9.0
,Feb-2009(c),"32,100","29,150","2,950",9.2
,Mar-2009(c),"31,950","28,800","3,150",9.9
,Apr-2009(c),"32,300","29,300","3,000",9.3
,May-2009(c),"32,100","28,950","3,150",9.8
,June-2009(c),"32,450","29,100","3,400",10.4
,July-2009(c),"33,000","29,850","3,150",9.6
,Aug-2009(c),"32,600","29,600","3,000",9.3
,Sep-2009(c),"32,050","29,050","3,000",9.3
,Oct-2009(c),"31,850","29,050","2,800",8.8
,Nov-2009(c),"31,850","29,100","2,750",8.7
,Dec-2009(c),"31,750","28,950","2,800",8.8
,Jan-2010(b),"32,150","29,250","2,900",9.0
,Feb-2010(b),"32,150","29,250","2,900",9.0
,Mar-2010(b),"32,400","29,450","2,950",9.0
,Apr-2010(b),"32,750","29,900","2,850",8.7
,May-2010(b),"32,700","29,950","2,750",8.5
,Jun-2010(b),"33,250","30,250","3,050",9.1
,Jul-2010(b),"33,700","30,800","2,900",8.6
,Aug-2010(b),"33,900","31,050","2,900",8.5
,Sep-2010(b),"33,300","30,300","3,000",9.1
,Oct-2010(b),"32,550","29,750","2,800",8.6
,Nov-2010(b),"33,200","30,200","3,000",9.0
,Dec-2010(b),"32,750","30,050","2,700",8.2
,Jan-2011(b),"33,550","30,650","2,900",8.7
,Feb-2011(b),"33,200","30,350","2,850",8.5
,Mar-2011(b),"33,250","30,400","2,850",8.5
,Apr-2011(b),"33,550","30,850","2,700",8.0
,May-2011(b),"33,450","30,550","2,900",8.7
,June-2011(b),"33,750","30,550","3,200",9.5
,July-2011(b),"34,000","31,000","3,000",8.8
,Aug-2011(b),"33,900","31,000","2,900",8.6
,Sep-2011(b),"33,300","30,400","2,850",8.6
,Oct-2011(b),"32,750","30,000","2,750",8.3
,Nov-2011(b),"32,600","29,850","2,750",8.4
,Dec-2011(b),"32,500","30,000","2,500",7.7
,Jan-2012(b),"32,950","30,300","2,650",8.0
,Feb-2012(b),"32,650","30,100","2,600",7.9
,Mar-2012(b),"32,600","30,050","2,550",7.8
,Apr-2012(b),"32,650","30,250","2,350",7.3
,May-2012(b),"32,650","30,200","2,450",7.5
,Jun-2012(b),"33,150","30,450","2,700",8.2
,Jul-2012(b),"33,350","30,850","2,500",7.4
,Aug-2012(b),"33,100","30,850","2,250",6.8
,Sep-2012(b),"32,550","30,350","2,200",6.7
,Oct-2012(b),"32,350","30,300","2,050",6.3
,Nov-2012(b),"32,350","30,350","2,000",6.2
,Dec-2012(b),"32,100","30,200","1,850",5.8
,Jan-2013(b),"32,700","30,700","2,000",6.1
,Feb-2013(b),"32,000","30,050","1,950",6.0
,Mar-2013(b),"32,050","30,200","1,850",5.8
,Apr-2013(b),"32,400","30,650","1,800",5.5
,May-2013(b),"32,400","30,650","1,750",5.4
,June-2013(b),"33,150","31,100","2,050",6.1
,July-2013(b),"33,100","31,250","1,850",5.5
,Aug-2013(b),"32,650","30,900","1,750",5.4
,Sep-2013(b),"32,350","30,500","1,850",5.7
,Oct-2013(b),"31,700","29,850","1,850",5.8
,Nov-2013(b),"32,100","30,300","1,850",5.7
,Dec-2013(b),"32,000","30,300","1,650",5.2
,Jan-2014,"32,350","30,600","1,750",5.4
,Feb-2014,"32,050","30,250","1,800",5.6
,Mar-2014,"32,050","30,400","1,700",5.2
,Apr-2014,"32,650","31,050","1,600",4.9
,May-2014,"32,900","31,250","1,600",4.9
,Jun-2014,"33,350","31,550","1,800",5.4
,Jul-2014,"33,800","32,050","1,750",5.1
,Aug-2014,"33,450","31,900","1,550",4.7
,Sep-2014,"33,150","31,550","1,600",4.8
,Oct-2014,"32,550","31,000","1,500",4.7
,Nov-2014,"32,700","31,200","1,500",4.5
,Dec-2014(p),"32,700","31,300","1,400",4.3
--------------------------------------------------------------------------------------------------------,,,,,
"NOTES:  Except for percent unemployed, rounded to nearest 50.",,,,,
              Totals may not add due to rounding.,,,,,
              Data begins from 1990.  Data not available prior to 1990 with the new redesign model.,,,,,
               (c) 2009 data have been benchmarked and reflect adustment to new state control totals,,,,,
               (b) 2010 - 2013 data have been benchmarked,,,,,
"               and reflect revised inputs, reestimation, and adjustment to new state control totals",,,,,
               (p) preliminary,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
