"States and selected areas:  Employment status of the civilian noninstitutional population,",,,,,,,,,
1976 to 2013 annual averages,,,,,,,,,
,,,,,,,,,
FIPS Code,State and area,Year,Civilian non-institutional population,Civilian labor force,,,,,
04,Arizona,1978,"1,809,083   ","1,083,367   ",59.9   ,"1,017,784   ",56.3   ,"65,583   ",6.1   
05,Arkansas,1978,"1,616,250   ","948,135   ",58.7   ,"889,922   ",55.1   ,"58,213   ",6.1   
06,California,1978,"16,761,667   ","10,913,922   ",65.1   ,"10,132,757   ",60.5   ,"781,165   ",7.2   
037,Los Angeles County,1978,"5,485,500   ","3,596,206   ",65.6   ,"3,349,586   ",61.1   ,"246,620   ",6.9   
08,Colorado,1978,"1,994,750   ","1,358,974   ",68.1   ,"1,285,477   ",64.4   ,"73,497   ",5.4   
09,Connecticut,1978,"2,312,833   ","1,510,818   ",65.3   ,"1,431,461   ",61.9   ,"79,357   ",5.3   
10,Delaware,1978,"434,750   ","274,762   ",63.2   ,"254,714   ",58.6   ,"20,048   ",7.3   
11,District of Columbia,1978,"508,750   ","332,487   ",65.4   ,"308,192   ",60.6   ,"24,295   ",7.3   
12,Florida,1978,"6,970,583   ","3,982,123   ",57.1   ,"3,710,801   ",53.2   ,"271,322   ",6.8   
13,Georgia,1978,"3,732,167   ","2,410,547   ",64.6   ,"2,272,542   ",60.9   ,"138,005   ",5.7   
15,Hawaii,1978,"624,167   ","422,564   ",67.7   ,"394,315   ",63.2   ,"28,249   ",6.7   
16,Idaho,1978,"631,667   ","414,121   ",65.6   ,"391,245   ",61.9   ,"22,876   ",5.5   
17,Illinois,1978,"8,365,417   ","5,426,252   ",64.9   ,"5,099,452   ",61.0   ,"326,800   ",6.0   
18,Indiana,1978,"3,928,917   ","2,591,609   ",66.0   ,"2,447,771   ",62.3   ,"143,838   ",5.6   
19,Iowa,1978,"2,129,333   ","1,414,759   ",66.4   ,"1,359,510   ",63.8   ,"55,249   ",3.9   
20,Kansas,1978,"1,697,750   ","1,139,240   ",67.1   ,"1,103,688   ",65.0   ,"35,552   ",3.1   
21,Kentucky,1978,"2,581,583   ","1,575,013   ",61.0   ,"1,492,258   ",57.8   ,"82,755   ",5.3   
22,Louisiana,1978,"2,836,500   ","1,670,944   ",58.9   ,"1,558,080   ",54.9   ,"112,864   ",6.8   
23,Maine,1978,"805,333   ","487,417   ",60.5   ,"456,381   ",56.7   ,"31,036   ",6.4   
24,Maryland,1978,"3,076,917   ","2,052,228   ",66.7   ,"1,935,453   ",62.9   ,"116,775   ",5.7   
25,Massachusetts,1978,"4,297,167   ","2,808,517   ",65.4   ,"2,635,115   ",61.3   ,"173,402   ",6.2   
26,Michigan,1978,"6,634,500   ","4,233,594   ",63.8   ,"3,934,954   ",59.3   ,"298,640   ",7.1   
27,Minnesota,1978,"2,907,500   ","1,977,724   ",68.0   ,"1,899,341   ",65.3   ,"78,383   ",4.0   
28,Mississippi,1978,"1,722,000   ","1,014,028   ",58.9   ,"942,657   ",54.7   ,"71,371   ",7.0   
29,Missouri,1978,"3,581,750   ","2,247,582   ",62.8   ,"2,138,666   ",59.7   ,"108,916   ",4.8   
30,Montana,1978,"564,667   ","361,901   ",64.1   ,"342,104   ",60.6   ,"19,797   ",5.5   
31,Nebraska,1978,"1,127,167   ","758,473   ",67.3   ,"736,018   ",65.3   ,"22,455   ",3.0   
32,Nevada,1978,"528,750   ","374,245   ",70.8   ,"356,302   ",67.4   ,"17,943   ",4.8   
33,New Hampshire,1978,"647,833   ","436,907   ",67.4   ,"420,283   ",64.9   ,"16,624   ",3.8   
34,New Jersey,1978,"5,497,917   ","3,463,454   ",63.0   ,"3,211,992   ",58.4   ,"251,462   ",7.3   
35,New Mexico,1978,"866,417   ","530,714   ",61.3   ,"497,241   ",57.4   ,"33,473   ",6.3   
36,New York,1978,"13,252,750   ","7,845,598   ",59.2   ,"7,236,434   ",54.6   ,"609,164   ",7.8   
51000,New York city,1978,"5,561,667   ","3,048,357   ",54.8   ,"2,773,102   ",49.9   ,"275,255   ",9.0   
37,North Carolina,1978,"4,113,167   ","2,765,117   ",67.2   ,"2,638,569   ",64.1   ,"126,548   ",4.6   
38,North Dakota,1978,"458,750   ","295,864   ",64.5   ,"283,302   ",61.8   ,"12,562   ",4.2   
39,Ohio,1978,"7,891,000   ","4,923,009   ",62.4   ,"4,652,138   ",59.0   ,"270,871   ",5.5   
40,Oklahoma,1978,"2,112,167   ","1,269,909   ",60.1   ,"1,224,162   ",58.0   ,"45,747   ",3.6   
41,Oregon,1978,"1,862,167   ","1,207,946   ",64.9   ,"1,134,101   ",60.9   ,"73,845   ",6.1   
42,Pennsylvania,1978,"8,938,917   ","5,299,503   ",59.3   ,"4,932,945   ",55.2   ,"366,558   ",6.9   
44,Rhode Island,1978,"714,333   ","453,194   ",63.4   ,"423,875   ",59.3   ,"29,319   ",6.5   
45,South Carolina,1978,"2,117,667   ","1,331,659   ",62.9   ,"1,257,426   ",59.4   ,"74,233   ",5.6   
46,South Dakota,1978,"490,000   ","325,304   ",66.4   ,"314,617   ",64.2   ,"10,687   ",3.3   
47,Tennessee,1978,"3,254,167   ","1,983,771   ",61.0   ,"1,866,238   ",57.3   ,"117,533   ",5.9   
48,Texas,1978,"9,535,417   ","6,228,542   ",65.3   ,"5,927,062   ",62.2   ,"301,480   ",4.8   
49,Utah,1978,"896,750   ","568,478   ",63.4   ,"546,139   ",60.9   ,"22,339   ",3.9   
50,Vermont,1978,"359,833   ","238,744   ",66.3   ,"225,503   ",62.7   ,"13,241   ",5.5   
51,Virginia,1978,"3,755,667   ","2,476,920   ",66.0   ,"2,348,569   ",62.5   ,"128,351   ",5.2   
53,Washington,1978,"2,823,333   ","1,807,570   ",64.0   ,"1,684,832   ",59.7   ,"122,738   ",6.8   
54,West Virginia,1978,"1,412,667   ","741,651   ",52.5   ,"697,281   ",49.4   ,"44,370   ",6.0   
55,Wisconsin,1978,"3,366,333   ","2,263,380   ",67.2   ,"2,153,903   ",64.0   ,"109,477   ",4.8   
56,Wyoming,1978,"304,250   ","210,052   ",69.0   ,"203,706   ",67.0   ,"6,346   ",3.0   
01,Alabama,1979,"2,790,583   ","1,665,649   ",59.7   ,"1,552,130   ",55.6   ,"113,519   ",6.8   
02,Alaska,1979,"258,167   ","182,309   ",70.6   ,"165,860   ",64.2   ,"16,449   ",9.0   
04,Arizona,1979,"1,908,083   ","1,155,061   ",60.5   ,"1,095,715   ",57.4   ,"59,346   ",5.1   
05,Arkansas,1979,"1,646,917   ","976,958   ",59.3   ,"917,926   ",55.7   ,"59,032   ",6.0   
06,California,1979,"17,214,167   ","11,278,924   ",65.5   ,"10,573,478   ",61.4   ,"705,446   ",6.3   
037,Los Angeles County,1979,"5,556,083   ","3,667,560   ",66.0   ,"3,463,267   ",62.3   ,"204,293   ",5.6   
08,Colorado,1979,"2,069,833   ","1,435,883   ",69.4   ,"1,369,768   ",66.2   ,"66,115   ",4.6   
09,Connecticut,1979,"2,339,167   ","1,551,710   ",66.3   ,"1,471,059   ",62.9   ,"80,651   ",5.2   
10,Delaware,1979,"439,167   ","280,449   ",63.9   ,"260,448   ",59.3   ,"20,001   ",7.1   
11,District of Columbia,1979,"501,833   ","328,875   ",65.5   ,"306,764   ",61.1   ,"22,111   ",6.7   
12,Florida,1979,"7,279,417   ","4,149,299   ",57.0   ,"3,898,262   ",53.6   ,"251,037   ",6.1   
13,Georgia,1979,"3,828,667   ","2,471,730   ",64.6   ,"2,343,886   ",61.2   ,"127,844   ",5.2   
15,Hawaii,1979,"644,250   ","430,808   ",66.9   ,"406,448   ",63.1   ,"24,360   ",5.7   
16,Idaho,1979,"647,917   ","427,713   ",66.0   ,"402,863   ",62.2   ,"24,850   ",5.8   
17,Illinois,1979,"8,420,333   ","5,474,963   ",65.0   ,"5,171,268   ",61.4   ,"303,695   ",5.5   
18,Indiana,1979,"3,977,750   ","2,645,309   ",66.5   ,"2,475,512   ",62.2   ,"169,797   ",6.4   
19,Iowa,1979,"2,142,083   ","1,428,426   ",66.7   ,"1,365,873   ",63.8   ,"62,553   ",4.4   
20,Kansas,1979,"1,719,250   ","1,166,800   ",67.9   ,"1,130,384   ",65.7   ,"36,416   ",3.1   
21,Kentucky,1979,"2,619,667   ","1,605,497   ",61.3   ,"1,513,765   ",57.8   ,"91,732   ",5.7   
22,Louisiana,1979,"2,905,500   ","1,720,660   ",59.2   ,"1,609,541   ",55.4   ,"111,119   ",6.5   
23,Maine,1979,"818,417   ","500,374   ",61.1   ,"467,466   ",57.1   ,"32,908   ",6.6   
24,Maryland,1979,"3,114,500   ","2,108,598   ",67.7   ,"1,986,059   ",63.8   ,"122,539   ",5.8   
25,Massachusetts,1979,"4,338,667   ","2,863,186   ",66.0   ,"2,706,845   ",62.4   ,"156,341   ",5.5   
26,Michigan,1979,"6,718,333   ","4,334,969   ",64.5   ,"3,993,383   ",59.4   ,"341,586   ",7.9   
27,Minnesota,1979,"2,957,083   ","2,043,258   ",69.1   ,"1,955,727   ",66.1   ,"87,531   ",4.3   
28,Mississippi,1979,"1,748,333   ","1,021,634   ",58.4   ,"963,351   ",55.1   ,"58,283   ",5.7   
29,Missouri,1979,"3,620,750   ","2,287,754   ",63.2   ,"2,182,198   ",60.3   ,"105,556   ",4.6   
30,Montana,1979,"571,917   ","371,925   ",65.0   ,"351,981   ",61.5   ,"19,944   ",5.4   
31,Nebraska,1979,"1,137,750   ","764,426   ",67.2   ,"743,230   ",65.3   ,"21,196   ",2.8   
32,Nevada,1979,"567,667   ","401,768   ",70.8   ,"382,058   ",67.3   ,"19,710   ",4.9   
33,New Hampshire,1979,"667,583   ","453,731   ",68.0   ,"439,143   ",65.8   ,"14,588   ",3.2   
34,New Jersey,1979,"5,553,917   ","3,571,814   ",64.3   ,"3,326,100   ",59.9   ,"245,714   ",6.9   
35,New Mexico,1979,"895,583   ","551,281   ",61.6   ,"514,943   ",57.5   ,"36,338   ",6.6   
36,New York,1979,"13,278,917   ","7,986,300   ",60.1   ,"7,412,220   ",55.8   ,"574,080   ",7.2   
51000,New York city,1979,"5,525,083   ","3,074,366   ",55.6   ,"2,807,670   ",50.8   ,"266,696   ",8.7   
37,North Carolina,1979,"4,197,500   ","2,815,440   ",67.1   ,"2,679,714   ",63.8   ,"135,726   ",4.8   
38,North Dakota,1979,"463,500   ","301,125   ",65.0   ,"289,118   ",62.4   ,"12,007   ",4.0   
39,Ohio,1979,"7,948,500   ","5,022,067   ",63.2   ,"4,728,263   ",59.5   ,"293,804   ",5.9   
40,Oklahoma,1979,"2,162,917   ","1,317,043   ",60.9   ,"1,274,082   ",58.9   ,"42,961   ",3.3   
41,Oregon,1979,"1,923,417   ","1,254,065   ",65.2   ,"1,170,467   ",60.9   ,"83,598   ",6.7   
42,Pennsylvania,1979,"9,001,833   ","5,384,397   ",59.8   ,"5,017,263   ",55.7   ,"367,134   ",6.8   
44,Rhode Island,1979,"719,000   ","466,060   ",64.8   ,"436,488   ",60.7   ,"29,572   ",6.3   
45,South Carolina,1979,"2,169,417   ","1,352,599   ",62.3   ,"1,285,486   ",59.3   ,"67,113   ",5.0   
46,South Dakota,1979,"492,917   ","331,038   ",67.2   ,"319,673   ",64.9   ,"11,365   ",3.4   
47,Tennessee,1979,"3,330,417   ","2,040,591   ",61.3   ,"1,918,544   ",57.6   ,"122,047   ",6.0   
48,Texas,1979,"9,870,750   ","6,481,670   ",65.7   ,"6,195,928   ",62.8   ,"285,742   ",4.4   
49,Utah,1979,"929,083   ","601,345   ",64.7   ,"574,503   ",61.8   ,"26,842   ",4.5   
50,Vermont,1979,"368,667   ","244,661   ",66.4   ,"232,575   ",63.1   ,"12,086   ",4.9   
51,Virginia,1979,"3,824,750   ","2,528,662   ",66.1   ,"2,409,453   ",63.0   ,"119,209   ",4.7   
53,Washington,1979,"2,940,250   ","1,922,314   ",65.4   ,"1,793,926   ",61.0   ,"128,388   ",6.7   
54,West Virginia,1979,"1,430,417   ","763,238   ",53.4   ,"710,401   ",49.7   ,"52,837   ",6.9   
55,Wisconsin,1979,"3,419,750   ","2,310,840   ",67.6   ,"2,207,603   ",64.6   ,"103,237   ",4.5   
56,Wyoming,1979,"319,667   ","223,335   ",69.9   ,"217,570   ",68.1   ,"5,765   ",2.6   
01,Alabama,1980,"2,829,250   ","1,680,780   ",59.4   ,"1,538,910   ",54.4   ,"141,870   ",8.4   
02,Alaska,1980,"264,000   ","188,429   ",71.4   ,"170,798   ",64.7   ,"17,631   ",9.4   
04,Arizona,1980,"1,991,917   ","1,229,119   ",61.7   ,"1,146,639   ",57.6   ,"82,480   ",6.7   
05,Arkansas,1980,"1,670,167   ","993,825   ",59.5   ,"919,354   ",55.0   ,"74,471   ",7.5   
06,California,1980,"17,687,333   ","11,587,794   ",65.5   ,"10,791,435   ",61.0   ,"796,359   ",6.9   
037,Los Angeles County,1980,"5,640,000   ","3,781,250   ",67.0   ,"3,534,696   ",62.7   ,"246,554   ",6.5   
08,Colorado,1980,"2,127,833   ","1,501,469   ",70.6   ,"1,413,339   ",66.4   ,"88,130   ",5.9   
09,Connecticut,1980,"2,368,167   ","1,575,765   ",66.5   ,"1,482,804   ",62.6   ,"92,961   ",5.9   
10,Delaware,1980,"440,167   ","283,658   ",64.4   ,"262,692   ",59.7   ,"20,966   ",7.4   
11,District of Columbia,1980,"491,667   ","322,030   ",65.5   ,"298,658   ",60.7   ,"23,372   ",7.3   
12,Florida,1980,"7,609,583   ","4,288,770   ",56.4   ,"4,026,492   ",52.9   ,"262,278   ",6.1   
13,Georgia,1980,"3,920,333   ","2,529,412   ",64.5   ,"2,371,651   ",60.5   ,"157,761   ",6.2   
15,Hawaii,1980,"663,083   ","441,001   ",66.5   ,"419,753   ",63.3   ,"21,248   ",4.8   
16,Idaho,1980,"659,500   ","426,367   ",64.7   ,"396,282   ",60.1   ,"30,085   ",7.1   
17,Illinois,1980,"8,473,750   ","5,534,496   ",65.3   ,"5,082,271   ",60.0   ,"452,225   ",8.2   
18,Indiana,1980,"4,013,083   ","2,626,684   ",65.5   ,"2,373,809   ",59.2   ,"252,875   ",9.6   
19,Iowa,1980,"2,151,250   ","1,431,131   ",66.5   ,"1,350,142   ",62.8   ,"80,989   ",5.7   
20,Kansas,1980,"1,739,250   ","1,190,359   ",68.4   ,"1,136,602   ",65.4   ,"53,757   ",4.5   
21,Kentucky,1980,"2,649,750   ","1,658,573   ",62.6   ,"1,524,710   ",57.5   ,"133,863   ",8.1   
22,Louisiana,1980,"2,980,667   ","1,778,118   ",59.7   ,"1,655,477   ",55.5   ,"122,641   ",6.9   
23,Maine,1980,"826,083   ","506,228   ",61.3   ,"468,554   ",56.7   ,"37,674   ",7.4   
24,Maryland,1980,"3,145,417   ","2,141,682   ",68.1   ,"1,999,598   ",63.6   ,"142,084   ",6.6   
25,Massachusetts,1980,"4,374,417   ","2,885,494   ",66.0   ,"2,721,430   ",62.2   ,"164,064   ",5.7   
